,Unnamed: 0,City,title,company,salary,summary
0,0,"Anchorage, AK",Barista,Perkup Espresso LLC,From $10 an hour,A good job for someone just entering the workforce or returning to the workforce with limited experience and education.Customer service: 1 year (Required).
1,1,"Anchorage, AK",Case Manager,"Partners for Progress, Inc.",$20 - $25 an hour,Provide housing counseling and coordinate with Money Management for budget training for clients to help prepare them for independent housing.
2,2,"Anchorage, AK",,"Loomis Armored US, LLC",$14.03 - $19.01 an hour,"Ability to perform light electrical, plumbing, and carpentry a plus.Clean laboratory equipment, such as glassware and metal instruments, using solvents,…"
3,3,"Anchorage, AK",COVID-19 Vaccine Immunizer (CMA),Visit Healthcare,$30 an hour,Reliable transportation and clean driving record if applicable.May educate patients about COVID-19 vaccination.Flexibility to work overtime as needed.
4,4,"Anchorage, AK",Retail Clerk - Fred Meyer 018,Fred Meyer 018,$11.80 - $14.80 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Assist customers at checkout and bag groceries."
5,5,"Anchorage, AK",Admissions Representative,Charter College,$24.04 an hour,Use established phone scripts for both inbound and outbound calls.Complete required quota of inbound and outbound calls daily.Check and respond to all emails.
6,6,"Anchorage, AK",Retail Clerk - Fred Meyer 656,Fred Meyer,$10.54 - $16.69 an hour,Assist customers at checkout and bag groceries.Build attractive displays and stock shelves.Select and gather products to fulfill customer’s online orders.
7,7,"Anchorage, AK",Server/Kitchen Staff,Chester Park Cooperative,$14 - $16 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.We are looking for someone who has prior experience in a restaurant setting, is…"
8,8,"Anchorage, AK",Janitorial Worker,Alaska Rock Gym,From $15 an hour,"Cleaning locker rooms and toilet facilities, stocking of paper products.30 to 40 hours per week; five shifts of varying length."
9,9,"Anchorage, AK",Early Childhood Professionals,Early Learning for Everyone,$13 - $20 an hour,Must have a valid ID and reliable transportation.Will work in an classroom setting with young children; options include classroom teaching or 1:1 positions.
10,10,"Anchorage, AK",Office Manager,Alyeska Vascular Surgery LLC,"$69,788 - $85,297 a year",Serve as a member of management in developing and implementing short- and long-term work plans and objectives for clerical functions.
11,11,"Anchorage, AK",Office Administrator,Cook Inlet Soccer Club,"$35,000 - $45,000 a year",High school diploma; BSc/BA in office administration or relevant field is preferred.The office administrator ensures smooth running of our company’s offices…
12,12,"Anchorage, AK",Retail Clerk - Fred Meyer 071,Fred Meyer 071,$10.24 - $13.01 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Assist customers at checkout and bag groceries."
13,13,"Anchorage, AK",Social Worker,Acestack LLC,$50 an hour,Assisting clients in receiving services by telephone and in person.Watch for signs of child abuse.Getting clients involved in beneficial activities.
14,14,"Anchorage, AK",Warehouse Clerk,Visit Healthcare,From $25 an hour,"Fill requisitions, work orders, or requests for materials, tools, or other stock items.The Warehouse Clerk duties would involve working under the warehouse…"
15,15,"Anchorage, AK",Engineering Technician,"R&M Consultants, Inc.",$20 - $25 an hour,"Travel within Alaska will be required, and the ideal candidate will be willing to work in project locations throughout the state for extended periods of time…"
16,16,"Anchorage, AK",Case Manager,"Partners for Progress, Inc.",$20 - $25 an hour,Provide housing counseling and coordinate with Money Management for budget training for clients to help prepare them for independent housing.
17,17,"Anchorage, AK",,Charter College,$24.04 an hour,Use established phone scripts for both inbound and outbound calls.Complete required quota of inbound and outbound calls daily.Check and respond to all emails.
18,18,"Anchorage, AK",Program Manager,Recover Alaska,"$60,000 - $72,000 a year","Current Alaska State Driver’s license, the ability to obtain one within 30 days of accepting the position, or ability to travel in an efficient/effective manner…"
19,19,"Anchorage, AK",Office Administrator,Cook Inlet Soccer Club,"$35,000 - $45,000 a year",High school diploma; BSc/BA in office administration or relevant field is preferred.The office administrator ensures smooth running of our company’s offices…
20,20,"Anchorage, AK",Barista,Perkup Espresso LLC,From $10 an hour,A good job for someone just entering the workforce or returning to the workforce with limited experience and education.Customer service: 1 year (Required).
21,21,"Anchorage, AK",Office Manager,Alyeska Vascular Surgery LLC,"$69,788 - $85,297 a year",Serve as a member of management in developing and implementing short- and long-term work plans and objectives for clerical functions.
22,22,"Anchorage, AK",Server/Kitchen Staff,Chester Park Cooperative,$14 - $16 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.We are looking for someone who has prior experience in a restaurant setting, is…"
23,23,"Anchorage, AK",Warehouse Clerk,Visit Healthcare,From $25 an hour,"Fill requisitions, work orders, or requests for materials, tools, or other stock items.The Warehouse Clerk duties would involve working under the warehouse…"
24,24,"Anchorage, AK",Janitorial Worker,Alaska Rock Gym,From $15 an hour,"Cleaning locker rooms and toilet facilities, stocking of paper products.30 to 40 hours per week; five shifts of varying length."
25,25,"Anchorage, AK",COVID-19 Vaccine Immunizer (CMA),Visit Healthcare,$30 an hour,Reliable transportation and clean driving record if applicable.May educate patients about COVID-19 vaccination.Flexibility to work overtime as needed.
26,26,"Anchorage, AK",Ops Janitor,"Loomis Armored US, LLC",$14.03 - $19.01 an hour,"Ability to perform light electrical, plumbing, and carpentry a plus.Clean laboratory equipment, such as glassware and metal instruments, using solvents,…"
27,27,"Anchorage, AK",Production Crew Member,Raspberry Roots,$13 - $15 an hour,Understand AMCO regulations and continue to uphold city & state compliance.Process marijuana plants i.e. Trim marijuana buds.
28,28,"Anchorage, AK",Social Worker,Acestack LLC,$50 an hour,Assisting clients in receiving services by telephone and in person.Watch for signs of child abuse.Getting clients involved in beneficial activities.
29,29,"Anchorage, AK",Full Charge Bookkeeper,Kuukpik Corporation,From $35 an hour,"Bank reconciliations, deposits, AP, AR, audit preparation.Payroll, employee records, benefits, taxes, quarterlies, W2, etc.Assists in training new positions."
