,Unnamed: 0,City,title,company,salary,summary
0,0,"Ashville, NC",,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
1,1,"Ashville, NC",Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
2,2,"Ashville, NC",Customer Representative,Allstate Insurance Company,"$45,000 - $85,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
3,3,"Ashville, NC",Busser (1467),Olive Garden,,"As a busser, you will assist our servers in providing excellent service to ensure guest satisfaction, as well as a firm commitment to the highest safety and…"
4,4,"Ashville, NC",Dunkin Donuts Crew Member,Dunkin' Donuts,$9 - $11 an hour,Handle POS transactions and payments with accuracy.Crew Member delivers great and friendly guest experiences by preparing Dunkin products according to…
5,5,"Ashville, NC",Customer Care & Social Media Coordinator,Buchi,"From $42,000 a year","Oversee social media accounts, and publish content tailored to Buchi’s social media platforms (including Instagram, Facebook, Pinterest) maintaining a unified…"
6,6,"Ashville, NC",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
7,7,"Ashville, NC",Part-time Nanny,The P Family,$15 - $30 an hour,"Ensuring our child is safe, cared for, and healthily stimulated with various forms of play (no screens!).Disciplined in staying away from screens (and off of…"
8,8,"Ashville, NC",Electrical Apprentice,Wired Right Electrical,"Up to $40,000 a year","We work in the installation of electrical systems in new residential construction and residential remodels, service work, generators, and Audio Video wiring."
9,9,"Ashville, NC",Custodial Associate,Asheville Art Museum,"$35,000 - $38,000 a year","The incumbent must have a valid driver’s license, be able to handle tools and/or controls, and tolerate moderate noise levels."
10,10,"Ashville, NC",Administrative Assistant - Public Works,The City of Asheville,$16.28 - $19.53 an hour,"Associate's degree in Business Administration or a related field, with one (1) to three (3) years' experience working in an office environment."
11,11,"Ashville, NC",Grading Crew,Blythe Development Co,,The Laborer must maintain a clean and secure job site (pick up tools/equipment) to eliminate potential hazards; must ensure that proper safety and incident…
12,12,"Ashville, NC",Tropical Smoothie Cafe- Crew Member,Tropical Smoothie Cafe,$8.75 - $12.00 an hour,"Follows the steps to operate the register, including taking customer orders, accurately handling cash and being responsible for the drawer."
13,13,"Ashville, NC",Legal Assistant,Asheville Legal,$16 - $20 an hour,"A part-time legal assistant is needed for our fast-paced boutique civil litigation practice.Experience in a law office, while not strictly required, will be…"
14,14,"Ashville, NC",Title Abstractor,"The Kania Law Firm, P.A.",$15 - $16 an hour,Candidates will need to be comfortable driving long distances alone.Ideal candidates will also have excellent computer and research skills.
15,15,"Ashville, NC",Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
16,16,"Ashville, NC",,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
17,17,"Ashville, NC",Customer Representative,Allstate Insurance Company,"$45,000 - $85,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
18,18,"Ashville, NC",Busser (1467),Olive Garden,,"As a busser, you will assist our servers in providing excellent service to ensure guest satisfaction, as well as a firm commitment to the highest safety and…"
19,19,"Ashville, NC",Customer Care & Social Media Coordinator,Buchi,"From $42,000 a year","Oversee social media accounts, and publish content tailored to Buchi’s social media platforms (including Instagram, Facebook, Pinterest) maintaining a unified…"
20,20,"Ashville, NC",Dunkin Donuts Crew Member,Dunkin' Donuts,$9 - $11 an hour,Handle POS transactions and payments with accuracy.Crew Member delivers great and friendly guest experiences by preparing Dunkin products according to…
21,21,"Ashville, NC",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
22,22,"Ashville, NC",Administrative Assistant - Public Works,The City of Asheville,$16.28 - $19.53 an hour,"Associate's degree in Business Administration or a related field, with one (1) to three (3) years' experience working in an office environment."
23,23,"Ashville, NC",Electrical Apprentice,Wired Right Electrical,"Up to $40,000 a year","We work in the installation of electrical systems in new residential construction and residential remodels, service work, generators, and Audio Video wiring."
24,24,"Ashville, NC",Part-time Nanny,The P Family,$15 - $30 an hour,"Ensuring our child is safe, cared for, and healthily stimulated with various forms of play (no screens!).Disciplined in staying away from screens (and off of…"
25,25,"Ashville, NC",Tropical Smoothie Cafe- Crew Member,Tropical Smoothie Cafe,$8.75 - $12.00 an hour,"Follows the steps to operate the register, including taking customer orders, accurately handling cash and being responsible for the drawer."
26,26,"Ashville, NC",Grading Crew,Blythe Development Co,,The Laborer must maintain a clean and secure job site (pick up tools/equipment) to eliminate potential hazards; must ensure that proper safety and incident…
27,27,"Ashville, NC",Custodial Associate,Asheville Art Museum,"$35,000 - $38,000 a year","The incumbent must have a valid driver’s license, be able to handle tools and/or controls, and tolerate moderate noise levels."
28,28,"Ashville, NC",Legal Assistant,Asheville Legal,$16 - $20 an hour,"A part-time legal assistant is needed for our fast-paced boutique civil litigation practice.Experience in a law office, while not strictly required, will be…"
29,29,"Ashville, NC",Animal Care Attendant,Brother Wolf Animal Sanctuary,,"Must be at least 18 years of age and have a valid driver's license.Quarantine areas, and front lobby.Helps to ensure a healthy, safe, clean and pleasant…"
30,30,"Ashville, NC",Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
31,31,"Ashville, NC",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
32,32,"Ashville, NC",Medical Front Office,Asheville Podiatry Associates,$14 - $15 an hour,"Duties include, but are not limited to, answering multi-line phones, scheduling, greeting patients when they arrive and provide them with the appropriate…"
33,33,"Ashville, NC",Manual Tester and Technical Writer,Galaxy Digital,"$50,000 - $60,000 a year","When the person in this position has more experience, they will write their own stories.The role includes a balance of manual software testing and technical…"
34,34,"Ashville, NC",Mail And File Clerk,US Department of Veterans Affairs,"$31,520 - $40,974 a year","NOTE: This position requires a valid state drivers' license.This education must have been obtained in an accredited business, secretarial or technical school,…"
35,35,"Ashville, NC",Front Desk Receptionist,Group Dental Practice,Up to $25 an hour,"Collecting and entering patient payments and insurance payments.A job for which all ages, including older job seekers, are encouraged to apply."
36,36,"Ashville, NC",Information Specialist/Receptionist,Buncombe County Schools,,"Pay Range: [$12.53 - $16.86] (based on state service) + 10.77% local supplement.Enters student data pertaining to enrollment, grades, schedules, test scores,…"
37,37,"Ashville, NC",Community Health Worker,Anthem,,Collaborates with social worker and/or care manager to develop action plan.Helps to bridge conversations with patients and remove barriers that prevent them…
38,38,"Ashville, NC",Administrative Assistant - Public Works,The City of Asheville,$16.28 - $19.53 an hour,"Associate's degree in Business Administration or a related field, with one (1) to three (3) years' experience working in an office environment."
39,39,"Ashville, NC",Part-Time Stocker,ALDI,$13.50 an hour,"When you join our team as a Stocker, you’ll be responsible for stocking, organizing new incoming inventory and safely operating machinery."
40,40,"Ashville, NC",Animal Care Attendant,Brother Wolf Animal Sanctuary,,"Must be at least 18 years of age and have a valid driver's license.Quarantine areas, and front lobby.Helps to ensure a healthy, safe, clean and pleasant…"
41,41,"Ashville, NC",Supply Technician - COVID-19 Hire,US Department of Veterans Affairs,"$35,265 - $45,847 a year","Examples of specialized experience would typically include, but are not limited to: providing supplies and material to clinical and administrative areas of a…"
42,42,"Ashville, NC",Hiring salary:,"City of Hendersonville, NC","$28,922 - $31,000 a year","Hiring salary: The position is a pay grade 8 with a hiring salary range of $28,922 – $31,000."
43,43,"Ashville, NC",Patient Services Specialist,American Oncology Network,,Experience in the healthcare field working as a medical receptionist is highly preferred.Answer calls promptly and retrieve messages.
44,44,"Ashville, NC",Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
45,45,"Ashville, NC",Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
46,46,"Ashville, NC",Manual Tester and Technical Writer,Galaxy Digital,"$50,000 - $60,000 a year","When the person in this position has more experience, they will write their own stories.The role includes a balance of manual software testing and technical…"
47,47,"Ashville, NC",Tropical Smoothie Cafe- Crew Member,Tropical Smoothie Cafe,$8.75 - $12.00 an hour,"Follows the steps to operate the register, including taking customer orders, accurately handling cash and being responsible for the drawer."
48,48,"Ashville, NC",Customer Representative,Allstate Insurance Company,"$45,000 - $85,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
49,49,"Ashville, NC",Front Desk Receptionist,Group Dental Practice,Up to $25 an hour,"Collecting and entering patient payments and insurance payments.A job for which all ages, including older job seekers, are encouraged to apply."
