,Unnamed: 0,City,title,company,salary,summary
0,0,"Atlanta, GA",Amazon Warehouse Assistant (Different Shifts Available) - Ea...,Amazon,Up to $690 a week,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
1,1,"Atlanta, GA",Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
2,2,"Atlanta, GA",Amazon In-Store Shopper (Night Shifts Available),Amazon,From $15 an hour,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
3,3,"Atlanta, GA",Office Manager,"Randal Rudderman, MD","From $65,000 a year",Coordinate the operations between the front and back offices.Oversee and manage general clinical operations/personnel.Customer Service: 3 years (Required).
4,4,"Atlanta, GA",Seasonal Warehouse Team Member,Amazon,$15.00 - $16.30 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
5,5,"Atlanta, GA",,Maximus,$16 - $17 an hour,Agents will answer incoming calls from the public related to COVID-19 vaccination scheduling.Strong data entry and telephone skills.
6,6,"Atlanta, GA",Dean of the Academy,Atlanta Youth Academy,From $30 an hour,The Dean of the Academy is the leader of the teaching faculty and is responsible for all aspects of the academic program including the co-curricular and…
7,7,"Atlanta, GA","Coordinator, Diversity, Equity and Inclusion Advocacy",Delta,,"Research, study and analyze data and business cases related to social trends.A successful candidate will have a deep understanding of social change work and…"
8,8,"Atlanta, GA",Receptionist,Ora Academy,"$47,000 - $57,000 a year","Answer a high volume of inbound phone calls, schedule appointments, and transfer calls to various departments.Previous Front Office experience is an asset."
9,9,"Atlanta, GA",Amazon Order Filler (Night Shifts Available),Amazon,From $15 an hour,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
10,10,"Atlanta, GA",Supply Attendant,Delta,,Responsible for safe operation of mechanical and manual materials handling equipment.Delta Tech Ops division is seeking a Supply Attendant who will be…
11,11,"Atlanta, GA",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
12,12,"Atlanta, GA",Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
13,13,"Atlanta, GA",CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
14,14,"Atlanta, GA",Resident 1st Yr GME Program,WellStar Health System Inc,,"Resident at Wellstar Atlanta Medical Center.MD or DO degree, NRMP Resident MATCH with sponsoring institution."
15,15,"Atlanta, GA",Amazon Warehouse Assistant (Different Shifts Available) - Ea...,Amazon,Up to $690 a week,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
16,16,"Atlanta, GA",Amazon In-Store Shopper (Night Shifts Available),Amazon,From $15 an hour,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
17,17,"Atlanta, GA",Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
18,18,"Atlanta, GA",Seasonal Warehouse Team Member,Amazon,$15.00 - $16.30 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
19,19,"Atlanta, GA",,Maximus,$16 - $17 an hour,Agents will answer incoming calls from the public related to COVID-19 vaccination scheduling.Strong data entry and telephone skills.
20,20,"Atlanta, GA",Servers,Houston's Restaurant on Peachtree Rd,$30 - $80 an hour,"Previous experience not required; In depth training provided from the outset.Competitive compensation, (Above industry average)."
21,21,"Atlanta, GA",Administrative Assistant | Paid Weekly | Start Immediately,"Global Sun Pools, Inc.",$12 - $14 an hour,Work with customers and field reps to complete customer files.Perform other duties relative to a specific department.
22,22,"Atlanta, GA",Transportation Security Officer (TSO),Transportation Security Administration,"$36,291 - $51,843 a year","Per the President's 2014 Fair Employment memo, TSA policy is to not adversely consider a candidate based on unemployment or financial difficulty through no…"
23,23,"Atlanta, GA",Amazon Order Filler (Night Shifts Available),Amazon,From $15 an hour,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
24,24,"Atlanta, GA",CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
25,25,"Atlanta, GA",Package Delivery Driver,Veho,$18 - $25 an hour,"\*Per our e-commerce partner needs, Veho is currently registering independent contractor drivers who have a large sedan or larger and are above 25 years old."
26,26,"Atlanta, GA",Dean of the Academy,Atlanta Youth Academy,From $30 an hour,The Dean of the Academy is the leader of the teaching faculty and is responsible for all aspects of the academic program including the co-curricular and…
27,27,"Atlanta, GA",Airport Outreach Case Manager,HOPE Atlanta Programs of Travelers Aid,$18 - $20 an hour,Valid Georgia driver's license with good driving record.Provide connection to coordinated entry services to include performing mobile assessments where clients…
28,28,"Atlanta, GA",Call Center Representative | Paid Weekly | Start Today,"Global Sun Pools, Inc.",$12 - $18 an hour,"All calls are warm inbound/outbound calls.Open 7-days a week.Relaxed, positive, competitive, and fun work environment scheduling appointments with customers…"
29,29,"Atlanta, GA",Digital Editor,BLAC Magazine,$15 - $25 an hour,"Working closely with our social media team to produce content for our platforms.The Digital Editor will be responsible for articles, video, and special…"
30,30,"Atlanta, GA",Amazon Warehouse Assistant (Different Shifts Available) - Ea...,Amazon,Up to $690 a week,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
31,31,"Atlanta, GA",Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
32,32,"Atlanta, GA",Amazon Order Filler (Night Shifts Available),Amazon,From $15 an hour,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
33,33,"Atlanta, GA",,Maximus,$16 - $17 an hour,Agents will answer incoming calls from the public related to COVID-19 vaccination scheduling.Strong data entry and telephone skills.
34,34,"Atlanta, GA",RN Staff Nurse,REAL HEALTH MEDICAL,$28 - $32 an hour,Valid nursing license in the state of Georgia.Proven experience as a registered nurse with IV experience.Monitor patient’s condition and assess their needs to…
35,35,"Atlanta, GA",COVID-19 Vaccination Call Center Rep - Remote / Work from Ho...,Maximus,$16 - $17 an hour,Agents will answer incoming calls from the public related to COVID-19 vaccination scheduling.Strong data entry and telephone skills.
36,36,"Atlanta, GA",CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
37,37,"Atlanta, GA",Remote Call Center Sales Agent - Must Reside in The State of...,Allied Global,$12 - $17 an hour,"Previous outbound call center sales experience preferred.A job for which all ages, including older job seekers, are encouraged to apply."
