,Unnamed: 0,City,title,company,salary,summary
0,0,"Atlantic City, NJ",TEMPORARY COVID-19 VACCINATION CALL CENTER REP - REMOTE / WO...,NAVIENT,$16 - $17 an hour,"Answer inbound calls from state consumers on the COVID-19 virus, register consumers for the vaccination and schedule appointments in the state provided system."
1,1,"Atlantic City, NJ",Internal Revenue Agent,Internal Revenue Service,,"In this position, you will use your professional knowledge and skill in accounting and auditing techniques and practices to examine various tax returns,…"
2,2,"Atlantic City, NJ",Housekeeper-City,AtlantiCare Regional Medical Center,,"The Housekeeper cleans patient rooms and general areas, makes beds, removes trash and linen in occupied and unoccupied rooms in accordance with departmental…"
3,3,"Atlantic City, NJ",Front Desk Clerk- PT,Tropicana Entertainment,,"Responsible for the registration of guests, assignment of rooms, issuance of keys and operation of computerized front desk system."
4,4,"Atlantic City, NJ",Food Runner,Morton's Atlantic City,,Great training and development programs.Multiple benefit plans to suit your needs.Have 1+ year restaurant experience.
5,5,"Atlantic City, NJ",Human Resources Coordinator,Marshall Retail Group,$19 - $21 an hour,"Some out of state travel required to Las Vegas, Nevada for training.The position will be housed in the beautiful Borgata, but report remotely to the VP, HR in…"
6,6,"Atlantic City, NJ",Guest Services Associate- ($15/hour)- Club Wyndham Atlantic...,Wyndham Destinations,$15 an hour,Reservations for guests or answer a variety of questions for guests pertaining to their reservations.Performs daily Front Desk functions such as guest check-in…
7,7,"Atlantic City, NJ",Warehouse Person (Loader) FT/Nights/SEASONAL,PepsiCo,$18.67 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
8,8,"Atlantic City, NJ",Human Resources Representative,Golden Nugget Atlantic City,,"Responsible for all filing and for the maintenance of employee file rooms (active & termed).Handles basic personnel updates to include updating name, address,…"
9,9,"Atlantic City, NJ",SALES ASSOCIATE,Dollar General,,Operate cash register and flatbed scanner to itemize and total customer's purchase; bag merchandise.Clean front end of store and help set up sidewalk displays…
10,10,"Atlantic City, NJ",COSTUMED BEVERAGE SERVER-BEER GARDEN (S),Borgata Hotel Casino & Spa,,"Ability to work in a fast paced environment and effectively communicate with guests, co-workers and management is mandatory."
11,11,"Atlantic City, NJ",Local Hire (Emergency Management Specialist 1 - Non-Medical...,US Department of Homeland Security,$17.48 - $18.58 an hour,"Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other…"
12,12,"Atlantic City, NJ",Front Desk Agent - 576,FantaSea Resorts,,"Candidate must have excellent customer service and communication skills with prior front desk experience.Must be outgoing, friendly and have basic computer…"
13,13,"Atlantic City, NJ",Office Assistant (City Campus),AtlantiCare Regional Medical Center,,LICENSE/CERTIFICATION: Valid New Jersey driver’s license maybe required within some departments.The Office Assistant performs a variety of clerical duties to…
14,14,"Atlantic City, NJ","Store Associate - EggHarbor, NJ",Lidl US,$13 an hour,"More than just cashiers, however, they get involved in every part of the store’s operations, including stocking, cleaning, bakery operations, non-food…"
15,15,"Atlantic City, NJ",TEMPORARY COVID-19 VACCINATION CALL CENTER REP - REMOTE / WO...,NAVIENT,$16 - $17 an hour,"Answer inbound calls from state consumers on the COVID-19 virus, register consumers for the vaccination and schedule appointments in the state provided system."
16,16,"Atlantic City, NJ",Internal Revenue Agent,Internal Revenue Service,,"In this position, you will use your professional knowledge and skill in accounting and auditing techniques and practices to examine various tax returns,…"
17,17,"Atlantic City, NJ",Housekeeper-City,AtlantiCare Regional Medical Center,,"The Housekeeper cleans patient rooms and general areas, makes beds, removes trash and linen in occupied and unoccupied rooms in accordance with departmental…"
18,18,"Atlantic City, NJ",Front Desk Clerk- PT,Tropicana Entertainment,,"Responsible for the registration of guests, assignment of rooms, issuance of keys and operation of computerized front desk system."
19,19,"Atlantic City, NJ",Passenger Service Agent - PT,Signature Flight Support,,"(*Please note: a valid state driver’s license may vary by location, as not all ASIG Station’s may require a driver’s license for this position)."
