,Unnamed: 0,City,title,company,salary,summary
0,0,"Austin, TX",,Indeed,"$67,000 - $83,000 a year","BA in English, journalism, advertising, marketing, or other relevant field or equivalent education and experience.Basic understanding of SEO principles."
1,1,"Austin, TX",Music Research Agent,Accenture,,Use internal data management tools to maintain and update music asset database.Passion for ensuring a world class user support experience.
2,2,"Austin, TX",Austin 11 eStores - In Store Shopper - Part-Time,HEB,$14.50 an hour,Schedule Part-time Requested Availability (if applicable) Open Availability.
3,3,"Austin, TX",Airport Operations Crew,JetBlue Airways Corporation,,"Depending upon location, may need to possess and maintain a valid Driver License and a driving record that meets JetBlue Airways’ insurance standards."
4,4,"Austin, TX",Program Manager - Office of Strategic Operations,Indeed,"$96,000 - $127,000 a year",Successfully demonstrated ability to direct the work of workstream leads and remote cross-functional teams.Create Clarity and Solutions - Embrace and clarify…
5,5,"Austin, TX","Director, Financial Planning and Analysis",Indeed,"$165,000 - $221,000 a year",Bachelor’s Degree in Accounting or related field.Perform monthly financial reporting and develop and maintain financial forecasts and budgets (monthly and…
6,6,"Austin, TX",Administrative Assistant (AUD-991),Texas State Auditor's Office,"$3,520 - $5,747 a month","Receives, screens and routes external calls for information from the Legislature, agencies, citizens, and the media.Answering and routing phone calls."
7,7,"Austin, TX",Entry Level Management - Interview Today - Customer Service,THE WCP Group,"$800 - $1,200 a week","Must have a reliable vehicle and valid driver's license.Skills that work well with our company are: sales and marketing, hospitality, retail experience,…"
8,8,"Austin, TX",Court CLerk I,Travis County,"$34,609 - $43,261 a year",Conducts cash transactions as payments for warrants including entering credit card transactions and mail payments.May provide notary services to public.
9,9,"Austin, TX",Privacy Analyst,Indeed,"$50,000 - $64,000 a year",Ideal candidates will possess a strong technical aptitude and be able to effectively communicate with technology professionals; data analysis and/or coding…
10,10,"Austin, TX",Sales Specialist - Work from Home,Progressive,$17.25 - $19.00 an hour,"Property & Casualty license; if not already licensed, license will need to be obtained during training (must remain compliant with licensing requirements)."
11,11,"Austin, TX",CPS Investigation Worker Trainee,Dept of Family & Protectve Svc,"$3,817 - $4,337 a month","Applicants for positions must have a reliable motor vehicle and acceptable driving record for the past five years, and a current, valid Texas driver's license…"
12,12,"Austin, TX",Leadership Effectiveness Coach,Indeed,"$77,000 - $103,000 a year",ICF-accredited coaching certification or equivalent.Delivering a challenging and supportive coaching experience to leaders that both helps them make progress…
13,13,"Austin, TX",Austin 17 Grocery - Overnight Stocker - Part-Time,HEB,$15.50 an hour,Schedule Part-time Requested Availability (if applicable) 10P-630A.
14,14,"Austin, TX",Program & Events Specialists,City of Hutto,"$48,000 - $55,000 a year","Plans and coordinates with the Communications Department marketing programs, website information, social media, and related marketing activities for the…"
15,15,"Austin, TX",,Indeed,"$77,000 - $103,000 a year",ICF-accredited coaching certification or equivalent.Delivering a challenging and supportive coaching experience to leaders that both helps them make progress…
16,16,"Austin, TX",Warehouse Person (Loader)(Full-time/Evenings),PepsiCo,$19.35 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
17,17,"Austin, TX",Fulfillment Center Picker and Packer,Xdesk,$14 - $16 an hour,"We develop, design, manufacture and sell standing desks in all 50 states.Order accuracy and timely order fulfillment are keys to a successful customer…"
18,18,"Austin, TX","Apple Technical Support Advisor - Austin, TX",Apple,,"Minimum 2 years professional technical troubleshooting expertise or proven technical ability.You can multitask across systems and applications, analyze,…"
19,19,"Austin, TX",Beer/Beverage Stocker,"Brown Distributing Company Austin, TX",From $13.50 an hour,"Adheres to the strict safety policies and practices set in place by Brown Distributing, the account, and state and federal law.Paid Vacation and Sick Days."
20,20,"Austin, TX",Merchandiser (Full-time/Days),PepsiCo,$17.50 an hour,"This includes stocking shelves, rotating shelved product, setting up displays, stocking and rotating products in coolers, organizing and rotating products in…"
21,21,"Austin, TX",Transportation Security Officer (TSO),Transportation Security Administration,"$35,106 - $50,150 a year","Per the President's 2014 Fair Employment memo, TSA policy is to not adversely consider a candidate based on unemployment or financial difficulty through no…"
22,22,"Austin, TX",Border Patrol Agent,U.S. Customs and Border Protection,,"Search Terms: *airport customs, armed security, army, bike patrol, border patrol, border security, coast guard, customs and immigration, customs officer, dhs,…"
23,23,"Austin, TX",Pediatric Clinic Receptionist,Round Rock Children's Therapy Center,$12 - $14 an hour,"The Medical Receptionist is responsible for answering incoming calls, directing calls to appropriate staff, greeting and checking in all patients for office…"
24,24,"Austin, TX",Software Customer Support Specialist,Corrections Software Solutions,"$45,000 - $60,000 a year","When resolving issues, in addition to tracking down the problem, the ability to develop a solution, outline a fix, test and document results is required."
25,25,"Austin, TX",Privacy Analyst,Indeed,"$50,000 - $64,000 a year",Ideal candidates will possess a strong technical aptitude and be able to effectively communicate with technology professionals; data analysis and/or coding…
26,26,"Austin, TX","Director, Financial Planning and Analysis",Indeed,"$165,000 - $221,000 a year",Bachelor’s Degree in Accounting or related field.Perform monthly financial reporting and develop and maintain financial forecasts and budgets (monthly and…
27,27,"Austin, TX",Amazon Account Specialist,Smartish,"Up to $50,000 a year","Track and analyze data efficiently using 3rd party tools and your own custom-designed spreadsheets (familiarity with data analysis formulas, shortcuts, and…"
28,28,"Austin, TX",Technical Specialist,Apple,,"Flexibility to regularly rotate through different technical specialties and skill sets.As a Technical Specialist, you help new owners get started and current…"
29,29,"Austin, TX",Library Manager,City of Hutto,"$55,000 a year",Assists patrons by telephone and in-person with routine procedural and directional questions.Master’s Degree in Library Science (MLS) from an accredited…
30,30,"Austin, TX",Entry Level Management - Interview Today - Customer Service,THE WCP Group,"$800 - $1,200 a week","Must have a reliable vehicle and valid driver's license.Skills that work well with our company are: sales and marketing, hospitality, retail experience,…"
31,31,"Austin, TX",,Indeed,"$77,000 - $103,000 a year",ICF-accredited coaching certification or equivalent.Delivering a challenging and supportive coaching experience to leaders that both helps them make progress…
32,32,"Austin, TX",Music Research Agent,Accenture,,Use internal data management tools to maintain and update music asset database.Passion for ensuring a world class user support experience.
33,33,"Austin, TX",Fulfillment Center Picker and Packer,Xdesk,$14 - $16 an hour,"We develop, design, manufacture and sell standing desks in all 50 states.Order accuracy and timely order fulfillment are keys to a successful customer…"
34,34,"Austin, TX","Apple Technical Support Advisor - Austin, TX",Apple,,"Minimum 2 years professional technical troubleshooting expertise or proven technical ability.You can multitask across systems and applications, analyze,…"
35,35,"Austin, TX",Beer/Beverage Stocker,"Brown Distributing Company Austin, TX",From $13.50 an hour,"Adheres to the strict safety policies and practices set in place by Brown Distributing, the account, and state and federal law.Paid Vacation and Sick Days."
36,36,"Austin, TX",Warehouse Person (Loader)(Full-time/Evenings),PepsiCo,$19.35 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
37,37,"Austin, TX",Merchandiser (Full-time/Days),PepsiCo,$17.50 an hour,"This includes stocking shelves, rotating shelved product, setting up displays, stocking and rotating products in coolers, organizing and rotating products in…"
38,38,"Austin, TX",Border Patrol Agent,U.S. Customs and Border Protection,,"Search Terms: *airport customs, armed security, army, bike patrol, border patrol, border security, coast guard, customs and immigration, customs officer, dhs,…"
39,39,"Austin, TX",Software Customer Support Specialist,Corrections Software Solutions,"$45,000 - $60,000 a year","When resolving issues, in addition to tracking down the problem, the ability to develop a solution, outline a fix, test and document results is required."
40,40,"Austin, TX",Pediatric Clinic Receptionist,Round Rock Children's Therapy Center,$12 - $14 an hour,"The Medical Receptionist is responsible for answering incoming calls, directing calls to appropriate staff, greeting and checking in all patients for office…"
41,41,"Austin, TX",Transportation Security Officer (TSO),Transportation Security Administration,"$35,106 - $50,150 a year","Per the President's 2014 Fair Employment memo, TSA policy is to not adversely consider a candidate based on unemployment or financial difficulty through no…"
42,42,"Austin, TX",Privacy Analyst,Indeed,"$50,000 - $64,000 a year",Ideal candidates will possess a strong technical aptitude and be able to effectively communicate with technology professionals; data analysis and/or coding…
43,43,"Austin, TX","Director, Financial Planning and Analysis",Indeed,"$165,000 - $221,000 a year",Bachelor’s Degree in Accounting or related field.Perform monthly financial reporting and develop and maintain financial forecasts and budgets (monthly and…
44,44,"Austin, TX","Specialist, Learning & Development - About Indeed",Indeed,"$50,000 - $65,000 a year","Proficient with Google office tools.Facilitate, maintain, and coordinate the About Indeed and Introduction to Indeed programs, which are designed educate…"
45,45,"Austin, TX",,Indeed,"$77,000 - $103,000 a year",ICF-accredited coaching certification or equivalent.Delivering a challenging and supportive coaching experience to leaders that both helps them make progress…
46,46,"Austin, TX",Entry Level Management - Interview Today - Customer Service,THE WCP Group,"$800 - $1,200 a week","Must have a reliable vehicle and valid driver's license.Skills that work well with our company are: sales and marketing, hospitality, retail experience,…"
47,47,"Austin, TX",Juice & Smoothie Barista- $13/$15 hr,Daily Juice Cafe,$13 - $15 an hour,"We bring energy and enthusiasm to customers for juicing and authentic foods to create meaningful life changes, reversing the effects of processed factory foods."
48,48,"Austin, TX",Program Manager - Office of Strategic Operations,Indeed,"$96,000 - $127,000 a year",Successfully demonstrated ability to direct the work of workstream leads and remote cross-functional teams.Create Clarity and Solutions - Embrace and clarify…
49,49,"Austin, TX",Privacy Analyst,Indeed,"$50,000 - $64,000 a year",Ideal candidates will possess a strong technical aptitude and be able to effectively communicate with technology professionals; data analysis and/or coding…
50,50,"Austin, TX",Canvasser (civil rights campaign),New Canvassing Experience,$20 an hour,On-going world-class training/Coaching.Health/Dental/Vision Insurance after 90 days of employment.Paid time off/Sick leave.Only full-time employees eligible.
51,51,"Austin, TX",Merchandiser (Full-time/Days),PepsiCo,$17.50 an hour,"This includes stocking shelves, rotating shelved product, setting up displays, stocking and rotating products in coolers, organizing and rotating products in…"
52,52,"Austin, TX",Austin 11 eStores - In Store Shopper - Part-Time,HEB,$14.50 an hour,Schedule Part-time Requested Availability (if applicable) Open Availability.
53,53,"Austin, TX",Beer/Beverage Stocker,"Brown Distributing Company Austin, TX",From $13.50 an hour,"Adheres to the strict safety policies and practices set in place by Brown Distributing, the account, and state and federal law.Paid Vacation and Sick Days."
