,Unnamed: 0,City,title,company,salary,summary
0,0,"Baltimore, MD",Amazon Warehouse Attendant (Hiring Immediately) - Earn up to...,Amazon,Up to $18 an hour,Part-time and full-time hours are available.Shifts are 3-5 hours.Choose up to 10 shifts each week based on schedule and availability.
1,1,"Baltimore, MD",Order Picker/Packer,Amazon,$17 - $18 an hour,Part-time and full-time hours are available.Shifts are 3-5 hours.Choose up to 10 shifts each week based on schedule and availability.
2,2,"Baltimore, MD",Amazon Order Filler (Flexible Shifts Available),Amazon,$15.40 - $16.40 an hour,Part-time and full-time hours are available.Shifts are 3-5 hours.Choose up to 10 shifts each week based on schedule and availability.
3,3,"Baltimore, MD",Chiropractic Physician,Brennan Chiropractic,"$60,000 - $85,000 a year","Ability to educate patients on importance of chiropractic for a healthy lifestyle, and ability to properly educate patients on all in office therapeutic options…"
4,4,"Baltimore, MD",,National Security Agency,"$49,157 - $78,167 a year","Examples include building state-of-the-art websites and web applications for the Agency intranet, performing closed captioning at a live event, designing logos,…"
5,5,"Baltimore, MD",Tutor in Baltimore – All Subjects Available,Grade Potential Tutoring,$18 - $30 an hour,Baltimore families are in immediate need of part-time tutors for all subjects and grade levels.
6,6,"Baltimore, MD",Staff Officer,National Security Agency,"$49,157 - $78,167 a year","Degree in Public Policy, Political Science, Communications, Law, or Business Administration is preferred, but a degree in any field is acceptable."
7,7,"Baltimore, MD",Visitor Services Agent,The Maryland Zoo in Baltimore,,"Interact in a consistently pleasant and helpful manner to fellow employees, guests, vendors, and other visitors of the Zoo and demonstrate the highest standards…"
8,8,"Baltimore, MD",Gelato Scooper,Pitango Gelato,$10 - $11 an hour,"Cash and credit card tips.All customers required to wear masks, no public bathroom, very limited/distant indoor dining, regular cleaning, small staff …"
9,9,"Baltimore, MD",Crime Lab Technician I - Police,"City of Baltimore, MD","$42,536 - $51,307 a year",A valid Maryland Class C Noncommercial driver's license or an equivalent out-of-state driver's license acceptable to the Office of Risk Management is required.
10,10,"Baltimore, MD",Program Coordinator,Johns Hopkins Hospital,,"Employees must refrain from using any tobacco products during their work shifts — including while at lunch or on breaks, and whether they are on or off campus."
