,Unnamed: 0,City,title,company,salary,summary
0,0,"Baton Rouge, LA",Underwriter/Renewal Policies,Stonetrust Commercial Insurance Company,"$58,000 - $73,000 a year","Associated classes or courses and/or industry license, or designation (Agent, AU, CIC, P&C).7-10 years related experience in field."
1,1,"Baton Rouge, LA",Front of House Team Member,Chick-fil-A College Drive,,Appropriately handle all guest issues and play a positive role in guest recovery.Proactively pursue the certification process and look for opportunities to be…
2,2,"Baton Rouge, LA",Delivery Associate,Amazon DSP,$15.00 - $15.25 an hour,Must be comfortable driving and working in varying weather conditions.Able to get in and out of van and walk up and down stairs through your shift.
3,3,"Baton Rouge, LA",Full Stack Developer,Franklin Press,"$70,000 - $90,000 a year","The Full Stack Developer will create and support highly functional, visually appealing, database-driven apps that feature user-friendly design and clear…"
4,4,"Baton Rouge, LA",NOW HIRING MAINTENANCE/ REPAIR TECHNICIAN,"Wendy's/ HAZA Foods, LLC",,Environmental Protection Agency (EPA) and HVAC/R Type 1 and Type 2 certification is required; Technical certification.Appliance repair: 1 year (Preferred).
5,5,"Baton Rouge, LA",Roofing Sales,Pelican Roofing Company,"$48,000 - $86,000 a year",Delivering win-win solutions to our customers.Canvassing neighborhoods and offering our roofing services door to door.High school or equivalent (Preferred).
6,6,"Baton Rouge, LA",Registrar,VCOM,,"The noise level in the work environment is usually minimal, however the reception area with frequent visitors, phone calls and discussions may be distracting."
7,7,"Baton Rouge, LA","Production Worker, Hourly",Honeywell,,"Due to US export control laws, must be a US citizen, permanent resident or have protected status.Prior Operator experience in a chemical manufacturing…"
8,8,"Baton Rouge, LA",Laundry Care Taker,"Sudshare, Inc.",$15 - $20 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Temporarily due to COVID-19.Must have car and a washer/dryer."
9,9,"Baton Rouge, LA",Warehouse - Order Selector Evening Shift,MOCKLER BEVERAGE CO A LP,"$45,000 - $55,000 a year","Our warehouse personnel is responsible for managing the daily operations of our inventory through receipt of incoming orders, preparation of customer orders for…"
10,10,"Baton Rouge, LA",Warehouser/Material Handler - PT,Frito-Lay North America,$16.82 an hour,Safely operate a forklift after we provide you training and you obtain certification.Load trailers via carts or stack cases on the floor of a truck trailer.
11,11,"Baton Rouge, LA",QA Tester: Work from Home (contract),Electronic Arts,$12 an hour,"This is a popular entry-level role, particularly for those not already qualified as an artist or programmer.Though not necessary, some programming knowledge or…"
12,12,"Baton Rouge, LA",Call Center Operator - Customer Service,Hamilton Telecommunications,,"Hamilton Relay is seeking entry level Call Center Operators for our Baton Rouge, LA Call Center that will be responsible for relaying telephone conversations…"
13,13,"Baton Rouge, LA",Drivers Wanted - Lots of Work & Big Tips Daily,All My Sons Moving & Storage,$15 - $17 an hour ++,"Full, Part Time, Weekends only, or make your own schedule!$15 to $17 per hour (Based on Experience).Sign-on Bonus of $250 pending completion of Driver…"
14,14,"Baton Rouge, LA",MEDICAID PROGRAM MANAGER 1-A,State of Louisiana,"$4,630 - $9,110 a month","Analyzes the impact of federal, state, and local legislation; advises agency officials; prepares position statements; presents testimony at hearings; writes…"
15,15,"Baton Rouge, LA",Remote Business Development (Louisiana Only),Simmons & Associates,"$2,000 - $5,000 a month","Web-based camera app, with speaker.Potential to earn BONUS money,.Interactive daily communication with our team.PC/Laptop: Preferably with Windows 8 or 10."
16,16,"Baton Rouge, LA",Caregiver - Live-In | Signing Bonus,Home Instead Senior Care,"$31,000 a year ++","Possess a valid driver’s license, social security card and valid auto insurance.$500 Signing Bonus available to experienced CAREGivers who commit to working a…"
