,Unnamed: 0,City,title,company,salary,summary
0,0,"Burlington, VT",Crew,Trader Joe's,$14 - $16 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
1,1,"Burlington, VT",Library Assistant I - Volunteer Coordinator,"City of Burlington, Vermont",,"Answer phone calls, phone requests, take and distribute messages.Provide a variety of patron services using a fully integrated automated library system,…"
2,2,"Burlington, VT",Warehouse Associate,Tesla,,"Must have a valid state driver’s license.This will include receiving, issuing, and organizing materials for maximum efficiency; and preparing material daily to…"
3,3,"Burlington, VT","barista - Store# 07629, BURLINGTON TOWN CENTER",Starbucks,,"Follows Starbucks operational policies and procedures, including those for cash handling and safety and security, to ensure the safety of all partners during…"
4,4,"Burlington, VT",Reading Teacher (Anticipated),South Burlington School District,,"Responsible for establishingeffective relationships with students, parents/guardians, staff, and community members to enhance learningopportunities."
5,5,"Burlington, VT",Warehouse Person (Loader) FT/Evenings,PepsiCo,$19.55 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
6,6,"Burlington, VT",Swahili Translator,Essex Westford School District,$50 an hour,Candidates must live within driving distance to our school district and be able to attend school-based meetings.
7,7,"Burlington, VT",Custodian,Colchester School District,,"ESSENTIAL DUTIES & RESPONSIBILITIES: Clean building floors: vacuum, sweep, dust mop, wash, strip, wax and buffClean and stock bathrooms, change and clean shower…"
8,8,"Burlington, VT",Cashier,Michaels,,Participate in the truck un-load and stocking processes to ensure truck standards are followed and completed within budget.Execute cash handling to standards.
9,9,"Burlington, VT",Kennel Assistants,Gulliver's Doggie Daycare,,"Looking for reliable, patient, confident and motivated team players to care for and supervise dogs of all shapes, sizes and personalities!"
10,10,"Burlington, VT",Warehouse Package Handler,FedEx Ground PH US,$16 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
11,11,"Burlington, VT",Library Outreach,"City of Burlington, Vermont",,"Answer requests for information by telephone or in-person, ranging from quick fact-finding to in-depth search of library resources, community resources,…"
12,12,"Burlington, VT",Front Desk Agent,Delta Burlington,,As needed deliver guest items such as luggage newspapers messages packages amenities or other items requested by guests or team members.
13,13,"Burlington, VT",GMHEC Current Job Openings,Saint Michael's College,,Provide high quality service and programs to our member institutions.Medical Insurance with prescription coverage.And of course Paid Time Off.
14,14,"Burlington, VT",Law Firm Receptionist / Records Coordinator,Paul Frank Collins P.C.,,"The receptionist may also assist the legal teams with various projects.We require a professional who will make an outstanding first impression to our clients,…"
15,15,"Burlington, VT",Crew,Trader Joe's,$14 - $16 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
16,16,"Burlington, VT",Library Assistant I - Volunteer Coordinator,"City of Burlington, Vermont",,"Answer phone calls, phone requests, take and distribute messages.Provide a variety of patron services using a fully integrated automated library system,…"
17,17,"Burlington, VT",Warehouse Associate,Tesla,,"Must have a valid state driver’s license.This will include receiving, issuing, and organizing materials for maximum efficiency; and preparing material daily to…"
18,18,"Burlington, VT","barista - Store# 07629, BURLINGTON TOWN CENTER",Starbucks,,"Follows Starbucks operational policies and procedures, including those for cash handling and safety and security, to ensure the safety of all partners during…"
19,19,"Burlington, VT",Reading Teacher (Anticipated),South Burlington School District,,"Responsible for establishingeffective relationships with students, parents/guardians, staff, and community members to enhance learningopportunities."
20,20,"Burlington, VT",Warehouse Person (Loader) FT/Evenings,PepsiCo,$19.55 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
21,21,"Burlington, VT",Swahili Translator,Essex Westford School District,$50 an hour,Candidates must live within driving distance to our school district and be able to attend school-based meetings.
22,22,"Burlington, VT",Custodian,Colchester School District,,"ESSENTIAL DUTIES & RESPONSIBILITIES: Clean building floors: vacuum, sweep, dust mop, wash, strip, wax and buffClean and stock bathrooms, change and clean shower…"
23,23,"Burlington, VT",Cashier,Michaels,,Participate in the truck un-load and stocking processes to ensure truck standards are followed and completed within budget.Execute cash handling to standards.
24,24,"Burlington, VT",Kennel Assistants,Gulliver's Doggie Daycare,,"Looking for reliable, patient, confident and motivated team players to care for and supervise dogs of all shapes, sizes and personalities!"
25,25,"Burlington, VT",Warehouse Package Handler,FedEx Ground PH US,$16 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
26,26,"Burlington, VT",Library Outreach,"City of Burlington, Vermont",,"Answer requests for information by telephone or in-person, ranging from quick fact-finding to in-depth search of library resources, community resources,…"
27,27,"Burlington, VT",Front Desk Agent,Delta Burlington,,As needed deliver guest items such as luggage newspapers messages packages amenities or other items requested by guests or team members.
28,28,"Burlington, VT",GMHEC Current Job Openings,Saint Michael's College,,Provide high quality service and programs to our member institutions.Medical Insurance with prescription coverage.And of course Paid Time Off.
29,29,"Burlington, VT",Law Firm Receptionist / Records Coordinator,Paul Frank Collins P.C.,,"The receptionist may also assist the legal teams with various projects.We require a professional who will make an outstanding first impression to our clients,…"
30,30,"Burlington, VT",Crew,Trader Joe's,$14 - $16 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
31,31,"Burlington, VT",Library Assistant I - Volunteer Coordinator,"City of Burlington, Vermont",,"Answer phone calls, phone requests, take and distribute messages.Provide a variety of patron services using a fully integrated automated library system,…"
32,32,"Burlington, VT",Library Outreach,"City of Burlington, Vermont",,"Answer requests for information by telephone or in-person, ranging from quick fact-finding to in-depth search of library resources, community resources,…"
33,33,"Burlington, VT",Warehouse Associate,Tesla,,"Must have a valid state driver’s license.This will include receiving, issuing, and organizing materials for maximum efficiency; and preparing material daily to…"
34,34,"Burlington, VT",Reading Teacher (Anticipated),South Burlington School District,,"Responsible for establishingeffective relationships with students, parents/guardians, staff, and community members to enhance learningopportunities."
35,35,"Burlington, VT","Non-Exempt Hourly, Seasonal Part-time - $14 per hour","South Burlington, VT",$14 an hour,"This position is responsible for assisting in the maintenance of all City parks and open space land, bike paths, hiking trails, cemeteries and greenways.…"
36,36,"Burlington, VT",Swahili Translator,Essex Westford School District,$50 an hour,Candidates must live within driving distance to our school district and be able to attend school-based meetings.
37,37,"Burlington, VT",Rise & Shine Camp Staff,"City of Burlington, Vermont",,"Prior experience working in camps and/or teaching children is desirable.Leddy Camp Staff Members create a safe, inclusive vibrant morning day camp experience…"
38,38,"Burlington, VT","barista - Store# 07629, BURLINGTON TOWN CENTER",Starbucks,,"Follows Starbucks operational policies and procedures, including those for cash handling and safety and security, to ensure the safety of all partners during…"
39,39,"Burlington, VT",Motor Vehicle Direct Client Service Specialist I,State of Vermont,$18.99 an hour,The incumbent will be proficient in license or registration.Incumbents must be able to work quickly and accurately under pressure before the public eye and…
40,40,"Burlington, VT",Warehouse Person (Loader) FT/Evenings,PepsiCo,$19.55 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
41,41,"Burlington, VT",Per-Diem Vaccinator - COVID-19 Vaccination Site (Essex Fairg...,Porter Medical Center,,Minimum of one (1) year of relevant clinical experience.The ability to stand on their feet for at least eight hours (with one 30 minute break) and walk in…
42,42,"Burlington, VT",Camp Counselor,"City of Burlington, Vermont",,Follow all departmental and state license rules and regulations.Prior First-Aid / CPR certification.Complete required trainings before the start the camp…
43,43,"Burlington, VT",Front Desk Agent,Delta Burlington,,As needed deliver guest items such as luggage newspapers messages packages amenities or other items requested by guests or team members.
44,44,"Burlington, VT",Custodian,Colchester School District,,"ESSENTIAL DUTIES & RESPONSIBILITIES: Clean building floors: vacuum, sweep, dust mop, wash, strip, wax and buffClean and stock bathrooms, change and clean shower…"
45,45,"Burlington, VT",Warehouse Associate,Tesla,,"Must have a valid state driver’s license.This will include receiving, issuing, and organizing materials for maximum efficiency; and preparing material daily to…"
46,46,"Burlington, VT",Crew,Trader Joe's,$14 - $16 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
47,47,"Burlington, VT",Library Assistant I - Volunteer Coordinator,"City of Burlington, Vermont",,"Answer phone calls, phone requests, take and distribute messages.Provide a variety of patron services using a fully integrated automated library system,…"
48,48,"Burlington, VT",Swahili Translator,Essex Westford School District,$50 an hour,Candidates must live within driving distance to our school district and be able to attend school-based meetings.
49,49,"Burlington, VT",Camp Counselor,"City of Burlington, Vermont",,Follow all departmental and state license rules and regulations.Prior First-Aid / CPR certification.Complete required trainings before the start the camp…
50,50,"Burlington, VT",GMHEC Current Job Openings,Saint Michael's College,,Provide high quality service and programs to our member institutions.Medical Insurance with prescription coverage.And of course Paid Time Off.
51,51,"Burlington, VT",Custodian,Colchester School District,,"ESSENTIAL DUTIES & RESPONSIBILITIES: Clean building floors: vacuum, sweep, dust mop, wash, strip, wax and buffClean and stock bathrooms, change and clean shower…"
52,52,"Burlington, VT",Library Outreach,"City of Burlington, Vermont",,"Answer requests for information by telephone or in-person, ranging from quick fact-finding to in-depth search of library resources, community resources,…"
53,53,"Burlington, VT","Non-Exempt Hourly, Seasonal Part-time - $14 per hour","South Burlington, VT",$14 an hour,"This position is responsible for assisting in the maintenance of all City parks and open space land, bike paths, hiking trails, cemeteries and greenways.…"
54,54,"Burlington, VT",Warehouse Package Handler,FedEx Ground PH US,$16 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
