,Unnamed: 0,City,title,company,salary,summary
0,0,"Caribou,MN",Management Opportunities,Freshies,,"Responsibilities include overall management of the store – including scheduling, hiring/supervising/training, maintaining gas records and pricing, merchandising…"
1,1,"Caribou,MN",Cannabis Packager,Richardson Remedies,,Have the ability to comprehend and follow written and oral instruction.Possess the capability to weigh and measure products of various types and the ability to…
2,2,"Caribou,MN",Transportation Security Officer (TSO),Transportation Security Administration,$16.51 - $23.58 an hour,"Per the President's 2014 Fair Employment memo, TSA policy is to not adversely consider a candidate based on unemployment or financial difficulty through no…"
3,3,"Caribou,MN",Cannabis Budtender,Richardson Remedies,,"Budtender duties include, but are not limited to: greeting patients and visitors, verifying credentials, entering new client information and making required…"
4,4,"Caribou,MN",,SaviLinx,$17 an hour,"The Customer Service Agent supports all quality assurance efforts and Program criteria, while dialing out, taking inbound calls, and email."
5,5,"Caribou,MN",Pharmacy Technician / Pharm Tech Apprenticeship,WALGREENS,,Earns and maintains PTCB certification through the designated PTCB training program and/or state required certification/registration.
6,6,"Caribou,MN",ACCOUNTING TECHNICIAN,US Department of Defense,"$31,520 - $45,847 a year","If you are selected, you will have to obtain this certification within two (2) years of your entry on duty in the position unless you are already in a position…"
7,7,"Caribou,MN",Part Time Teller,The County Federal Credit Union,,"Tellers are responsible for promoting our products and services to all members, processing member transactions (deposits, withdrawals, payments and other cash…"
8,8,"Caribou,MN",Border Patrol Agent,U.S. Customs and Border Protection,,"Search Terms: *airport customs, armed security, army, bike patrol, border patrol, border security, coast guard, customs and immigration, customs officer, dhs,…"
9,9,"Caribou,MN",Customer Service Associate,WALGREENS,,"Registers customer purchases on assigned cash register, collects cash and distributes change as requested; processes voids, returns, rain checks, refunds, and…"
10,10,"Caribou,MN",Customer Counter,UNITED PARCEL SERVICE,,"Operation of cash register and credit card machine.Knowledge and Skills list: Must be able to lift packages up to 70 pounds, be able to use DIAD board and be…"
11,11,"Caribou,MN",SALES FLOOR ASSOCIATE,Dollar Tree,,Handle all sales transactions while operating assigned cash register.General math skills to allow for cash accounting.Plexiglass guards at cash registers.
12,12,"Caribou,MN",Human Resources Specialist,AMHC,,"Familiar with standard concepts, practices and procedures within field.Executes responsibilities professionally and in accordance with the organization’s…"
13,13,"Caribou,MN",Receptionist/Administrative Assistant,Family Eye Care & Mavor Optical Dr. Craig K. Small,$13 - $18 an hour,"Duties include but not limited to interface with patients and doctors, answer phone calls, schedule appointments, authorizing insurance and billing, maintain…"
14,14,"Caribou,MN",PSS,Maine Veterans' Homes,,"Under the supervision of the Residential Care Director, the Personal Support Specialist provides care that meets the physical and the psychosocial needs of the…"
15,15,"Caribou,MN",Cannabis Packager,Richardson Remedies,,Have the ability to comprehend and follow written and oral instruction.Possess the capability to weigh and measure products of various types and the ability to…
16,16,"Caribou,MN",Cannabis Budtender,Richardson Remedies,,"Budtender duties include, but are not limited to: greeting patients and visitors, verifying credentials, entering new client information and making required…"
17,17,"Caribou,MN",Transportation Security Officer (TSO),Transportation Security Administration,$16.51 - $23.58 an hour,"Per the President's 2014 Fair Employment memo, TSA policy is to not adversely consider a candidate based on unemployment or financial difficulty through no…"
18,18,"Caribou,MN",SALES ASSOCIATE,Dollar General,,Operate cash register and flatbed scanner to itemize and total customer's purchase; bag merchandise.Clean front end of store and help set up sidewalk displays…
19,19,"Caribou,MN",,SaviLinx,$17 an hour,"The Customer Service Agent supports all quality assurance efforts and Program criteria, while dialing out, taking inbound calls, and email."
20,20,"Caribou,MN",Counseling Manager,Loring Job Corps Center,,"Minimum: Bachelor’s degree (including 15 semester hours of instruction in social services-related instruction), two years’ experience in counseling or related…"
21,21,"Caribou,MN",Border Patrol Agent,U.S. Customs and Border Protection,,"Search Terms: *airport customs, armed security, army, bike patrol, border patrol, border security, coast guard, customs and immigration, customs officer, dhs,…"
22,22,"Caribou,MN",Customer Service Associate,WALGREENS,,"Registers customer purchases on assigned cash register, collects cash and distributes change as requested; processes voids, returns, rain checks, refunds, and…"
23,23,"Caribou,MN",Pharmacy Technician / Pharm Tech Apprenticeship,WALGREENS,,Earns and maintains PTCB certification through the designated PTCB training program and/or state required certification/registration.
24,24,"Caribou,MN",Customer Counter,UNITED PARCEL SERVICE,,"Operation of cash register and credit card machine.Knowledge and Skills list: Must be able to lift packages up to 70 pounds, be able to use DIAD board and be…"
25,25,"Caribou,MN",ACCOUNTING TECHNICIAN,US Department of Defense,"$31,520 - $45,847 a year","If you are selected, you will have to obtain this certification within two (2) years of your entry on duty in the position unless you are already in a position…"
26,26,"Caribou,MN",Human Resources Specialist,AMHC,,"Familiar with standard concepts, practices and procedures within field.Executes responsibilities professionally and in accordance with the organization’s…"
27,27,"Caribou,MN",Part Time Teller,The County Federal Credit Union,,"Tellers are responsible for promoting our products and services to all members, processing member transactions (deposits, withdrawals, payments and other cash…"
28,28,"Caribou,MN",Site Surveyor,iVueit,,Your job is a very simple property audit involving taking photos and answering short questions that the client needs on a large dispersed portfolio base.
29,29,"Caribou,MN",Receptionist/Administrative Assistant,Family Eye Care & Mavor Optical Dr. Craig K. Small,$13 - $18 an hour,"Duties include but not limited to interface with patients and doctors, answer phone calls, schedule appointments, authorizing insurance and billing, maintain…"
30,30,"Caribou,MN",Barista and Cashier,Dunkin/Ouimet_Jacks,$12.15 - $16.00 an hour,"Someone who comes to work with a positive attitude ready to provide an exceptional guest experience.A job for which all ages, including older job seekers, are…"
31,31,"Caribou,MN",Cannabis Budtender,Richardson Remedies,,"Budtender duties include, but are not limited to: greeting patients and visitors, verifying credentials, entering new client information and making required…"
32,32,"Caribou,MN",,U.S. Customs and Border Protection,,"Search Terms: *airport customs, armed security, army, bike patrol, border patrol, border security, coast guard, customs and immigration, customs officer, dhs,…"
33,33,"Caribou,MN",Legal Secretary/Paralegal,"Bemis & Rossignol, LLC",$17 - $20 an hour,"Answer phone calls, take notes/messages and redirect calls when appropriate.Knowledge of MS Office and ability to work with legal technology (court-filing…"
34,34,"Caribou,MN",SALES ASSOCIATE,Dollar General,,Operate cash register and flatbed scanner to itemize and total customer's purchase; bag merchandise.Clean front end of store and help set up sidewalk displays…
35,35,"Caribou,MN",ACCOUNTING TECHNICIAN,US Department of Defense,"$31,520 - $45,847 a year","If you are selected, you will have to obtain this certification within two (2) years of your entry on duty in the position unless you are already in a position…"
36,36,"Caribou,MN",Part Time Teller,The County Federal Credit Union,,"Tellers are responsible for promoting our products and services to all members, processing member transactions (deposits, withdrawals, payments and other cash…"
37,37,"Caribou,MN",Pharmacy Technician / Pharm Tech Apprenticeship,WALGREENS,,Earns and maintains PTCB certification through the designated PTCB training program and/or state required certification/registration.
38,38,"Caribou,MN",Customer Service Associate,WALGREENS,,"Registers customer purchases on assigned cash register, collects cash and distributes change as requested; processes voids, returns, rain checks, refunds, and…"
39,39,"Caribou,MN",Customer Counter,UNITED PARCEL SERVICE,,"Operation of cash register and credit card machine.Knowledge and Skills list: Must be able to lift packages up to 70 pounds, be able to use DIAD board and be…"
40,40,"Caribou,MN",Human Resources Specialist,AMHC,,"Familiar with standard concepts, practices and procedures within field.Executes responsibilities professionally and in accordance with the organization’s…"
41,41,"Caribou,MN",SALES FLOOR ASSOCIATE,Dollar Tree,,Handle all sales transactions while operating assigned cash register.General math skills to allow for cash accounting.Plexiglass guards at cash registers.
42,42,"Caribou,MN",Transportation Security Officer (TSO),Transportation Security Administration,$16.51 - $23.58 an hour,"Per the President's 2014 Fair Employment memo, TSA policy is to not adversely consider a candidate based on unemployment or financial difficulty through no…"
43,43,"Caribou,MN",Monitor Technician,Northern Light Health,,17.Provides typing and computer skills necessary to assist Department Manager with the management of unit and order entry skills to assist with patient care.
44,44,"Caribou,MN",Director of Nursing (Interim),Polaris Group,$55 - $60 an hour,"Polaris Group is currently looking for an Interim/Travel RN MDS Coordinator, in a beautiful, progressive Skilled Nursing Facility in the Caribou, ME area."
45,45,"Caribou,MN",Cannabis Packager,Richardson Remedies,,Have the ability to comprehend and follow written and oral instruction.Possess the capability to weigh and measure products of various types and the ability to…
46,46,"Caribou,MN",Management Opportunities,Freshies,,"Responsibilities include overall management of the store – including scheduling, hiring/supervising/training, maintaining gas records and pricing, merchandising…"
