,Unnamed: 0,City,title,company,salary,summary
0,0,"Charleston,WV",Transportation Security Officer (TSO),Transportation Security Administration,$16.51 - $23.58 an hour,"Per the President's 2014 Fair Employment memo, TSA policy is to not adversely consider a candidate based on unemployment or financial difficulty through no…"
1,1,"Charleston,WV",Customer Representative,Allstate Insurance Company,"$45,000 - $85,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
2,2,"Charleston,WV",O&M Technician,TruStar Energy,$28 - $35 an hour,"Respond to emergency calls and preventative maintenance calls in an organized manner.Service existing accounts by routinely calling on customers, receiving…"
3,3,"Charleston,WV",,"Loomis Armored US, LLC",$15.00 - $17.82 an hour,"Approximately 90-95 percent of work performed in vehicle within individual compartments (front and rear).Servicing ATM machines on a set schedule, including re…"
4,4,"Charleston,WV",Line Service Technician,Yeager Airport,$13 - $16 an hour,"Subject to a variety of extreme weather conditions; susceptible to mechanical, electrical, and chemical hazards associated with equipment and maintenance duties…"
5,5,"Charleston,WV",Bottle Service Waitress / Server,MVP Hospitality Group,$100 - $350 a day,"As a bottle service waitress, your goal is to ensure that your guests have a great experience by providing excellent customer service!"
6,6,"Charleston,WV",New Business Coordinator,Allstate Insurance Company,"$45,000 - $85,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
7,7,"Charleston,WV",Good Hands Team Member,Allstate Insurance Company,"$45,000 - $85,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
8,8,"Charleston,WV",CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
9,9,"Charleston,WV",Warehouse Package Handler,FedEx Ground PH US,Up to $12.50 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
10,10,"Charleston,WV",Executive Secretary,Right At Home,"$45,000 - $50,000 a year",Be one of the primary persons to answer on the phones.Manage our 401k plan for the field and administrative staff.Order and manage the office supplies.
11,11,"Charleston,WV",All Positions,Holiday Inn Express and Suites,$9.00 - $10.50 an hour,"Hiring for all positions immediately- full time and part time available.Job Types: Full-time, Part-time."
12,12,"Charleston,WV",Admitting Clerk -- Registration -- General Hospital,CAMC Health System,$12.27 - $18.41 an hour,"Perform clerical and receptionist duties as necessary.Accountable for interviewing the incoming patient or patient representative, recording the information…"
13,13,"Charleston,WV",IT Help Desk Technician,Law Firm,,Equivalent work experience may be substituted for college degree or trade school certification.Assist with help desk by providing support for several dozen…
14,14,"Charleston,WV",Front Office,Francke and Nunley M.D.'s,$11.50 - $12.00 an hour,We have an immediate full time medical front office position available.
15,15,"Charleston,WV",Transportation Security Officer (TSO),Transportation Security Administration,$16.51 - $23.58 an hour,"Per the President's 2014 Fair Employment memo, TSA policy is to not adversely consider a candidate based on unemployment or financial difficulty through no…"
16,16,"Charleston,WV",O&M Technician,TruStar Energy,$28 - $35 an hour,"Respond to emergency calls and preventative maintenance calls in an organized manner.Service existing accounts by routinely calling on customers, receiving…"
17,17,"Charleston,WV",Customer Representative,Allstate Insurance Company,"$45,000 - $85,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
18,18,"Charleston,WV",,"Loomis Armored US, LLC",$15.00 - $17.82 an hour,"Approximately 90-95 percent of work performed in vehicle within individual compartments (front and rear).Servicing ATM machines on a set schedule, including re…"
19,19,"Charleston,WV",Line Service Technician,Yeager Airport,$13 - $16 an hour,"Subject to a variety of extreme weather conditions; susceptible to mechanical, electrical, and chemical hazards associated with equipment and maintenance duties…"
20,20,"Charleston,WV",Bottle Service Waitress / Server,MVP Hospitality Group,$100 - $350 a day,"As a bottle service waitress, your goal is to ensure that your guests have a great experience by providing excellent customer service!"
21,21,"Charleston,WV",CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
22,22,"Charleston,WV",New Business Coordinator,Allstate Insurance Company,"$45,000 - $85,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
23,23,"Charleston,WV",Good Hands Team Member,Allstate Insurance Company,"$45,000 - $85,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
24,24,"Charleston,WV",Warehouse Package Handler,FedEx Ground PH US,Up to $12.50 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
25,25,"Charleston,WV",Executive Secretary,Right At Home,"$45,000 - $50,000 a year",Be one of the primary persons to answer on the phones.Manage our 401k plan for the field and administrative staff.Order and manage the office supplies.
26,26,"Charleston,WV",All Positions,Holiday Inn Express and Suites,$9.00 - $10.50 an hour,"Hiring for all positions immediately- full time and part time available.Job Types: Full-time, Part-time."
27,27,"Charleston,WV",Admitting Clerk -- Registration -- General Hospital,CAMC Health System,$12.27 - $18.41 an hour,"Perform clerical and receptionist duties as necessary.Accountable for interviewing the incoming patient or patient representative, recording the information…"
28,28,"Charleston,WV",Eye Care Receptionist,Charleston Vision Source,$11 - $13 an hour,"Answering and routing phone calls.Full time medical reception position for locally owned, growing eye care practice.Participation in office staff meetings."
29,29,"Charleston,WV",IT Help Desk Technician,Law Firm,,Equivalent work experience may be substituted for college degree or trade school certification.Assist with help desk by providing support for several dozen…
30,30,"Charleston,WV",Transportation Security Officer (TSO),Transportation Security Administration,$16.51 - $23.58 an hour,"Per the President's 2014 Fair Employment memo, TSA policy is to not adversely consider a candidate based on unemployment or financial difficulty through no…"
31,31,"Charleston,WV",,Ford & Sweeney Accounting and Tax Services,$29 - $31 an hour,"An Associate’s degree or Bachelor's Degree from an accredited college or university with a major in Geographic Information Systems, Geography, or a related…"
32,32,"Charleston,WV",Customer Representative,Allstate Insurance Company,"$45,000 - $85,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
33,33,"Charleston,WV",Drive Thru Team Member,Chick-fil-A Southridge Center,From $12.50 an hour,Our Guest Service Team Members are the face of our company and are the first step in providing quality service and hospitality to our guests.
34,34,"Charleston,WV",Good Hands Team Member,Allstate Insurance Company,"$45,000 - $85,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
35,35,"Charleston,WV",New Business Coordinator,Allstate Insurance Company,"$45,000 - $85,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
36,36,"Charleston,WV",O&M Technician,TruStar Energy,$28 - $35 an hour,"Respond to emergency calls and preventative maintenance calls in an organized manner.Service existing accounts by routinely calling on customers, receiving…"
37,37,"Charleston,WV",Bottle Service Waitress / Server,MVP Hospitality Group,$100 - $350 a day,"As a bottle service waitress, your goal is to ensure that your guests have a great experience by providing excellent customer service!"
38,38,"Charleston,WV",Armored Service Technician,"Loomis Armored US, LLC",$15.00 - $17.82 an hour,"Approximately 90-95 percent of work performed in vehicle within individual compartments (front and rear).Servicing ATM machines on a set schedule, including re…"
39,39,"Charleston,WV",Line Service Technician,Yeager Airport,$13 - $16 an hour,"Subject to a variety of extreme weather conditions; susceptible to mechanical, electrical, and chemical hazards associated with equipment and maintenance duties…"
40,40,"Charleston,WV",Assistant Purchasing Manager,Gestamp,,"Bidding and maintaining MRO (Maintenance, Repair, Operations) pricing records for MRP (Materials Requirement Planning) functionality, Bid and manage open…"
41,41,"Charleston,WV",Legal Secretary,Jackson Kelly PLLC,From $17 an hour,"The ideal candidate should have three to five years of secretarial experience (legal experience preferred), possess a strong attention to detail, excellent…"
42,42,"Charleston,WV",Executive Secretary,Right At Home,"$45,000 - $50,000 a year",Be one of the primary persons to answer on the phones.Manage our 401k plan for the field and administrative staff.Order and manage the office supplies.
43,43,"Charleston,WV",Hospital Liaison,DASCO Home Medical Equipment,,"This role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines."
44,44,"Charleston,WV",Warehouse Package Handler,FedEx Ground PH US,Up to $12.50 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
45,45,"Charleston,WV",Transportation Security Officer (TSO),Transportation Security Administration,$16.51 - $23.58 an hour,"Per the President's 2014 Fair Employment memo, TSA policy is to not adversely consider a candidate based on unemployment or financial difficulty through no…"
46,46,"Charleston,WV",Customer Representative,Allstate Insurance Company,"$45,000 - $85,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
47,47,"Charleston,WV",O&M Technician,TruStar Energy,$28 - $35 an hour,"Respond to emergency calls and preventative maintenance calls in an organized manner.Service existing accounts by routinely calling on customers, receiving…"
48,48,"Charleston,WV",,"Loomis Armored US, LLC",$15.00 - $17.82 an hour,"Approximately 90-95 percent of work performed in vehicle within individual compartments (front and rear).Servicing ATM machines on a set schedule, including re…"
49,49,"Charleston,WV",Line Service Technician,Yeager Airport,$13 - $16 an hour,"Subject to a variety of extreme weather conditions; susceptible to mechanical, electrical, and chemical hazards associated with equipment and maintenance duties…"
50,50,"Charleston,WV",New Business Coordinator,Allstate Insurance Company,"$45,000 - $85,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
51,51,"Charleston,WV",Good Hands Team Member,Allstate Insurance Company,"$45,000 - $85,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
52,52,"Charleston,WV",Bottle Service Waitress / Server,MVP Hospitality Group,$100 - $350 a day,"As a bottle service waitress, your goal is to ensure that your guests have a great experience by providing excellent customer service!"
53,53,"Charleston,WV",Executive Secretary,Right At Home,"$45,000 - $50,000 a year",Be one of the primary persons to answer on the phones.Manage our 401k plan for the field and administrative staff.Order and manage the office supplies.
54,54,"Charleston,WV",All Positions,Holiday Inn Express and Suites,$9.00 - $10.50 an hour,"Hiring for all positions immediately- full time and part time available.Job Types: Full-time, Part-time."
55,55,"Charleston,WV",IT Help Desk Technician,Law Firm,,Equivalent work experience may be substituted for college degree or trade school certification.Assist with help desk by providing support for several dozen…
56,56,"Charleston,WV",Medical Receptionist,"Mountain State Eye Associates, PLLC",,"Busy ophthalmology office seeking an experienced medical receptionist.Multi-tasking, flexibility, insurance knowledge, telephone skills,."
57,57,"Charleston,WV",Customer Service Associate - Phone/Email/Chat - $15.25/hr,ibex,$15.25 an hour,"Some college background, prefer bachelor’s degree from an accredited institution.Educating new and existing users on how to use the app and investing…"
58,58,"Charleston,WV",Customer Service Work at Home - No Weekends (WV Only),Alorica,,"Escalates calls to supervisor when necessary and appropriate.Your mission (should you choose to accept it) is to offer customer support through phone, email,…"
59,59,"Charleston,WV",CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
