,Unnamed: 0,City,title,company,salary,summary
0,0,"Charlotte,NC",,The Connor Group,"$75,000 - $110,000 a year","Real advancement opportunities based off performance.Outstanding compensation and bonus plan.Best in the industry benefits, 401k, longevity bonus and more!"
1,1,"Charlotte,NC",Data Entry Specialist,Randall-Reilly,,Requirements: High volume alpha numeric and 10-key data entry experience preferred.This role assists in building a high degree of confidence in our data to our…
2,2,"Charlotte,NC",Warehouse/Material Handler,Frito-Lay North America,$18.43 an hour,Safely operate a forklift after we provide you training and you obtain certification.Load trailers via carts or stack cases on the floor of a truck trailer.
3,3,"Charlotte,NC",Warehouse Team Member,Amazon HVH,,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
4,4,"Charlotte,NC",Front Desk Receptionist,Movement School,$13 - $14 an hour,Answer the telephone and take messages when necessary.Answering and routing phone calls.Interact with all visitors in a pleasant and efficient manner.
5,5,"Charlotte,NC",Immediate Opening- Assistant Front Desk,CDS Concierge,$14 - $17 an hour,Maintain an active presence in the concierge lobby to greet and assist incoming guests.Give courtesy calls to new move ins and find ways to impress guest and…
6,6,"Charlotte,NC",Warehouse Associate,Tesla,,"Must have a valid state driver’s license.This will include receiving, issuing, and organizing materials for maximum efficiency; and preparing material daily to…"
7,7,"Charlotte,NC",Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
8,8,"Charlotte,NC",Customer Service Agent,Williams-Sonoma Inc. Customer Care Centers,$14 an hour,"Agents are trained in taking calls to assist customers with anything from placing orders and facilitating returns, to locating products and scheduling…"
9,9,"Charlotte,NC",DA Victim Services Coordinator,North Carolina District Attorney,"$32,780 - $38,769 a year","Skill in: Microsoft Office Word, Excel, Outlook, and PowerPoint; accurately typing 35-40 wpm; and answering a multi-line telephone system."
10,10,"Charlotte,NC",Front Desk Receptionist,Jeffrey Kleinheinz DDS PA,$18 - $20 an hour,Answering and routing phone calls.We need someone with a great smile to greet our patients by name and be the face of our practice.
11,11,"Charlotte,NC",Recreation Specialist,Mecklenburg County Government,$16 - $20 an hour,Licenses and Certifications*: Position may require a valid North Carolina or South Carolina’s driver’s license and the ability to obtain and maintain a County…
12,12,"Charlotte,NC",Rail Car Technician,City of Charlotte and Mecklenburg County,$25.25 - $33.14 an hour,"Must have a valid driver's license and the ability to attain a North Carolina driver's license within the timelines outlined by CATS and the City of Charlotte,…"
13,13,"Charlotte,NC",Pharmaceutical Sales Representative (Entry Level - Primary C...,Prism Pharmaceutical,"$71,300 - $94,100 a year",Possess a valid driver’s license.Ability to understand and communicate highly scientific and technical medical information.
14,14,"Charlotte,NC",Front Office Associate/PCC,Crossing Paths LLC,$16 an hour,"You will be responsible for managing the front area which includes, customer service, making outbound calls from our customer database to schedule appointments,…"
15,15,"Charlotte,NC",Production and Packaging Team Member,Sycamore Brewing,$13 - $17 an hour,This position is considered entry-level and will focus on the packaging side of our production operations.Participate in brewery/tap room events and festivals.
16,16,"Charlotte,NC",Professional Personal Assistant,Life Line Financial Group,$25 - $30 an hour,Flexibility to travel out of state with employer several times per year.Booking flight and hotel accommodations.Non - Profit experience a plus.
