,Unnamed: 0,City,title,company,salary,summary
0,0,"Chicago, IL",Entry Level Management - Customer Service - Interview Today,THE WCP Group,"$800 - $1,200 a week","Must have a reliable vehicle and valid driver's license.Skills that work well with our company are: sales and marketing, hospitality, retail experience,…"
1,1,"Chicago, IL",Seasonal Warehouse Team Member,Amazon HVH,,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own."
2,2,"Chicago, IL",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
3,3,"Chicago, IL",FT & PT Package Handler - Warehouse,FedEx Ground PH US,Up to $19 an hour ++,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
4,4,"Chicago, IL",Social Media Moderator (Contract Part Time/Remote),Corelle Brands,,"Gather, analyze and utilize relevant data to develop ways to improve the overall user experience on the site.Wow our consumers – provide best-in-class customer…"
5,5,"Chicago, IL",Warehouse Package Handler,FedEx Ground PH US,Up to $22.50 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
6,6,"Chicago, IL",Customer Assistance Representative,American Airlines,,Applicable valid driver’s license as required by local authorities.Processing and completing credit card baggage transactions at kiosks.
7,7,"Chicago, IL",Part-Time Store Associate,ALDI,$14 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
8,8,"Chicago, IL",Mariano's Retail Clerk (Chicago/S. Ashland Ave./Bridgeport),Mariano's,,Assist customers at checkout and bag groceries.Build attractive displays and stock shelves.Select and gather products to fulfill customer’s online orders.
9,9,"Chicago, IL",Registration and Enrollment Clerk,Evanston/Skokie School District 65,$21.78 an hour,Central Office/Registration and Enrollment Clerk.Illinois Municipal Retirement Fund pension plan.Life Insurance and Long Term Disability.
10,10,"Chicago, IL",Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
11,11,"Chicago, IL","Sales, Cashier and Stockroom Associates",ZARA,,The sales associate is responsible for greeting and assisting the customers as well as maintaining the appearance of the store and the merchandise.
12,12,"Chicago, IL",School Clerk (School Office Services),Chicago Public Schools,,"ESSENTIAL FUNCTIONS: Prepares and types a variety of original correspondence, memorandums, and reports using either a personal computer or typewriter, as…"
13,13,"Chicago, IL",Part-Time Seasonal,Chicago Public Schools,,"Data entry, filing, answering phones and other various clerical duties.Our vision is that Every Chicago Public Schools student in every neighborhood will be…"
14,14,"Chicago, IL",Airport Operations Crew,JetBlue Airways Corporation,,"Depending upon location, may need to possess and maintain a valid Driver License and a driving record that meets JetBlue Airways’ insurance standards."
15,15,"Chicago, IL",Entry Level Management - Customer Service - Interview Today,THE WCP Group,"$800 - $1,200 a week","Must have a reliable vehicle and valid driver's license.Skills that work well with our company are: sales and marketing, hospitality, retail experience,…"
16,16,"Chicago, IL",Seasonal Warehouse Team Member,Amazon HVH,,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own."
17,17,"Chicago, IL",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
18,18,"Chicago, IL",FT & PT Package Handler - Warehouse,FedEx Ground PH US,Up to $19 an hour ++,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
19,19,"Chicago, IL",Social Media Moderator (Contract Part Time/Remote),Corelle Brands,,"Gather, analyze and utilize relevant data to develop ways to improve the overall user experience on the site.Wow our consumers – provide best-in-class customer…"
20,20,"Chicago, IL",Warehouse Package Handler,FedEx Ground PH US,Up to $22.50 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
21,21,"Chicago, IL",Customer Assistance Representative,American Airlines,,Applicable valid driver’s license as required by local authorities.Processing and completing credit card baggage transactions at kiosks.
22,22,"Chicago, IL",Part-Time Store Associate,ALDI,$14 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
23,23,"Chicago, IL",Mariano's Retail Clerk (Chicago/S. Ashland Ave./Bridgeport),Mariano's,,Assist customers at checkout and bag groceries.Build attractive displays and stock shelves.Select and gather products to fulfill customer’s online orders.
24,24,"Chicago, IL",Registration and Enrollment Clerk,Evanston/Skokie School District 65,$21.78 an hour,Central Office/Registration and Enrollment Clerk.Illinois Municipal Retirement Fund pension plan.Life Insurance and Long Term Disability.
25,25,"Chicago, IL",Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
26,26,"Chicago, IL","Sales, Cashier and Stockroom Associates",ZARA,,The sales associate is responsible for greeting and assisting the customers as well as maintaining the appearance of the store and the merchandise.
27,27,"Chicago, IL",School Clerk (School Office Services),Chicago Public Schools,,"ESSENTIAL FUNCTIONS: Prepares and types a variety of original correspondence, memorandums, and reports using either a personal computer or typewriter, as…"
28,28,"Chicago, IL",Part-Time Seasonal,Chicago Public Schools,,"Data entry, filing, answering phones and other various clerical duties.Our vision is that Every Chicago Public Schools student in every neighborhood will be…"
29,29,"Chicago, IL",Airport Operations Crew,JetBlue Airways Corporation,,"Depending upon location, may need to possess and maintain a valid Driver License and a driving record that meets JetBlue Airways’ insurance standards."
30,30,"Chicago, IL",Entry Level Management - Customer Service - Interview Today,THE WCP Group,"$800 - $1,200 a week","Must have a reliable vehicle and valid driver's license.Skills that work well with our company are: sales and marketing, hospitality, retail experience,…"
31,31,"Chicago, IL",Seasonal Warehouse Team Member,Amazon HVH,,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own."
32,32,"Chicago, IL",FT & PT Package Handler - Warehouse,FedEx Ground PH US,Up to $19 an hour ++,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
33,33,"Chicago, IL",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
34,34,"Chicago, IL",Social Media Moderator (Contract Part Time/Remote),Corelle Brands,,"Gather, analyze and utilize relevant data to develop ways to improve the overall user experience on the site.Wow our consumers – provide best-in-class customer…"
35,35,"Chicago, IL",Warehouse Package Handler,FedEx Ground PH US,Up to $22.50 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
36,36,"Chicago, IL",Part-Time Store Associate,ALDI,$14 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
37,37,"Chicago, IL",Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
38,38,"Chicago, IL",Mariano's Retail Clerk (Chicago/S. Ashland Ave./Bridgeport),Mariano's,,Assist customers at checkout and bag groceries.Build attractive displays and stock shelves.Select and gather products to fulfill customer’s online orders.
39,39,"Chicago, IL",Warehouse Person (Loader) Part-Time/Evenings,PepsiCo,$14.95 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
40,40,"Chicago, IL",Part-Time Seasonal,Chicago Public Schools,,"Data entry, filing, answering phones and other various clerical duties.Our vision is that Every Chicago Public Schools student in every neighborhood will be…"
41,41,"Chicago, IL",Case Processor (Office Automation),US Department of the Treasury,"$39,311 - $59,049 a year","Retrieves from automated systems a variety of reports and technical material including forms, correspondence, supporting statements, and documents that contain…"
42,42,"Chicago, IL",School Clerk (School Office Services),Chicago Public Schools,,"ESSENTIAL FUNCTIONS: Prepares and types a variety of original correspondence, memorandums, and reports using either a personal computer or typewriter, as…"
43,43,"Chicago, IL",GROCERY DEPARTMENT,Jewel Osco,,"In some areas, you may be required to obtain a food handler's certification.You will assist with cleaning and sanitizing food preparation areas, tools, and…"
44,44,"Chicago, IL",Airport Operations Crew,JetBlue Airways Corporation,,"Depending upon location, may need to possess and maintain a valid Driver License and a driving record that meets JetBlue Airways’ insurance standards."
45,45,"Chicago, IL",Entry Level Management - Customer Service - Interview Today,THE WCP Group,"$800 - $1,200 a week","Must have a reliable vehicle and valid driver's license.Skills that work well with our company are: sales and marketing, hospitality, retail experience,…"
46,46,"Chicago, IL",Seasonal Warehouse Team Member,Amazon HVH,,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own."
47,47,"Chicago, IL",FT & PT Package Handler - Warehouse,FedEx Ground PH US,Up to $19 an hour ++,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
48,48,"Chicago, IL",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
49,49,"Chicago, IL",Social Media Moderator (Contract Part Time/Remote),Corelle Brands,,"Gather, analyze and utilize relevant data to develop ways to improve the overall user experience on the site.Wow our consumers – provide best-in-class customer…"
50,50,"Chicago, IL",Warehouse Package Handler,FedEx Ground PH US,Up to $22.50 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
51,51,"Chicago, IL",Part-Time Store Associate,ALDI,$14 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
52,52,"Chicago, IL",Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
53,53,"Chicago, IL",Mariano's Retail Clerk (Chicago/S. Ashland Ave./Bridgeport),Mariano's,,Assist customers at checkout and bag groceries.Build attractive displays and stock shelves.Select and gather products to fulfill customer’s online orders.
54,54,"Chicago, IL",Warehouse Person (Loader) Part-Time/Evenings,PepsiCo,$14.95 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
55,55,"Chicago, IL",Part-Time Seasonal,Chicago Public Schools,,"Data entry, filing, answering phones and other various clerical duties.Our vision is that Every Chicago Public Schools student in every neighborhood will be…"
56,56,"Chicago, IL",Case Processor (Office Automation),US Department of the Treasury,"$39,311 - $59,049 a year","Retrieves from automated systems a variety of reports and technical material including forms, correspondence, supporting statements, and documents that contain…"
57,57,"Chicago, IL",School Clerk (School Office Services),Chicago Public Schools,,"ESSENTIAL FUNCTIONS: Prepares and types a variety of original correspondence, memorandums, and reports using either a personal computer or typewriter, as…"
58,58,"Chicago, IL",GROCERY DEPARTMENT,Jewel Osco,,"In some areas, you may be required to obtain a food handler's certification.You will assist with cleaning and sanitizing food preparation areas, tools, and…"
59,59,"Chicago, IL",Airport Operations Crew,JetBlue Airways Corporation,,"Depending upon location, may need to possess and maintain a valid Driver License and a driving record that meets JetBlue Airways’ insurance standards."
60,60,"Chicago, IL",Entry Level Management - Customer Service - Interview Today,THE WCP Group,"$800 - $1,200 a week","Must have a reliable vehicle and valid driver's license.Skills that work well with our company are: sales and marketing, hospitality, retail experience,…"
61,61,"Chicago, IL",Seasonal Warehouse Team Member,Amazon HVH,,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own."
62,62,"Chicago, IL",FT & PT Package Handler - Warehouse,FedEx Ground PH US,Up to $19 an hour ++,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
63,63,"Chicago, IL",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
64,64,"Chicago, IL",Social Media Moderator (Contract Part Time/Remote),Corelle Brands,,"Gather, analyze and utilize relevant data to develop ways to improve the overall user experience on the site.Wow our consumers – provide best-in-class customer…"
65,65,"Chicago, IL",Warehouse Package Handler,FedEx Ground PH US,Up to $22.50 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
66,66,"Chicago, IL",Part-Time Store Associate,ALDI,$14 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
67,67,"Chicago, IL",Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
68,68,"Chicago, IL",Mariano's Retail Clerk (Chicago/S. Ashland Ave./Bridgeport),Mariano's,,Assist customers at checkout and bag groceries.Build attractive displays and stock shelves.Select and gather products to fulfill customer’s online orders.
69,69,"Chicago, IL",Warehouse Person (Loader) Part-Time/Evenings,PepsiCo,$14.95 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
70,70,"Chicago, IL",Part-Time Seasonal,Chicago Public Schools,,"Data entry, filing, answering phones and other various clerical duties.Our vision is that Every Chicago Public Schools student in every neighborhood will be…"
71,71,"Chicago, IL",Case Processor (Office Automation),US Department of the Treasury,"$39,311 - $59,049 a year","Retrieves from automated systems a variety of reports and technical material including forms, correspondence, supporting statements, and documents that contain…"
