,Unnamed: 0,City,title,company,salary,summary
0,0,"Cleveland,OH",Amazon Order Picker/Packer - Immediate Hire,Amazon Workforce Staffing,$15.00 - $18.30 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
1,1,"Cleveland,OH",Transportation Security Officer (TSO),Transportation Security Administration,$17.20 - $24.57 an hour,"Per the President's 2014 Fair Employment memo, TSA policy is to not adversely consider a candidate based on unemployment or financial difficulty through no…"
2,2,"Cleveland,OH",Production Worker,Worthington Industries,$16 - $19 an hour ++,The primary role for the Production Worker / Material Handler is moving material around the plant or work site with a forklift and/or crane in order for…
3,3,"Cleveland,OH",Constructionist,Snavely Building Company,$25 an hour,Manage and maintain tools and supplies inventory in the Snavely warehouse.Travel between various construction sites on any given day.
4,4,"Cleveland,OH",Entry Level Internet Crime Investigator,Digital Forensics Corp.,"$35,000 - $45,000 a year","Develop and implement databases, data collection systems, data analytics and other strategies that optimize efficiency and quality."
5,5,"Cleveland,OH",Administrative- Receptionist Office Assistant,ST. CLAIR SUPERIOR DEVELOPMENT CORPORATION,"$38,000 - $80,000 a year","The Receptionist/Customer Service will be responsible for answering incoming calls, directing calls to appropriate associates, mail distribution, flow of…"
6,6,"Cleveland,OH",,Giant Eagle,,Become familiar with products to answer questions and make suggestions.Provide amazing customer service by greeting customers and ensuring that orders and…
7,7,"Cleveland,OH","Server, Bartender, Busser, Runner, Guest Services - Clevelan...",Topgolf,,"If extended the invitation, we’ll be ready to welcome you to an interview with guidelines around social distancing and interview protocols to help keep you safe…"
8,8,"Cleveland,OH",Amazon Warehouse Worker - Immediate Hire!,Amazon Workforce Staffing,$15 an hour,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
9,9,"Cleveland,OH","Management, Stockroom, Cashier, FT, PT",Ross Dress For Less,$11 - $16 an hour,Our management team will work with you around scheduling needs to fit our business and your availability.Store associates get 20% off on most items every day.
10,10,"Cleveland,OH",Centralized Claims Adjuster,Progressive,$21 an hour,"Independently make decisions related to liability and coverages.Diverse, inclusive & welcoming culture with Employee Resource Groups."
11,11,"Cleveland,OH",Front Desk Receptionist,Shoreby Club,$12 - $14 an hour,"Fulfills guest request (places calls, holds letters or packages, etc.).Answers phone, transfers calls to proper extensions, takes messages for members and…"
12,12,"Cleveland,OH",Part-Time Store Associate,Aldi,$14 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
13,13,"Cleveland,OH",Entry Level AML Analyst - We Will Train,Aml Rightsource Llc,,"Work effectively with multiple complex data sources and technical analytical tools/resources.Adhere to and comply with all applicable, federal and state laws,…"
14,14,"Cleveland,OH",Part-Time Stocker,ALDI,$14 an hour,"When you join our team as a Stocker, you’ll be responsible for stocking, organizing new incoming inventory and safely operating machinery."
15,15,"Cleveland,OH",Manufacturing Lab Intern,Cuyahoga Community College,$15 - $20 an hour,"Associate's degree in related field.Manages distribution of cutting and inspection tools, project stock and student textbooks.High school diploma or GED."
16,16,"Cleveland,OH",Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
17,17,"Cleveland,OH",,FedEx Ground PH US,Up to $19 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
18,18,"Cleveland,OH",Forklift Operator / Material Handler,Estes Express Lines,From $21 an hour,"Pay & Benefits for Full-time Cleveland, OH *Dock Workers: .Starting hourly rate of $21.00.Medical, dental, and vision insurance."
19,19,"Cleveland,OH",Amazon Order Picker/Packer - Immediate Hire,Amazon Workforce Staffing,$15.00 - $18.30 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
20,20,"Cleveland,OH",Associate Scientist,Cleveland Diagnostics Inc,"$42,000 - $65,000 a year","Accumulate data from analyses and prepare charts, graphs, statistical tables for presentation to supervisor for final analysis.Light lifting may be required."
21,21,"Cleveland,OH","Grocery Store Clerk (cashiers, pricing, office, sales clerks...",Dave's Markets,From $10 an hour,"Shift Leads (Front-End/Cashier).Department Clerks (bakery sales, produce, meat, dairy/frozen).Store hours are 7am to 8pm or 9pm, 7 days a week."
22,22,"Cleveland,OH",Constructionist,Snavely Building Company,$25 an hour,Manage and maintain tools and supplies inventory in the Snavely warehouse.Travel between various construction sites on any given day.
23,23,"Cleveland,OH",Administrative- Receptionist Office Assistant,ST. CLAIR SUPERIOR DEVELOPMENT CORPORATION,"$38,000 - $80,000 a year","The Receptionist/Customer Service will be responsible for answering incoming calls, directing calls to appropriate associates, mail distribution, flow of…"
24,24,"Cleveland,OH",Practice Manager,D4C Dental Brands,$20 - $39 an hour,Manage the day to day flow of the office.Maintain focus on a productive schedule that supports dentists and hygienists as they deliver high quality patient…
25,25,"Cleveland,OH",Centralized Claims Adjuster,Progressive,$21 an hour,"Independently make decisions related to liability and coverages.Diverse, inclusive & welcoming culture with Employee Resource Groups."
26,26,"Cleveland,OH",Tour Guide/Gift Shop Associate,A Christmas Story House & Museum,$13 an hour,"Ensures that each guest receives outstanding customer service by providing a friendly environment which includes greeting and acknowledging every guest,…"
27,27,"Cleveland,OH",Cashier,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance."
28,28,"Cleveland,OH",Production Worker,Worthington Industries,$16 - $19 an hour ++,The primary role for the Production Worker / Material Handler is moving material around the plant or work site with a forklift and/or crane in order for…
29,29,"Cleveland,OH",Video Editor,Hiring Optics,$17 - $19 an hour,"Job Types: Full-time, Part-time, Contract.Job Types: Full-time, Internship.High school or equivalent (Preferred).Adobe Premiere: 2 years (Preferred)."
30,30,"Cleveland,OH",Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
31,31,"Cleveland,OH",Cost Accountant/Analyst,TALAN PRODUCTS,,"Will use existing system cost reporting tools and develop new reports for ongoing or ad-hoc purposes.Analyzes changes in product design, raw materials,…"
32,32,"Cleveland,OH",,EnnisCourt Skilled Nursing,$26 - $30 an hour,Qualified candidates must possess a current Registered Nurse license.They will be expected to have the skills necessary to perform the duties of a charge nurse…
