,Unnamed: 0,City,title,company,salary,summary
0,0,"Columbia, SC",FedEx Delivery Driver,MAD Transportation Inc./Fedex Ground,$150 a day,"Drivers must be at least 21 years old with a valid driver's license and a clean driving record.Commercial driving experience means any driving job, including:…"
1,1,"Columbia, SC",,The Home Depot,,"They provide first level escalation for customer issues and assist in the supervision, coaching and training of other Front End Associates by participating in…"
2,2,"Columbia, SC",ASSISTANT RURAL CARRIER (ARC),United States Postal Service,$19.06 an hour,"DRIVING REQUIRED: Applicants should have a valid state driver’s license, a safe driving record and at least two years of.May case, deliver, and collect mail."
3,3,"Columbia, SC",Medical Office Manager,"Carolina Retina Center, PA",$24 - $28 an hour,"Oversees day to day practice operations, including front desk, billing/accounts receivables, clinical, accounts payable, payroll and human resources."
4,4,"Columbia, SC",Patient Care Representative,Call 4 Health,$11 - $12 an hour,"Responsible for scheduling and re-scheduling patient appointments, answering questions based on account scripting, code calls, specialty account protocols,…"
5,5,"Columbia, SC",Custodian II,Irmo Chapin Recreation Commission,"$28,671 - $43,007 a year",Must possess a valid state driver’s license.Provides assistance to staff as requested; assists contractors with facility and grounds maintenance.
6,6,"Columbia, SC",Technical Support Representative (US)- Work From Home,Teleperformance,,"Handle and carefully respond to all customer inquiries by building excellent rapport & confidence, identifying their needs, and taking strategic action in a…"
7,7,"Columbia, SC",Line Operator,Charter Next Generation,,"Unique schedule- 12 hour shifts with rotating days!Demonstrated ability to make sound decisions under pressure, strong math skills, and computer skills."
8,8,"Columbia, SC",Paralegal/Legal Assistant,Boykin & Davis LLC,$17 - $20 an hour,Work with attorneys in the preparation and filing of all court documents.File federal and South Carolina State court documents using their on-line filing…
9,9,"Columbia, SC",Customer Care Agent,"Genesis Call Center, LLC",$8 - $14 an hour,"Manage large amounts of inbound and outbound calls in a timely manner.US resident (any state except CA, CT, MD, MA, NY, OR, or WI).At least 18 years old."
10,10,"Columbia, SC",AE - Brand Ambassador (Sales Associate) - US,American Eagle Outfitters,,Making your guests' day is your priority and you’re able to proactively resolve guest concerns while sticking to company policy.
11,11,"Columbia, SC",Night Selector - 4 DAY WORK SCHEDULE,US Foods,Up to $34 an hour,"Recent experience (within past 6 months) in high endurance or highly physical activity or role preferred e.g. lifting/transferring patients, sports/fitness,…"
12,12,"Columbia, SC",Legal Secretary/Paralegal,HGCGM,"Up to $50,000 a year","Two Lawyers with wide ranging practices seek experienced, versatile and productive person(s) with excellent typing skills and working knowledge of Personal…"
13,13,"Columbia, SC",Imaging Assistant,Prisma Health,,To act as a patient greeter/liaison for all patients and family members upon entry into the patient care environment.
14,14,"Columbia, SC",Assembler/General Labor,Anchor Metal Fabrication Inc,$13.50 - $15.00 an hour,Employees are temp screened daily and must wear a mask in common areas (rest room/employee room).No visitors in shop unless absolutely necessary and they are…
15,15,"Columbia, SC",,The Home Depot,,"They provide first level escalation for customer issues and assist in the supervision, coaching and training of other Front End Associates by participating in…"
16,16,"Columbia, SC",Appointment Setter - Interview This Week,The Williams Group of FL,"$800 - $1,200 a week","Own a reliable vehicle and have a driver's license.We fully train, so no experience is required for this position.Weekly pay and weekly bonuses."
17,17,"Columbia, SC",Technical Support Representative (US)- Work From Home,Teleperformance,,"Handle and carefully respond to all customer inquiries by building excellent rapport & confidence, identifying their needs, and taking strategic action in a…"
18,18,"Columbia, SC",Night Selector - 4 DAY WORK SCHEDULE,US Foods,Up to $34 an hour,"Recent experience (within past 6 months) in high endurance or highly physical activity or role preferred e.g. lifting/transferring patients, sports/fitness,…"
19,19,"Columbia, SC",ASSISTANT RURAL CARRIER (ARC),United States Postal Service,$19.06 an hour,"DRIVING REQUIRED: Applicants should have a valid state driver’s license, a safe driving record and at least two years of.May case, deliver, and collect mail."
20,20,"Columbia, SC",CREW MEMBER (USC CAMPUS),Tropical Smoothie Cafe,$7.25 - $10.00 an hour,"Follows the steps to operate the register including taking customer orders, accurately handling cash and being responsible for the drawer."
21,21,"Columbia, SC",Accounts Payable Supervisor,Core Specialty Insurance,From $35 an hour,"The Accounts Payable Supervisor is responsible for supervising the day to day work of three Treasury Analysts to ensure that all technical (claims, reinsurance…"
22,22,"Columbia, SC",Bookseller,The Book Dispensary,,This position requires work on weekends as well as weekdays.Bi weekly or Twice monthly.
