,Unnamed: 0,City,title,company,salary,summary
0,0,"Concord, NH",Crew Member,Lakes Region Tent & Event,$18 - $21 an hour,"Applicants must have a very solid work ethic, work well in teams, show up on time, be presentable and courteous with customers at all times and be willing to…"
1,1,"Concord, NH",Part-Time Stocker,ALDI,$14.30 an hour,"When you join our team as a Stocker, you’ll be responsible for stocking, organizing new incoming inventory and safely operating machinery."
2,2,"Concord, NH",Front Desk Receptionist-Bradley Street,Boys and Girls Clubs of Central NH,,Answers the front desk phone and redirects calls.Collects state signatures on a timely basis as predetermined.Assists in the collection of past due accounts.
3,3,"Concord, NH",Crime Analyst - Police Department,"City of Manchester, NH",From $23.09 an hour,"Graduation from an accredited college or university with a Bachelor's Degree in Public Administration, Business Administration, Criminal Justice or a closely…"
4,4,"Concord, NH",Loan Specialist (RLTY),US Department of Agriculture,"$59,498 - $77,346 a year","Undergraduate and Graduate Education: Major study - finance, business administration, economics, accounting, insurance, engineering, mathematics, banking and…"
5,5,"Concord, NH",Bakery Front Counter,The Crust and Crumb Baking Company,From $11 an hour,"Tasks include assisting customers, answering phones, ringing people up, making coffee and other drinks, general cleaning, portioning and packaging baked goods,…"
6,6,"Concord, NH",CONSERVATION OFFICER TRAINEE,The State of New Hampshire,"Up to $45,178 a year","License/Certification: Upon appointment, candidates must obtain a New Hampshire driver’s license in compliance with the state statutes governing driver’s…"
7,7,"Concord, NH",Police Dispatcher,"City of Concord, NH",$20.26 - $29.34 an hour,"Receives and handles incoming telephone calls, including 911 calls, Crime-Line calls, Concord Hospital calls, state Hospital calls, and state Prison calls;…"
8,8,"Concord, NH",FAMILY SERVICES SPECIALIST TRAINEE-II,The State of New Hampshire,"$33,872 - $55,556 a year",License/Certification: Must possess a valid driver’s license and/or have access to transportation for statewide travel.A case review accuracy assessment.
9,9,"Concord, NH",Internal Revenue Agent,Internal Revenue Service,,"In this position, you will use your professional knowledge and skill in accounting and auditing techniques and practices to examine various tax returns,…"
10,10,"Concord, NH",Front Desk Agent - Residence Inn (Part Time),Duprey Hospitality,,The Residence Inn by Marriott in Concord is seeking a part-time energetic and out going Front Desk Associate to perform in a pleasant and professional manner a…
11,11,"Concord, NH",Dental Office Receptionist,Confidential,$18 - $22 an hour,"Answering and routing phone calls.Preferred: 1 year of dental front desk experience, along with strong Dentrix software knowledge and treatment planning."
12,12,"Concord, NH",Technical Support Specialist,New England Life Care,"From $48,000 a year","Field incoming help requests from end users via telephone, email, or in-person in a courteous manner.Problem resolution may involve the use of diagnostics and…"
13,13,"Concord, NH",Paid Media Specialist (PPC) -Remote,Pearson,"$50,000 - $53,000 a year","The Paid Search Specialist is responsible for performing analysis of market opportunities, marketing, and analysis/optimization of the organization's services…"
14,14,"Concord, NH",ICU Kennel Assistant,VCA Animal Hospitals,,Each of our specialty departments utilizes advanced technology to provide state-of-the-art diagnostics and advanced treatments and therapies to help our…
15,15,"Concord, NH",Bookseller(Store#283),Books-A-Million,,"Must be able to use hands/arms to operate keyboard, telephone and for repetitive motion activities.Provide customers with the highest level of customer service…"
16,16,"Concord, NH",Part-Time Cashier,ALDI,$14.30 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
17,17,"Concord, NH",Police Dispatcher,"City of Concord, NH",$20.26 - $29.34 an hour,"Receives and handles incoming telephone calls, including 911 calls, Crime-Line calls, Concord Hospital calls, state Hospital calls, and state Prison calls;…"
18,18,"Concord, NH",Restaurant Team Member Crew,The Smoothie Bus Shoppe LLC,$10 - $15 an hour,"Respond promptly and courteously to any requests.Monitor and observe customers dining experience.Seeking part time and full time individuals to provide fast,…"
19,19,"Concord, NH",Communications Assistant,State Employees' Association/SEIU 1984,$460 a week,This individual works closely with the Communications Manager to develop and implement the SEA's overall communications strategic plan.
20,20,"Concord, NH",,Presidential Oaks,"Up to $69,000 a year","Experience in Senior Living industry; College courses for hospitality, real estate, marketing or related field; Bachelor's degree preferred."
21,21,"Concord, NH",Customer Service Representative,Amica Insurance Company,$17.95 an hour,Must pass state insurance license exam and meet continuing education requirements to maintain license.Professional telephone manner to establish and maintain…
22,22,"Concord, NH",Warehouse Person (Loader) FT/Days,PepsiCo,$21.50 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
23,23,"Concord, NH",Front Desk Receptionist-Bradley Street,Boys and Girls Clubs of Central NH,,Answers the front desk phone and redirects calls.Collects state signatures on a timely basis as predetermined.Assists in the collection of past due accounts.
24,24,"Concord, NH",Crew Member,Lakes Region Tent & Event,$18 - $21 an hour,"Applicants must have a very solid work ethic, work well in teams, show up on time, be presentable and courteous with customers at all times and be willing to…"
25,25,"Concord, NH",Medical Device Sales - Addressing the Opioid Crisis (NH) 162...,Zynex Medical,,"Requirements: Must reside in the area designated, have reliable transportation, mobile phone, valid driver’s license and computer."
26,26,"Concord, NH",Office Assistant/Receptionist,"Valpey Financial Services, LLC",$18 - $22 an hour,Growing financial planning firm is looking for a pleasant and intelligent professional to assist with various office responsibilities including answering the…
27,27,"Concord, NH",Court Administrator Circuit Court Administrative Office #21-...,New Hampshire Judicial Branch,"$80,671 - $118,774 a year",Graduation from an accredited four-year institution of higher learning with a bachelor’s degree in a related discipline and a law degree from an accredited law…
28,28,"Concord, NH","barista - Store# 09716, LOUDON ROAD",Starbucks,,"Follows Starbucks operational policies and procedures, including those for cash handling and safety and security, to ensure the safety of all partners during…"
29,29,"Concord, NH",Internal Revenue Agent,Internal Revenue Service,,"In this position, you will use your professional knowledge and skill in accounting and auditing techniques and practices to examine various tax returns,…"
30,30,"Concord, NH",Crime Analyst - Police Department,"City of Manchester, NH",From $23.09 an hour,"Graduation from an accredited college or university with a Bachelor's Degree in Public Administration, Business Administration, Criminal Justice or a closely…"
31,31,"Concord, NH",Warehouse Manager,Confidential,"From $80,000 a year","Complies with federal, state, and local warehousing, material handling, and shipping requirements by studying existing and new legislation; enforcing adherence…"
32,32,"Concord, NH",Part-Time Stocker,ALDI,$14.30 an hour,"When you join our team as a Stocker, you’ll be responsible for stocking, organizing new incoming inventory and safely operating machinery."
33,33,"Concord, NH",Front Desk Receptionist-Bradley Street,Boys and Girls Clubs of Central NH,,Answers the front desk phone and redirects calls.Collects state signatures on a timely basis as predetermined.Assists in the collection of past due accounts.
34,34,"Concord, NH",Crew Member,Lakes Region Tent & Event,$18 - $21 an hour,"Applicants must have a very solid work ethic, work well in teams, show up on time, be presentable and courteous with customers at all times and be willing to…"
35,35,"Concord, NH",FAMILY SERVICES SPECIALIST TRAINEE-II,The State of New Hampshire,"$33,872 - $55,556 a year",License/Certification: Must possess a valid driver’s license and/or have access to transportation for statewide travel.A case review accuracy assessment.
36,36,"Concord, NH",Bookseller(Store#283),Books-A-Million,,"Must be able to use hands/arms to operate keyboard, telephone and for repetitive motion activities.Provide customers with the highest level of customer service…"
37,37,"Concord, NH",Internal Revenue Agent,Internal Revenue Service,,"In this position, you will use your professional knowledge and skill in accounting and auditing techniques and practices to examine various tax returns,…"
38,38,"Concord, NH",Technical Support Specialist,New England Life Care,"From $48,000 a year","Field incoming help requests from end users via telephone, email, or in-person in a courteous manner.Problem resolution may involve the use of diagnostics and…"
39,39,"Concord, NH",Paid Media Specialist (PPC) -Remote,Pearson,"$50,000 - $53,000 a year","The Paid Search Specialist is responsible for performing analysis of market opportunities, marketing, and analysis/optimization of the organization's services…"
40,40,"Concord, NH",ICU Kennel Assistant,VCA Animal Hospitals,,Each of our specialty departments utilizes advanced technology to provide state-of-the-art diagnostics and advanced treatments and therapies to help our…
41,41,"Concord, NH",Front Desk Agent - Residence Inn (Part Time),Duprey Hospitality,,The Residence Inn by Marriott in Concord is seeking a part-time energetic and out going Front Desk Associate to perform in a pleasant and professional manner a…
42,42,"Concord, NH",Medical Device Sales - Addressing the Opioid Crisis (NH) 162...,Zynex Medical,,"Requirements: Must reside in the area designated, have reliable transportation, mobile phone, valid driver’s license and computer."
43,43,"Concord, NH",Restaurant Team Member Crew,The Smoothie Bus Shoppe LLC,$10 - $15 an hour,"Respond promptly and courteously to any requests.Monitor and observe customers dining experience.Seeking part time and full time individuals to provide fast,…"
44,44,"Concord, NH",Outreach and Enrollment Coordinator,Community Action Program Belknap-Merrimack Countie...,,Meet with families to complete program applications and obtain income verification.Process applications and maintain class lists and waitlists for each program…
45,45,"Concord, NH",Communications Assistant,State Employees' Association/SEIU 1984,$460 a week,This individual works closely with the Communications Manager to develop and implement the SEA's overall communications strategic plan.
46,46,"Concord, NH",CONSERVATION OFFICER TRAINEE,The State of New Hampshire,"Up to $45,178 a year","License/Certification: Upon appointment, candidates must obtain a New Hampshire driver’s license in compliance with the state statutes governing driver’s…"
47,47,"Concord, NH",Appointment Scheduler,JC Swain,"$325 - $1,000 a week","We are finally recruiting for our am part time & full time shifts .Guaranteed Hourly pay + bonus, commission, paid training ."
48,48,"Concord, NH",Loan Specialist (RLTY),US Department of Agriculture,"$59,498 - $77,346 a year","Undergraduate and Graduate Education: Major study - finance, business administration, economics, accounting, insurance, engineering, mathematics, banking and…"
49,49,"Concord, NH",Bakery Front Counter,The Crust and Crumb Baking Company,From $11 an hour,"Tasks include assisting customers, answering phones, ringing people up, making coffee and other drinks, general cleaning, portioning and packaging baked goods,…"
50,50,"Concord, NH",Police Dispatcher,"City of Concord, NH",$20.26 - $29.34 an hour,"Receives and handles incoming telephone calls, including 911 calls, Crime-Line calls, Concord Hospital calls, state Hospital calls, and state Prison calls;…"
51,51,"Concord, NH",Crime Analyst - Police Department,"City of Manchester, NH",From $23.09 an hour,"Graduation from an accredited college or university with a Bachelor's Degree in Public Administration, Business Administration, Criminal Justice or a closely…"
52,52,"Concord, NH",Part-Time Stocker,ALDI,$14.30 an hour,"When you join our team as a Stocker, you’ll be responsible for stocking, organizing new incoming inventory and safely operating machinery."
53,53,"Concord, NH",Front Desk Receptionist-Bradley Street,Boys and Girls Clubs of Central NH,,Answers the front desk phone and redirects calls.Collects state signatures on a timely basis as predetermined.Assists in the collection of past due accounts.
54,54,"Concord, NH",Crew Member,Lakes Region Tent & Event,$18 - $21 an hour,"Applicants must have a very solid work ethic, work well in teams, show up on time, be presentable and courteous with customers at all times and be willing to…"
55,55,"Concord, NH",Technical Support Specialist,New England Life Care,"From $48,000 a year","Field incoming help requests from end users via telephone, email, or in-person in a courteous manner.Problem resolution may involve the use of diagnostics and…"
56,56,"Concord, NH",FAMILY SERVICES SPECIALIST TRAINEE-II,The State of New Hampshire,"$33,872 - $55,556 a year",License/Certification: Must possess a valid driver’s license and/or have access to transportation for statewide travel.A case review accuracy assessment.
57,57,"Concord, NH",Bookseller(Store#283),Books-A-Million,,"Must be able to use hands/arms to operate keyboard, telephone and for repetitive motion activities.Provide customers with the highest level of customer service…"
58,58,"Concord, NH",Internal Revenue Agent,Internal Revenue Service,,"In this position, you will use your professional knowledge and skill in accounting and auditing techniques and practices to examine various tax returns,…"
59,59,"Concord, NH",Paid Media Specialist (PPC) -Remote,Pearson,"$50,000 - $53,000 a year","The Paid Search Specialist is responsible for performing analysis of market opportunities, marketing, and analysis/optimization of the organization's services…"
60,60,"Concord, NH",Communications Assistant,State Employees' Association/SEIU 1984,$460 a week,This individual works closely with the Communications Manager to develop and implement the SEA's overall communications strategic plan.
61,61,"Concord, NH",,Presidential Oaks,"Up to $69,000 a year","Experience in Senior Living industry; College courses for hospitality, real estate, marketing or related field; Bachelor's degree preferred."
62,62,"Concord, NH",CONSERVATION OFFICER TRAINEE,The State of New Hampshire,"Up to $45,178 a year","License/Certification: Upon appointment, candidates must obtain a New Hampshire driver’s license in compliance with the state statutes governing driver’s…"
63,63,"Concord, NH",Loan Specialist (RLTY),US Department of Agriculture,"$59,498 - $77,346 a year","Undergraduate and Graduate Education: Major study - finance, business administration, economics, accounting, insurance, engineering, mathematics, banking and…"
64,64,"Concord, NH",Bakery Front Counter,The Crust and Crumb Baking Company,From $11 an hour,"Tasks include assisting customers, answering phones, ringing people up, making coffee and other drinks, general cleaning, portioning and packaging baked goods,…"
65,65,"Concord, NH",Police Dispatcher,"City of Concord, NH",$20.26 - $29.34 an hour,"Receives and handles incoming telephone calls, including 911 calls, Crime-Line calls, Concord Hospital calls, state Hospital calls, and state Prison calls;…"
66,66,"Concord, NH",Crime Analyst - Police Department,"City of Manchester, NH",From $23.09 an hour,"Graduation from an accredited college or university with a Bachelor's Degree in Public Administration, Business Administration, Criminal Justice or a closely…"
