,Unnamed: 0,City,title,company,salary,summary
0,0,"DodgeCity, KS",FEDEX ROUTE DRIVER,MAVRICK ENTERPRISES INC,From $140 a day,"MUST BE AT LEAST 21 YEARS OF AGE.MUST HAVE 1 YEAR DRIVING EXPERIENCE IN THE LAST 3 YEARS DRIVING A SCHOOL BUS, FARM TRUCK, DELIVER TRUCK ETC.."
1,1,"DodgeCity, KS",Servers and Line Cooks for Cowboy Capital Saloon and Grill,301 4th Ave Dodge City Ks,,"Line cooks, kitchen prep, and servers needed.Full time and part time availability.Job Types: Full-time, Part-time."
2,2,"DodgeCity, KS",PSE SALES & SVCS/DISTRIBUTION ASSOCIATE,United States Postal Service,$18.49 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.At the level required by the job."
3,3,"DodgeCity, KS",Customer Sales Associate,Rent-A-Center,,We offer a comprehensive and competitive benefits package that includes everything from health insurance to a 401(k) and generous paid time off.
4,4,"DodgeCity, KS",SALES ASSOCIATE,Dollar General,,Operate cash register and flatbed scanner to itemize and total customer's purchase; bag merchandise.Clean front end of store and help set up sidewalk displays…
5,5,"DodgeCity, KS",Dodge City:,YMCA of Southwest Kansas,,Dodge City…
6,6,"DodgeCity, KS",Registered Nurse - Primary Care CBOC,US Department of Veterans Affairs,"$56,896 - $105,351 a year",Nurse II - A BSN with approximately 2-3 years of nursing practice/experience; OR ADN or Diploma in Nursing and a Bachelor's degree in a related field and…
7,7,"DodgeCity, KS",Industrial Journeyman & Helper Electricians,360 Industrial Services,Up to $30 an hour,The project will be in a Ammonia plant working in a plant environment.We are also seeking a helper to assist the Journeyman.
8,8,"DodgeCity, KS",Dillons Retail Clerk (Dodge City Dillons),Dillons,,Assist customers at checkout and bag groceries.Build attractive displays and stock shelves.Select and gather products to fulfill customer’s online orders.
9,9,"DodgeCity, KS",Patient Account Representative,Parallon,,"You will refer calls/accounts to appropriate parties based on customer inquiries.Your benefits include 401k, PTO, medical, dental, vision, flex spending, life,…"
10,10,"DodgeCity, KS",Transportation Security Officer (TSO),Transportation Security Administration,$18.16 - $25.23 an hour,"Per the President's 2014 Fair Employment memo, TSA policy is to not adversely consider a candidate based on unemployment or financial difficulty through no…"
11,11,"DodgeCity, KS",Human Resources Specialist,Boot Hill Casino & Resort,"From $40,000 a year","Recruitment, on-boarding, and retention,.Participate in an engaging work environment, and.Must be at least 21 years of age and able to obtain a Kansas Racing …"
12,12,"DodgeCity, KS",Theatre Staff,B&b Theatres Ks Llc,,"Greeting guests upon arrival and making them feel welcome.Our Frontline team is cross-trained to work behind the concession stand and box office, interacting…"
13,13,"DodgeCity, KS",President,"Arrowhead West, Inc.",,"Must have a Valid Driver’s license and a safe driving record.Valid driver’s license is required.Stays abreast of developments in the field locally, state and…"
14,14,"DodgeCity, KS",,Adecco General Staffing,"$10,000 a year","Over the course of the month, you’ll travel across the United States shadowing our CEO and making your impact on the Group’s strategic vision."
15,15,"DodgeCity, KS",Servers and Line Cooks for Cowboy Capital Saloon and Grill,301 4th Ave Dodge City Ks,,"Line cooks, kitchen prep, and servers needed.Full time and part time availability.Job Types: Full-time, Part-time."
