,Unnamed: 0,City,title,company,salary,summary
0,0,"Fargo,ND",Package Sorter - Amazon Hiring Now!,Amazon Workforce Staffing,From $15 an hour,Stay active during your shift in this fast-paced environment.Take advantage of daytime flexibility by working part-time morning or overnight shifts.
1,1,"Fargo,ND",,FedEx Ground PH US,$14.25 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
2,2,"Fargo,ND",Delivery Driver for Amazon Flex,Amazon Flex,$18 - $25 an hour,"Smiles for miles and miles, backed by Amazon.*."
3,3,"Fargo,ND",Deskside Service Analyst I,Bell Techlogix,$17 - $19 an hour,"Requires a minimum of 1-2 years of related work experience, working knowledge of MS OS and MS Office Products, high school diploma, or technical training, or…"
4,4,"Fargo,ND",Warehouse Worker - Amazon,Amazon Workforce Staffing,From $15 an hour,Stay active during your shift in this fast-paced environment.Take advantage of daytime flexibility by working part-time morning or overnight shifts.
5,5,"Fargo,ND",Art Production Assistant,Heat Transfer Warehouse,$14 - $16 an hour,"Demonstrate graphic design and illustration skills.Ability to multitask and work under deadlines.A job for which all ages, including older job seekers, are…"
6,6,"Fargo,ND",Community Programs Coordinator,Plains Art Museum,$17 - $19 an hour,"This position works closely with community groups, family audiences, nonprofit organizations, and youth audiences.Only full-time employees eligible."
7,7,"Fargo,ND",Legal Assistant,"Ficek Law, PC",$20 - $21 an hour,"Medical Records--processing and calling to request.Job Types: Full-time, Part-time.High school or equivalent (Preferred)."
8,8,"Fargo,ND",Controller,Plains Art Museum,"$50,000 - $55,000 a year","In addition, the Controller acts as lead accountant, producing accurate accounting entries while also training, advising, and leading a group of accountants…"
9,9,"Fargo,ND",Store Manager,Camping World,"$65,000 - $70,000 a year","Ensure all Federal, state, local compliance of the location's FFL and adherence to company policy on the handling of firearms is met."
10,10,"Fargo,ND",Mental Health Technician,Prairie St. John's,,"Experience working with people struggling with mental health or substance use and/or pursuing a degree in nursing, psychology, sociology, pre-med, social work,…"
11,11,"Fargo,ND",Chiropractic Assistant,Ignite Chiropractic,From $15 an hour,Ages 18+ with a H.S. diploma.Evening hours are required and some weekend hours will be required.Preferably looking for someone full time.
12,12,"Fargo,ND",IT Intern,Dakota Fence Company,,"Assist with troubleshooting issues and provide technical support.Perform basic research, design, and development of software.ERP systems: 1 year (Preferred)."
13,13,"Fargo,ND",Deputy Clerk of District Court-Fargo,North Dakota Court System,"$44,940 a year","Receives, answers, and routes telephone calls to appropriate parties.Records incoming documents, case proceedings, and dispositions into the Court's case…"
14,14,"Fargo,ND",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
15,15,"Fargo,ND",Package Sorter - Amazon Hiring Now!,Amazon Workforce Staffing,From $15 an hour,Stay active during your shift in this fast-paced environment.Take advantage of daytime flexibility by working part-time morning or overnight shifts.
16,16,"Fargo,ND",Warehouse Worker - Amazon,Amazon Workforce Staffing,From $15 an hour,Stay active during your shift in this fast-paced environment.Take advantage of daytime flexibility by working part-time morning or overnight shifts.
17,17,"Fargo,ND",Office Manager,"Record Keepers,LLC.","$40,000 - $60,000 a year","Duties include but are not limited to: bookkeeping functions including accounts receivable, accounts payable, billing, deposits, bank reconciliation, journal…"
18,18,"Fargo,ND",Delivery Driver for Amazon Flex,Amazon Flex,$18 - $25 an hour,"Smiles for miles and miles, backed by Amazon.*."
19,19,"Fargo,ND",Deskside Service Analyst I,Bell Techlogix,$17 - $19 an hour,"Requires a minimum of 1-2 years of related work experience, working knowledge of MS OS and MS Office Products, high school diploma, or technical training, or…"
20,20,"Fargo,ND",Community Programs Coordinator,Plains Art Museum,$17 - $19 an hour,"This position works closely with community groups, family audiences, nonprofit organizations, and youth audiences.Only full-time employees eligible."
21,21,"Fargo,ND",Art Production Assistant,Heat Transfer Warehouse,$14 - $16 an hour,"Demonstrate graphic design and illustration skills.Ability to multitask and work under deadlines.A job for which all ages, including older job seekers, are…"
22,22,"Fargo,ND",Controller,Plains Art Museum,"$50,000 - $55,000 a year","In addition, the Controller acts as lead accountant, producing accurate accounting entries while also training, advising, and leading a group of accountants…"
23,23,"Fargo,ND",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
24,24,"Fargo,ND",Chiropractic Assistant,Ignite Chiropractic,From $15 an hour,Ages 18+ with a H.S. diploma.Evening hours are required and some weekend hours will be required.Preferably looking for someone full time.
25,25,"Fargo,ND",Assistant Manager - Doggy Daycare,Confidential,$14 - $16 an hour,"This position will be a support position to the current manager and also be responsible for day to day front desk tasks such as employee scheduling, answering…"
26,26,"Fargo,ND",Crew Members,Burger Time,$12 - $13 an hour,"Cooks, Cashiers and Shift Leaders.Job Types: Full-time, Part-time."
27,27,"Fargo,ND",Legal Assistant,"Ficek Law, PC",$20 - $21 an hour,"Medical Records--processing and calling to request.Job Types: Full-time, Part-time.High school or equivalent (Preferred)."
28,28,"Fargo,ND",,The Old Broadway,,"No DJ experience needed but music knowledge is a must!Social distancing guidelines in place.Sanitizing, disinfecting, or cleaning procedures in place."
29,29,"Fargo,ND",Deputy Clerk of District Court-Fargo,North Dakota Court System,"$44,940 a year","Receives, answers, and routes telephone calls to appropriate parties.Records incoming documents, case proceedings, and dispositions into the Court's case…"
30,30,"Fargo,ND",Delivery Driver for Amazon Flex,Amazon Flex,$18 - $25 an hour,"Smiles for miles and miles, backed by Amazon.*."
31,31,"Fargo,ND",Package Sorter - Amazon Hiring Now!,Amazon Workforce Staffing,From $15 an hour,Stay active during your shift in this fast-paced environment.Take advantage of daytime flexibility by working part-time morning or overnight shifts.
32,32,"Fargo,ND",,Dakota Fence Company,,"Currently pursuing and in the final year of schooling for an Associate’s or BS degree in Human Resources, Accounting, Finance, Payroll or related field from an…"
33,33,"Fargo,ND",Deputy Clerk of District Court-Fargo,North Dakota Court System,"$44,940 a year","Receives, answers, and routes telephone calls to appropriate parties.Records incoming documents, case proceedings, and dispositions into the Court's case…"
34,34,"Fargo,ND",IT Intern,Dakota Fence Company,,"Assist with troubleshooting issues and provide technical support.Perform basic research, design, and development of software.ERP systems: 1 year (Preferred)."
35,35,"Fargo,ND",Legal Assistant,"Ficek Law, PC",$20 - $21 an hour,"Medical Records--processing and calling to request.Job Types: Full-time, Part-time.High school or equivalent (Preferred)."
36,36,"Fargo,ND",Deskside Service Analyst I,Bell Techlogix,$17 - $19 an hour,"Requires a minimum of 1-2 years of related work experience, working knowledge of MS OS and MS Office Products, high school diploma, or technical training, or…"
37,37,"Fargo,ND",Community Programs Coordinator,Plains Art Museum,$17 - $19 an hour,"This position works closely with community groups, family audiences, nonprofit organizations, and youth audiences.Only full-time employees eligible."
38,38,"Fargo,ND",Servers and Shot Girls,The Old Broadway,,"A job for which all ages, including older job seekers, are encouraged to apply.Hourly wage plus daily CASH tips!Hourly wage plus daily CASH tips!"
39,39,"Fargo,ND",Controller,Plains Art Museum,"$50,000 - $55,000 a year","In addition, the Controller acts as lead accountant, producing accurate accounting entries while also training, advising, and leading a group of accountants…"
40,40,"Fargo,ND",Front Desk Receptionist Job,Vision Source,,"Answer and forward all calls; oversee vm and messages.Able to multitask, manage time wisely; detail-oriented.Greet patients; check patients in and out."
41,41,"Fargo,ND",Warehouse Worker - Amazon,Amazon Workforce Staffing,From $15 an hour,Stay active during your shift in this fast-paced environment.Take advantage of daytime flexibility by working part-time morning or overnight shifts.
42,42,"Fargo,ND",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
43,43,"Fargo,ND",Art Production Assistant,Heat Transfer Warehouse,$14 - $16 an hour,"Demonstrate graphic design and illustration skills.Ability to multitask and work under deadlines.A job for which all ages, including older job seekers, are…"
44,44,"Fargo,ND",Bartender,The Old Broadway,,"A job for which all ages, including older job seekers, are encouraged to apply.PT and FT hours available Monday - Saturday.Walk-in applications are welcome!"
45,45,"Fargo,ND",Delivery Driver for Amazon Flex,Amazon Flex,$18 - $25 an hour,"Smiles for miles and miles, backed by Amazon.*."
46,46,"Fargo,ND",Package Sorter - Amazon Hiring Now!,Amazon Workforce Staffing,From $15 an hour,Stay active during your shift in this fast-paced environment.Take advantage of daytime flexibility by working part-time morning or overnight shifts.
47,47,"Fargo,ND",Deputy Clerk of District Court-Fargo,North Dakota Court System,"$44,940 a year","Receives, answers, and routes telephone calls to appropriate parties.Records incoming documents, case proceedings, and dispositions into the Court's case…"
48,48,"Fargo,ND",,Dakota Fence Company,,"Assist with troubleshooting issues and provide technical support.Perform basic research, design, and development of software.ERP systems: 1 year (Preferred)."
49,49,"Fargo,ND",Legal Assistant,"Ficek Law, PC",$20 - $21 an hour,"Medical Records--processing and calling to request.Job Types: Full-time, Part-time.High school or equivalent (Preferred)."
50,50,"Fargo,ND",Community Programs Coordinator,Plains Art Museum,$17 - $19 an hour,"This position works closely with community groups, family audiences, nonprofit organizations, and youth audiences.Only full-time employees eligible."
51,51,"Fargo,ND",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
