,Unnamed: 0,City,title,company,salary,summary
0,0,"Grandjunction,CO",Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
1,1,"Grandjunction,CO",,Red Robin,$12.32 - $13.82 an hour,"This restaurant Front of House job for Hospo / Hospitality Team Members will focus on Guest seating, greeting, and reception / reservation duties, you also will…"
2,2,"Grandjunction,CO",Secretary,US Department of Veterans Affairs,"$39,311 - $62,894 a year","Examples of specialized experience would typically include, but are not limited to: performing secretarial/administrative duties, such as maintaining calendars,…"
3,3,"Grandjunction,CO",Barista/Cafe Server - Part-Time,Barnes & Noble,,Ensure all customer transactions are processed accurately and in a timely manner.Protect Company assets by ensuring the accurate execution of loss prevention…
4,4,"Grandjunction,CO",Legal Office Manager,Confidential,$18 - $20 an hour,"Maintains office services by organizing office operations and procedures, working with payroll service, controlling correspondence, improving filing systems,…"
5,5,"Grandjunction,CO",Barista Position,Octopus Coffee,$14 - $20 an hour,"Legal sick and quarantine pay, as required by state legislation, up to three weeks.Legal sick and quarantine pay, as required by state legislation, up to three…"
6,6,"Grandjunction,CO",Guest Advocate (Cashier or Front of Store Attendant/ Cart At...,TARGET,,Make a connection with guests by engaging in friendly and genuine conversation throughout each transaction; asking open ended questions about the guest’s…
7,7,"Grandjunction,CO",Probation Officer,Colorado Judicial Branch,"$4,126 - $7,457 a month",Individuals assigned field supervision responsibilities must successfully complete the Officer Field Safety course as per state policy.
8,8,"Grandjunction,CO",CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
9,9,"Grandjunction,CO",Digital Forensic Analyst,"City of Grand Junction, Colorado",$33.81 - $37.32 an hour,"Possession of, or the ability to obtain, a valid Colorado driver's license.This position will serve as a technical expert regarding mobile, computer, and…"
10,10,"Grandjunction,CO","SALES,SVCS/DISTRIBUTION ASSOC",United States Postal Service,$22.15 an hour,"Fingerprint check, state and county checks).Distributes primary and one or more secondary schemes of incoming mail by delivery point based on a knowledge of…"
11,11,"Grandjunction,CO",Entry Level Management - Interview Today - Customer Service,THE WCP Group,"$800 - $1,200 a week","Must have a reliable vehicle and valid driver's license.Skills that work well with our company are: sales and marketing, hospitality, retail experience,…"
12,12,"Grandjunction,CO",Seasonal Golf Course Range/Cart Attendant,"City of Grand Junction, Colorado",$12.32 an hour,"Pick the driving range, at times lifting 50 lbs.Engage customers with a smile and a servant’s heart.Desire to serve the customer with a smile."
