,Unnamed: 0,City,title,company,salary,summary
0,0,"Grandrapids,MI",Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
1,1,"Grandrapids,MI",Amazon Picker Packer - Multiple Shifts,Amazon Workforce Staffing,$15.30 an hour,"You’ll work up to 19 hours per week on the days you choose.Warehouse Team Member (Seasonal, Part-Time, Full-Time, Flexible Hours)."
2,2,"Grandrapids,MI",Tool & Die Designer - NX/UG,"Walker Tool & Die, Inc.",,Identify and resolve problems in a timely manner; gather and analyze information skillfully; develop alternative solutions; work well in group problem solving…
3,3,"Grandrapids,MI",,FedEx Ground PH US,Up to $17 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
4,4,"Grandrapids,MI",Insurance Representative,Paula K?,,A valid P&C License (Preferred).Insurance sales: 1 year (Preferred).Phone sales: 1 year (Preferred).
5,5,"Grandrapids,MI",Lawn Care Worker,Mow and Plow,$15 - $18 an hour,Prefer candidate with commercial mowing experience.Work is done outside with limited interaction with other employees or customers.
6,6,"Grandrapids,MI",Baggage Handler/Ramp Operator (Seasonal Ready Reserve) - GRR,Delta,,"Safely driving and operating ground equipment such as tugs, belt loaders, and tow tractors in areas of congestion."
7,7,"Grandrapids,MI",Circuit Court Clerk,County of Kent,$20 an hour,The successful candidate will provide skilled and complex legal clerical duties for the 17th Circuit Court Case Management Department.
8,8,"Grandrapids,MI",Office Specialist II,City of Wyoming,$20.75 - $25.80 an hour,"This position is responsible for technical work in areas such as typing, filing, scheduling, data entry, record keeping, payroll, coordination of meetings,…"
9,9,"Grandrapids,MI",Athletic Director,Forest Hills Public Schools,,JobID: 16451 Position Type: Administration/Director Date Posted: 2/18/2021 Date Available: August 2021 Closing Date: until filled District: East…
10,10,"Grandrapids,MI",Internal Revenue Agent,Internal Revenue Service,,"In this position, you will use your professional knowledge and skill in accounting and auditing techniques and practices to examine various tax returns,…"
11,11,"Grandrapids,MI",Music School Receptionist/Front Desk Team Member,Academy of Music,From $16 an hour,"Answering phones (Looking for the GOLDEN VOICE, one that sounds amazing on the phone with a great tone and excitement for our customers.)."
12,12,"Grandrapids,MI",Housing Coordinator,City of Wyoming,$20.75 - $25.80 an hour,"This position works with a diverse group of external callers, visitors, clients and participants as well as internal contacts."
13,13,"Grandrapids,MI",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
14,14,"Grandrapids,MI",Medical Customer Service – 30 hrs/wk – Day 1 Benefits Packag...,Biolife Plasma Services,,"Phlebotomy: You may learn how to install, operate, maintain, and troubleshoot state-of- the-art plasmapheresis machines while ensuring the safety of our donors."
15,15,"Grandrapids,MI",Field Service Technician,"Melitta Professional Coffee Solutions USA, Inc.",,"Valid driver’s license with proof of an excellent driving record.A 2 year technical certification, apprenticeship training program, on the job training and or…"
16,16,"Grandrapids,MI",Manufacturing Associate,Continental Identification Products,$11.50 - $15.00 an hour,"To keep everyone in the building as safe as we possibly can we do daily screenings before employees enter the building, have hired additional personnel to…"
17,17,"Grandrapids,MI",Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
18,18,"Grandrapids,MI",,FedEx Ground PH US,Up to $17 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
19,19,"Grandrapids,MI",Music School Receptionist/Front Desk Team Member,Academy of Music,From $16 an hour,"Answering phones (Looking for the GOLDEN VOICE, one that sounds amazing on the phone with a great tone and excitement for our customers.)."
20,20,"Grandrapids,MI",Baggage Handler/Ramp Operator (Seasonal Ready Reserve) - GRR,Delta,,"Safely driving and operating ground equipment such as tugs, belt loaders, and tow tractors in areas of congestion."
21,21,"Grandrapids,MI",Circuit Court Clerk,County of Kent,$20 an hour,The successful candidate will provide skilled and complex legal clerical duties for the 17th Circuit Court Case Management Department.
22,22,"Grandrapids,MI",Office Specialist II,City of Wyoming,$20.75 - $25.80 an hour,"This position is responsible for technical work in areas such as typing, filing, scheduling, data entry, record keeping, payroll, coordination of meetings,…"
