,Unnamed: 0,City,title,company,salary,summary
0,0,"Helena,MT",LOUNGE FLOOR RUNNER - 1600 PROSPECT,Town Pump,,A knack for remembering the names and faces of those regular guests and getting to know their likes & dislikes to make them feel valued.
1,1,"Helena,MT",In-Store Shopper (E-commerce),Safeway,,"As a Personal Home Shopping Clerk, you will be responsible for filling grocery orders that customers have placed online."
2,2,"Helena,MT",Brand Associate,Old Navy,,"Support sales floor, fitting room, cash wrap, back of house, as required.You will support your team to drive results, deliver best-in-class service and educate…"
3,3,"Helena,MT",Seasonal Urban Forestry Technician,"City of Helena, MT",$10.24 an hour,"Requires a full valid MT drivers license with acceptable driving record.Tasks may include but not limited to such activities as pruning, hazard tree removal,…"
4,4,"Helena,MT",In-Store Shopper (E-commerce),Albertsons,,"As a Personal Home Shopping Clerk, you will be responsible for filling grocery orders that customers have placed online."
5,5,"Helena,MT",Payroll Technician,State of Montana,$19.29 an hour,"Assists managers and employees to answer a variety of payroll inquires related to time rolls, sick or annual leave, calculating net pay scenarios, etc."
6,6,"Helena,MT",Cashier/Checker,WinCo Foods,,"Consistently provides friendly, courteous customer service to internal and external customers by processing customer orders in an efficient, accurate, safe and…"
7,7,"Helena,MT",Mental Health Tech - Night Shift,Shodair Children's Hospital,,"Must have valid, current driver’s license and be at least 18 years of age.Understand basic child development; implementing age appropriate interventions during…"
8,8,"Helena,MT",Guest Advocate (Cashier or Front of Store Attendant/ Cart At...,TARGET,,Make a connection with guests by engaging in friendly and genuine conversation throughout each transaction; asking open ended questions about the guest’s…
9,9,"Helena,MT",Administrative Assistant (Office Manager),State of Montana,"$36,653 - $43,856 a year",Administrative and clerical procedures and systems.Equivalent combinations of education and experience may also be considered on a case-by-case basis.
10,10,"Helena,MT",Front Desk/Room Attendant,Shilo Management Corporation,,"As the first face, most of our guests will see upon arrival to our hotel, it is your duty to warmly and enthusiastically greet our guests and assist them with…"
11,11,"Helena,MT",Tax Examiner 1,State of Montana,"$46,660 - $48,560 a year","The Montana Department of Revenue administers almost 40 state taxes, property appraisals, liquor laws, and unclaimed property for the state of Montana."
12,12,"Helena,MT",Hotel Auditor - Helena,Shilo Management Corporation,,"Verify that folios, credit card slip, cash receipts, direct bill information, scrip or gift cards, and other miscellaneous paperwork is correct, legible,…"
13,13,"Helena,MT",Retail Clerk,Albertsons,,"They use equipment safely, follow food safety guidelines and ensure the company and departmental policies and procedures are adhered to, as well as, meet any…"
