,Unnamed: 0,City,title,company,salary,summary
0,0,"Honolulu,Hawaii",Front Office Manager (Manager on Duty),The Imperial Hawaii Resort,"$42,000 - $49,000 a year",Conduct inspections of Resort facilities and rooms to ensure Owner and guest satisfaction.Coordinate the direction of the Bell/Valet staff to ensure a positive…
1,1,"Honolulu,Hawaii",Sales Associate - Ala Moana - 0769,Pacsun,,"Adheres to federal, state and local labor laws.Ability to utilize power tools and navigate a ladder as needed.Ability to safely lift up to 50 pounds."
2,2,"Honolulu,Hawaii",Staff Nurse - Mass Vaccination,Kaiser Permanente,,Valid Hawaii RN license (must meet education requirement(s) for Hawaii State licensure).Current BLS for Healthcare Provider CPR or CPR/AED for the Professional…
3,3,"Honolulu,Hawaii",TRAINING INSTRUCTOR,US Department of Defense,"$95,012 - $123,516 a year","Teaching or instructing in an adult education program, secondary school, college, military installation, or industrial establishment in the appropriate field(s)…"
4,4,"Honolulu,Hawaii",Reservations Agent,Four Seasons,,"Reservations Sales Agents are responsible for selling the resort and providing information to prospective guests, to capture sales from the incoming calls and…"
5,5,"Honolulu,Hawaii",Guest Services Coordinator,"Marriott International, Inc",,Welcome and acknowledge all guests according to company standards; anticipate and address guests’ service needs; thank guests with genuine appreciation.
6,6,"Honolulu,Hawaii",Floor Staff,Regal,,Responding to phone calls and questions from guests in a manner that is consistent with our guest service philosophy.Compliance with our company dress code.
7,7,"Honolulu,Hawaii",Hourly Warehouse Operations,TARGET,,"As a Warehouse Worker, you’ll work quickly, safely and efficiently to handle product within the warehouse to ensure the accurate processing of merchandise to…"
8,8,"Honolulu,Hawaii","Biologist, ZP-0401-4 (Direct Hire)",US Department of Commerce,"$94,071 - $144,510 a year","Oversee and direct work of junior biologists dealing with technical problems, planning and developing evaluations, providing guidance, recommending changes to…"
9,9,"Honolulu,Hawaii",Travel Specialist,BN World Class Adventures,"$35,670 - $72,850 a year","Complete required certification within a timely manner.Prepare, plan, and sell travel (including but not limited to airline, car rental, cruises, hotels, and…"
10,10,"Honolulu,Hawaii","Test Administrator, Honolulu, HI",Pearson,$15 an hour,Troubleshoot with internal departments to fix technical issues.Make hand sanitizer available in the waiting area and prior to entering the testing room.
11,11,"Honolulu,Hawaii",Environmental Scientist,Commonwealth of the Northern Mariana Islands Gover...,"$44,500 - $60,000 a year",Provides technical expertise to assist with Floodplain and Wetland Issues to support documentation needed for Executive Order 11988 and Executive Order 11990.
12,12,"Honolulu,Hawaii",Seamstress / Tailor,Four Seasons,,The Seamstress / Tailor reports to the Laundry Manager and is responsible for making alterations and repairing employee and guest garments.
13,13,"Honolulu,Hawaii",Customer Service Associate,WALGREENS,,"Registers customer purchases on assigned cash register, collects cash and distributes change as requested; processes voids, returns, rain checks, refunds, and…"
14,14,"Honolulu,Hawaii","Administrative Services Assistant, Professional Worker III,...",Hawaii State Department of Education,"$4,600 - $5,385 a month",Applicants must possess a current valid passenger-type motor vehicle operator's license to drive in the State of Hawaii.
15,15,"Honolulu,Hawaii",Front Counter Team Member,Oahu Mexican Grill,$17 - $20 an hour,"OMG is searching for full and part time front counter help - various shifts available between the hours of 10:00am and 9:30pm.Job Types: Full-time, Part-time."
16,16,"Honolulu,Hawaii",Marketing and Social Media Internship,Happy Wahine,$13 - $18 an hour,Coordinate all social media content on our website and all social media channels.Establish and Maintain Happy Wahine's social media presence across all social…
