,Unnamed: 0,City,title,company,salary,summary
0,0,"Houston,TX",Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
1,1,"Houston,TX",,Maximus,$16 - $17 an hour,Agents will answer incoming calls from the public related to COVID-19 vaccination scheduling.Strong data entry and telephone skills.
2,2,"Houston,TX",Warehouse Person (Loader)(FT/Nights/SEASONAL),PepsiCo,$19.20 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
3,3,"Houston,TX",Cust Serv Rep-In Store Shopper,HEB,$14.50 an hour,Cust Serv Rep-In Store Shopper - (21022509) H-E-B Job Title Cust Serv Rep-In Store Shopper Minimum Salary 14.5 Shift Variable Hours Schedule Part…
4,4,"Houston,TX",Full-Time Store Associate,ALDI,$14 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
5,5,"Houston,TX",Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
6,6,"Houston,TX",Harris County Sheriff's Office Career Opportunities,Harris County,,"Our Career Opportunities Page Has Moved! Welcome and thank you for your interest in Career Opportunities with Harris County, Texas! Join us in our mission…"
7,7,"Houston,TX",Veterinary Practice Manager,Generation Pet Veterinary Clinic,"$72,000 - $102,000 a year",Applicants should have a minimum of 2 years experience in veterinary practice management.If you posses the well rounded skill set required for this challenging…
8,8,"Houston,TX",In Store Shopper - 1:30p-10p,HEB,$14.50 an hour,Schedule Part-time Requested Availability (if applicable) 130-10p.
9,9,"Houston,TX",Network Transport Technician,Logix Fiber Networks,$24 - $33 an hour,"Must have valid motor vehicle operator’s license and have a responsible driving record.Use hand tools and test equipment as required to install, test, and…"
10,10,"Houston,TX",Restaurant Server,Hillstone Restaurant Group,"$750 - $1,500 a week",Pay is minimum wage plus tips which typically leads to you walking with $100-$350 per shift.Preparing bill and processing payment.
11,11,"Houston,TX",File Clerk,US Department of Veterans Affairs,"$36,242 - $47,113 a year",To qualify based on education for this grade level you must have Two (2) years of education above the high school level (education may have been obtained in an…
12,12,"Houston,TX",In Store Shopper -5a-1:30p PT,HEB,$14.50 an hour,Schedule Part-time Requested Availability (if applicable) 5a- 1:30p.
13,13,"Houston,TX",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
14,14,"Houston,TX",New Patient Assistant - Medical Assistant - Chiropractic Off...,CORE Chiropractic,$18 - $20 an hour,"The assistant will help the patient with therapy, follow up with care recommendations, answer the phones, make insurance calls, assist in directing the flow of…"
15,15,"Houston,TX",Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
16,16,"Houston,TX",,Maximus,$16 - $17 an hour,Agents will answer incoming calls from the public related to COVID-19 vaccination scheduling.Strong data entry and telephone skills.
17,17,"Houston,TX",Emergency Room Nurse,Grace Emergency Room,"$54,942 - $80,832 a year","Emergency room: 1 year (Preferred).A job for which all ages, including older job seekers, are encouraged to apply.Job Types: Full-time, Part-time, Contract."
18,18,"Houston,TX",Jet/Vac Operator I,AIMS Companies,,The AIMS Companies is a renowned industrial and municipal cleaning and inspections company that uses state of the art equipment to provide clients a wide range…
19,19,"Houston,TX",Experienced Veterinary Technician,Creature Comfort Animal Hospital,$10 - $15 an hour,Communicating information between the front desk and treatment area.Proficient Jugular/cephalic/saphenous venipuncture.Scanning/attaching all medical records.
20,20,"Houston,TX",Cust Serv Rep-In Store Shopper,HEB,$14.50 an hour,Cust Serv Rep-In Store Shopper - (21022509) H-E-B Job Title Cust Serv Rep-In Store Shopper Minimum Salary 14.5 Shift Variable Hours Schedule Part…
21,21,"Houston,TX",Warehouse Person (Loader)(FT/Nights/SEASONAL),PepsiCo,$19.20 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
22,22,"Houston,TX",Harris County Sheriff's Office Career Opportunities,Harris County,,"Our Career Opportunities Page Has Moved! Welcome and thank you for your interest in Career Opportunities with Harris County, Texas! Join us in our mission…"
23,23,"Houston,TX",File Clerk,US Department of Veterans Affairs,"$36,242 - $47,113 a year",To qualify based on education for this grade level you must have Two (2) years of education above the high school level (education may have been obtained in an…
24,24,"Houston,TX",Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
25,25,"Houston,TX",In Store Shopper - 1:30p-10p,HEB,$14.50 an hour,Schedule Part-time Requested Availability (if applicable) 130-10p.
26,26,"Houston,TX",Delivery Associate,Amazon DSP,$15 - $17 an hour,"Delivery types: front porch, threshold, room of choice (assembly).Weekly Bonuses available for our drivers!.Hourly rate $15.00 DOA."
27,27,"Houston,TX",In Store Shopper -5a-1:30p PT,HEB,$14.50 an hour,Schedule Part-time Requested Availability (if applicable) 5a- 1:30p.
28,28,"Houston,TX",Full-Time Store Associate,ALDI,$14 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
29,29,"Houston,TX",Bagger - PT,HEB,$10 an hour,H-E-B Job Title Customer Service Assistant.
30,30,"Houston,TX",Chiropractic Physician,HQ Chiropractic,"$61,223 - $86,280 a year",Come join our exciting team in West Texas. We are growing and need a doctor with personal injury experience. Our team has treated the permian basin for over…
31,31,"Houston,TX",Helper/Laborer - Tech I,AIMS Companies,,The AIMS Companies is a renowned industrial and municipal cleaning and inspections company that uses state of the art equipment to provide clients a wide range…
32,32,"Houston,TX",Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
33,33,"Houston,TX",,Maximus,$16 - $17 an hour,Agents will answer incoming calls from the public related to COVID-19 vaccination scheduling.Strong data entry and telephone skills.
34,34,"Houston,TX",Warehouse Person (Loader)(FT/Nights/SEASONAL),PepsiCo,$19.20 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
