,Unnamed: 0,City,title,company,salary,summary
0,0,"Indianapolis,IN",Social Media Manager,MKR,,"Stay up-to-date with current technologies and trends in social media - tools, platforms, strategies, tactics and applications."
1,1,"Indianapolis,IN",VISTA Coordinator,Indy Hunger Network,$25 - $30 an hour,"F. Partner with the IHN Executive Director to identify and lead multiple communication activities, including donor acknowledgements and social media posts to…"
2,2,"Indianapolis,IN",Shopper Team Member,Amazon HVH,,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own."
3,3,"Indianapolis,IN",Ticket Agent,Flight Services & Systems,,"Resolve passenger issues, answer questions and provide general assistance to passenger.Ability to safely and successfully perform the essential job functions…"
4,4,"Indianapolis,IN",Crew Member,Jimmy Johns-Primetime Subs LLC,Up to $12 an hour,And none of it would be possible without the rockstar teams in the stores making it happen every day.Flexible hours and competitive pay!!*.
5,5,"Indianapolis,IN",Receptionist,IU Health Physicians Support Services,,"Answers and directs phone calls, records messages for department staff, and performs a variety of clerical duties pertinent to a department or departments."
6,6,"Indianapolis,IN",CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
7,7,"Indianapolis,IN",Dog Playgroup Handler,Tender Loving Pets Doggy Daycare,$11.50 - $13.00 an hour,"Daily cleaning and disinfecting dog play rooms, boarding suites, crates and common areas.Standing, walking and active for most of the time."
8,8,"Indianapolis,IN",,Sitel,$17 - $19 an hour,"Receive and process chats, calls and/or emails to answer customer questions and address their concerns.This position will require you to obtain an Insurance…"
9,9,"Indianapolis,IN",Machine Operator Production (FT/Evenings),PepsiCo,$20.80 an hour,"Experience with minor mechanical repairs (e.g., jams, using tools, making basic adjustments to equipment, etc.).Ensure package and product quality."
10,10,"Indianapolis,IN",Customer Care Advocate (Work from Home) - Indiana,Carvana,$16 an hour,"Be the voice of Carvana - You will interact on the phone, guiding customers through the purchase process, reviewing and approving documents, and answering…"
11,11,"Indianapolis,IN",Onboarding Associate,FullStack Inc,"Up to $45,000 a year",Ability to self-manage own time within work day.Creating variety of spreadsheets and data entry.Focused on daily operations as part of grasping the strategic…
12,12,"Indianapolis,IN",cashier,Michaels,,Participate in the truck un-load and stocking processes to ensure truck standards are followed and completed within budget.Execute cash handling to standards.
13,13,"Indianapolis,IN",Clinic Med Assistant,Acestack LLC,$20 an hour,Preparing treatment rooms for clinical examinations and assisting practitioners with medical procedures and other patient care.
14,14,"Indianapolis,IN",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
15,15,"Indianapolis,IN",,FedEx Ground PH US,Up to $18.50 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
16,16,"Indianapolis,IN",Registered Veterinary Technician,FACE Low-Cost Animal Clinic,$15 - $21 an hour,"Key requirements include current RVT license in the state of Indiana, the ability to be a team player who is friendly, outgoing, and excellent communication and…"
17,17,"Indianapolis,IN",Certified Group Fitness Instructor,Fling Bungee Fitness LLC,$15 - $30 an hour,"Ensure the class area is clean, disinfected, and in order for the next class and that all equipment is functioning properly."
18,18,"Indianapolis,IN",2021-2022 Intermediate Teacher | Docente para grados interme...,GLOBAL PREPARATORY ACADEMY,,"Using both English and Spanish to instruct students in all core content areas, students will develop high levels of bilingualism and biliteracy, as well as a…"
19,19,"Indianapolis,IN",Bus Driver (Part-time),Traditions at Brookside,$12 - $13 an hour,High school or equivalent (Preferred).Commercial Driving: 1 year (Preferred).Only full-time employees eligible.
20,20,"Indianapolis,IN",Maintenance Technician/Construction,All Round Service and Repairs,"$25,000 - $45,000 a year","Perform minor building, HVAC, plumbing, electrical and painting repairs as necessary.Perform maintenance of electrical systems (replace light bulbs and sockets…"
21,21,"Indianapolis,IN",Flight Attendant,Republic Airways,,Performs all regulatory and assigned cabin duties with constant attention to guests while providing a safe and comfortable onboard experience.
22,22,"Indianapolis,IN",Customer Service Representative,Sitel,$15 an hour,"Receive and process chats and/or calls to answer customer questions about order status, delivery, errors, returns, membership or other concerns with online…"
23,23,"Indianapolis,IN",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
24,24,"Indianapolis,IN",Seasonal Warehouse Team Member,Amazon HVH,,"Seasonal Warehouse Team Member (Full-Time, Part-Time, Flexible Hours).From flexible part-time roles to full-time set schedules with health care benefits,…"
25,25,"Indianapolis,IN",Bookseller,"Half Price Books, Records, Magazines, Inc.",,"Every day, Booksellers get to work on a variety of tasks, including delivering quality customer service, sharing their knowledge about books, movies, and music…"
26,26,"Indianapolis,IN",Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
27,27,"Indianapolis,IN",Ticket Agent,Flight Services & Systems,,"Resolve passenger issues, answer questions and provide general assistance to passenger.Ability to safely and successfully perform the essential job functions…"
28,28,"Indianapolis,IN",Machine Operator Production (FT/Evenings),PepsiCo,$20.80 an hour,"Experience with minor mechanical repairs (e.g., jams, using tools, making basic adjustments to equipment, etc.).Ensure package and product quality."
29,29,"Indianapolis,IN",cashier,Michaels,,Participate in the truck un-load and stocking processes to ensure truck standards are followed and completed within budget.Execute cash handling to standards.
30,30,"Indianapolis,IN",Clinic Med Assistant,Acestack LLC,$20 an hour,Preparing treatment rooms for clinical examinations and assisting practitioners with medical procedures and other patient care.
31,31,"Indianapolis,IN",Estimator/Project Manager,GTech Construction Services,"$60,000 - $65,000 a year","Participate in the development of a construction project and oversee its organization, scheduling and implementation with the monitoring and improvement…"
32,32,"Indianapolis,IN",Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
33,33,"Indianapolis,IN",VISTA Coordinator,Indy Hunger Network,$25 - $30 an hour,"F. Partner with the IHN Executive Director to identify and lead multiple communication activities, including donor acknowledgements and social media posts to…"
34,34,"Indianapolis,IN",Supervised Visitation Worker,Family Community Connections,$25 - $35 an hour,"Must possess a valid driver’s license and the ability to use private car to transport self and others, and must comply with the state policy concerning minimum…"
35,35,"Indianapolis,IN",Receptionist,IU Health Physicians Support Services,,"Answers and directs phone calls, records messages for department staff, and performs a variety of clerical duties pertinent to a department or departments."
36,36,"Indianapolis,IN",Dog Playgroup Handler,Tender Loving Pets Doggy Daycare,$11.50 - $13.00 an hour,"Daily cleaning and disinfecting dog play rooms, boarding suites, crates and common areas.Standing, walking and active for most of the time."
37,37,"Indianapolis,IN",Shopper Team Member,Amazon HVH,,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own."
38,38,"Indianapolis,IN",,Sitel,$17 - $19 an hour,"Receive and process chats, calls and/or emails to answer customer questions and address their concerns.This position will require you to obtain an Insurance…"
39,39,"Indianapolis,IN",Ticket Agent,Flight Services & Systems,,"Resolve passenger issues, answer questions and provide general assistance to passenger.Ability to safely and successfully perform the essential job functions…"
