,Unnamed: 0,City,title,company,salary,summary
0,0,"Jackson,MS",Director Plant Operations,Mississippi Baptist Medical Center,From $26.47 an hour,"Schedules/coordinates all planning activities as they relate to facility renovations, millwork shop, maintenance, construction, interior design, power plant,…"
1,1,"Jackson,MS",Nursing Home Administrator or Administrator in Training,Trend Health and Rehab of Brookhaven,"$83,000 - $97,000 a year","Ensure the facility operates in compliance with all local, state, and federal regulations.Coordinate and provide leadership to each clinical, managerial, and…"
2,2,"Jackson,MS",Office Administrator,Camping World,,"Process and post all cash receipts, credit card payments, scanned checks and ACH payments.Sort, review and post all vendor invoices and credit card…"
3,3,"Jackson,MS",,Sitel,,"Receive and process chats, calls and/or emails to answer customer questions, address their concerns and help them with a particular product or service."
4,4,"Jackson,MS",LPN/RNStaff Development Coordinator,Nichols Nursing Center,,"The ideal candidate will be able to plan, organize, develop, and direct staff education and infection control reports.• Must have great communication skills."
5,5,"Jackson,MS",Visitor Assistant,Mississippi Children's Museum - Meridian,,"Actively engage visitors by playing with them in exhibits, answering questions, and helping when necessary.B) Assist with field trip programs."
6,6,"Jackson,MS",Unit Secretary-Labor/Delivery-Women's Services-FT-7p,Merit Health River Oaks,,"Duties include answering telephones, filing, greeting visitors, electronic data entry and assisting with documentation."
7,7,"Jackson,MS",Phlebotomist,Phlebotomy Corp,$30 - $60 an hour,Responsible for completing invoicing as well as coding all data entry needs.Properly including phlebotomy information entry of phlebotomists client…
8,8,"Jackson,MS",Admitting Clerk-Outpatient Registration-FT-Rotating Shifts,Merit Health River Oaks,,"Creating a customer service environment, the Admitting Clerk assists with insurance verification and pre-certification through collaboration with Case…"
9,9,"Jackson,MS",Team Member,Burger King,,Greets guests with a smile while receiving orders and processing payments.This position has direct interactions with Guests and members of the field operations…
10,10,"Jackson,MS",HR Coordinator-Human Resources-FT Day Shift,Merit Health Central,,Responsible for responding to employee questions and inquiries about employee benefit programs and human resources policies.
11,11,"Jackson,MS",Summer Day Camp Counselor,Skyhawks Sports Jackson,$10 - $15 an hour,Each counselor must complete an extensive certification process and successfully pass a criminal background investigation.CPR and First Aid certified.
12,12,"Jackson,MS",Legal Secretary,"Colette and Colette,PLLC",$15 - $20 an hour,"Looking for experienced legal secretary, familiar with Federal and State Court filing systems, pacer, and related.High school or equivalent (Preferred)."
13,13,"Jackson,MS",Admin Assistant VII,Mississippi State Personnel Board,"$34,404 a year","Communicates policies, procedures, and federal and state regulations related to the agency.The work also includes responsibility for analyzing administrative…"
14,14,"Jackson,MS",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
