,Unnamed: 0,City,title,company,salary,summary
0,0,"Jacksonville,FL",Recent Graduate - Workers' Compensation Claims Examiner,US Department of Labor,"$43,683 - $79,868 a year",Arranges for examination of the claimant to obtain evidence as to whether the disfigurement is of a permanent nature.Background checks and security clearance.
1,1,"Jacksonville,FL",Library Technician,Alutiiq,,"Responsible for daily pick up of technical publications, technical directives, and technical drawings from the Central Technical Publication Library,…"
2,2,"Jacksonville,FL",Customer Service,Fidelity Investments,,Our successful CRAs assist clients with a broad range of needs including answering questions about their account balances to guiding them to the appropriate…
3,3,"Jacksonville,FL","Server, Bartender, Busser, Runner, Guest Services - Jacksonv...",Topgolf,,"If extended the invitation, we’ll be ready to welcome you to an interview with guidelines around social distancing and interview protocols to help keep you safe…"
4,4,"Jacksonville,FL",Football Communications Coordinator,Jacksonville Jaguars,,Bachelor’s degree from a four-year accredited college or university.Compile and distribute clips from all forms of media to relevant publics daily.
5,5,"Jacksonville,FL",Seasonal Customer Service Representative - work from home!,Computershare,$17 an hour,"Responds to customers via inbound/outbound calls or written correspondence to the day-to-day activities generated by claimant, shareholders, or other…"
6,6,"Jacksonville,FL",Data Entry,Welcome to Jump,"$48,000 - $58,000 a year","1+ years experience in a relevant field.Gathering invoices, statements, reports, personal details, documents and information from employees, other departments…"
7,7,"Jacksonville,FL",Entry Level Communications Assistant,Streamline Management,"$36,500 - $54,600 a year",Be an excellent student to develop an extensive knowledge of products and services.We have five openings for Communications Assistants to cross train in…
8,8,"Jacksonville,FL",Greeter - Jacksonville,Louis Vuitton,,The ideal Greeter will manifest the Louis Vuitton Promise to build a genuine relationship and cherish the Client’s time spent at the Maison while making sure…
9,9,"Jacksonville,FL",Customer Service Rep Entry Level,Aero Marketing Agency,"$40,000 - $70,000 a year",Ability to think strategically about the personal impact to the client's long-term business strategy.A good job for someone just entering the workforce or…
10,10,"Jacksonville,FL",Local City Driver,Saia LTL Freight,$23.57 - $28.25 an hour,Operating various tractor-trailer combinations between company terminals and customer facilities or work sites within the terminal's geographic service area.
11,11,"Jacksonville,FL",Customer Service Specialist/Work & Train from Home,Citi,,"Excellent technical and data entry skills, including ulilizing a 10-key touchpad.Appropriately assess risk when business decisions are made, demonstrating…"
12,12,"Jacksonville,FL",Appointment Scheduler,Northeast Florida Endocrine & Diabetes Associates,$11.50 - $12.00 an hour,"Must complete telephone assessment attached to this posting in order to be considered.We provide great pay & benefits, exciting retention perks."
13,13,"Jacksonville,FL",School Office Assistant - 10 M - GRASP Academy,Duval County Public Schools,$10.00 - $21.25 an hour,"This is routine clerical work at the entrance level at a school site maintaining records; filing; receiving, sorting, and distributing correspondence, books and…"
14,14,"Jacksonville,FL",Data Entry,Exclusive,,Basic knowledge of touch typing system and database management tools.Good practical experience with word processing tools and spreadsheets such as MS Office…
15,15,"Jacksonville,FL",Delivery Driver,NPC International,,"You'll also need a valid driver's license, insurance and reliable vehicle.A clean driving record: If you're on a first name basis with the people at traffic…"
16,16,"Jacksonville,FL",Entry-level Customer Service,Fidelity Investments,,Our successful CRAs assist clients with a broad range of needs including answering questions about their account balances to guiding them to the appropriate…
17,17,"Jacksonville,FL",Veterinarian,Hidden Hills Animal Hospital,"$75,000 - $140,000 a year","Competitive salary with CE allowance, license fees, malpractice insurance and dues paid, 3 weeks paid leave and 1 week sick leave.20-40 hours per week."
18,18,"Jacksonville,FL",Residential Fiberglass Installer,American Insulators LLC,$13 - $26 an hour,\* Complete driving background check in accordance with local laws and regulations.\*Licensia de conducir valida y tarjeta de seguridad social.
19,19,"Jacksonville,FL",,FedEx Ground PH US,,$15.00 ( you will have Saturday off and be told your second day off during training day).FedEx Ground is hiring part-time and full-time individuals to load and…
20,20,"Jacksonville,FL",Veterinary Technician,Forever Vets Animal Hospital,$10 - $18 an hour,"Can discharge patients based on the veterinarian’s orders, ensuring that patients are well groomed and in a medically appropriate state."
21,21,"Jacksonville,FL",Customer Service Rep Entry Level,Aero Marketing Agency,"$40,000 - $70,000 a year",Ability to think strategically about the personal impact to the client's long-term business strategy.A good job for someone just entering the workforce or…
22,22,"Jacksonville,FL",Social Media Coordinator,Soud Marketing,Up to $20 an hour,"No professional experience necessary, but must love social media usage and marketing, plus must be interested in producing and editing content: social media…"
23,23,"Jacksonville,FL",Guest Advocate (Cashier or Front of Store Attendant/ Cart At...,TARGET,,Make a connection with guests by engaging in friendly and genuine conversation throughout each transaction; asking open ended questions about the guest’s…
