,title,company,salary,summary
0,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
1,,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
2,Amazon Picker Packer - Urgently Hiring!,Amazon Workforce Staffing,$15.30 an hour,"You’ll work up to 19 hours per week on the days you choose.Warehouse Team Member (Seasonal, Part-Time, Full-Time, Flexible Hours)."
3,Marketing Assistant,Gillespie Group - Lansing,$16.50 - $17.50 an hour,Licenses: A valid driver’s license and current automobile insurance is required.Experience • Previous experience in marketing and/or advertising or related…
4,Mail Clerk,Delta Dental of Michigan,,"Must possess and maintain a valid (State of Michigan) driver's license.Operates equipment which may include a personal computer, telephone, copier, scanner,…"
5,General Office Assistant-E,State of Michigan,"$2,730 - $3,864 a month",This position provides clerical support to the Human Resources Office.Knowledge of filing and general record keeping.Must have basic computer skills.
6,Deputy Clerk II - Circuit Court,Ingham County,"$33,710 a year","May serve as jury clerk, includes answering inquiries of jurors regarding jury service and related procedures; responding to requests from prospective jurors to…"
7,Sterile Process Tech - Cert and Non Cert,McLaren Greater Lansing,$13.64 - $21.72 an hour,Completion of approved sterile processing course and certification as a sterile processing technician by the Certification Board for Sterile Processing and…
8,Doggy Day Camp Counselor,Best Friends Pet Care Inc,,"Treats customers, guests and co-workers in a professional, courteous manner; greets all customers encountered while performing work duties."
9,Warehouse Worker - Amazon,Amazon Workforce Staffing,$15 an hour,The base pay for this role is $15.00/hr.*Earn up to $16.00/hr for select shifts.**The shift differential varies per position and location.
10,TeleScribe,ScribeAmerica,,"Provide advanced support to providers, including documenting phone calls, alerting the physician when labs/radiology reports are complete, monitoring document…"
11,Executive Assistant,Boldly,$20 an hour,"Maximizing the executive’s time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;…"
12,Barista/Cafe Server - Part-Time,Barnes & Noble,,Ensure all customer transactions are processed accurately and in a timely manner.Protect Company assets by ensuring the accurate execution of loss prevention…
13,Departmental Technician,State of Michigan,$19.47 - $26.74 an hour,"The position interprets state statutes related to vital record documents, handling and transmitting data, provides daily telephone assistance for customers…"
14,Registered Nurse - COVID Vaccination,Voyage Healthcare,"Up to $3,300 a week","(compact license preferred, the more flexible you are for traveling, the better).Active MI or compact License.Job Types: Full-time, Contract."
15,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
16,,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
17,General Office Assistant-E,State of Michigan,"$2,730 - $3,864 a month",This position provides clerical support to the Human Resources Office.Knowledge of filing and general record keeping.Must have basic computer skills.
18,Deputy Clerk II - Circuit Court,Ingham County,"$33,710 a year","May serve as jury clerk, includes answering inquiries of jurors regarding jury service and related procedures; responding to requests from prospective jurors to…"
19,Elementary Teacher for Summer Camp Program,Educational Child Care Center,$15 - $17 an hour,"Oversee the planning, implementation, and evaluation of the summer camp program and for a single multi-age classroom of children (aged 5 to 9), to meet their…"
20,TeleScribe,ScribeAmerica,,"Provide advanced support to providers, including documenting phone calls, alerting the physician when labs/radiology reports are complete, monitoring document…"
21,911 Dispatcher,Ingham County 911,$19.94 - $27.63 an hour,Answers non-emergency calls for assistance and processes criminal justice information.Under the supervision of the Director or his/her designee and in a 24…
22,Amazon Picker Packer - Urgently Hiring!,Amazon Workforce Staffing,$15.30 an hour,"You’ll work up to 19 hours per week on the days you choose.Warehouse Team Member (Seasonal, Part-Time, Full-Time, Flexible Hours)."
23,Marketing Assistant,Gillespie Group - Lansing,$16.50 - $17.50 an hour,Licenses: A valid driver’s license and current automobile insurance is required.Experience • Previous experience in marketing and/or advertising or related…
24,Mail Clerk,Delta Dental of Michigan,,"Must possess and maintain a valid (State of Michigan) driver's license.Operates equipment which may include a personal computer, telephone, copier, scanner,…"
25,Warehouse Worker - Amazon,Amazon Workforce Staffing,$15 an hour,The base pay for this role is $15.00/hr.*Earn up to $16.00/hr for select shifts.**The shift differential varies per position and location.
26,Executive Assistant,Boldly,$20 an hour,"Maximizing the executive’s time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;…"
27,Remote Customer Service Representative Major Automotive,Percepta,$19.00 - $19.23 an hour,The ability to come on site when necessary - we may need you to pick-up/drop-off equipment or on-site technical help.Speed and accuracy when typing.
28,Departmental Technician,State of Michigan,$19.47 - $26.74 an hour,"The position interprets state statutes related to vital record documents, handling and transmitting data, provides daily telephone assistance for customers…"
29,Executive Secretary E10,State of Michigan,$20.92 - $28.02 an hour,"Five years of administrative support experience where use of a personal computer to prepare correspondence, reports, charts, etc., or to enter/retrieve/update…"
30,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
31,,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
32,General Office Assistant-E,State of Michigan,"$2,730 - $3,864 a month",This position provides clerical support to the Human Resources Office.Knowledge of filing and general record keeping.Must have basic computer skills.
33,Amazon Picker Packer - Urgently Hiring!,Amazon Workforce Staffing,$15.30 an hour,"You’ll work up to 19 hours per week on the days you choose.Warehouse Team Member (Seasonal, Part-Time, Full-Time, Flexible Hours)."
34,Deputy Clerk II - Circuit Court,Ingham County,"$33,710 a year","May serve as jury clerk, includes answering inquiries of jurors regarding jury service and related procedures; responding to requests from prospective jurors to…"
35,Mail Clerk,Delta Dental of Michigan,,"Must possess and maintain a valid (State of Michigan) driver's license.Operates equipment which may include a personal computer, telephone, copier, scanner,…"
36,Marketing Assistant,Gillespie Group - Lansing,$16.50 - $17.50 an hour,Licenses: A valid driver’s license and current automobile insurance is required.Experience • Previous experience in marketing and/or advertising or related…
37,TeleScribe,ScribeAmerica,,"Provide advanced support to providers, including documenting phone calls, alerting the physician when labs/radiology reports are complete, monitoring document…"
38,911 Dispatcher,Ingham County 911,$19.94 - $27.63 an hour,Answers non-emergency calls for assistance and processes criminal justice information.Under the supervision of the Director or his/her designee and in a 24…
39,Elementary Teacher for Summer Camp Program,Educational Child Care Center,$15 - $17 an hour,"Oversee the planning, implementation, and evaluation of the summer camp program and for a single multi-age classroom of children (aged 5 to 9), to meet their…"
40,Remote Customer Service Representative Major Automotive,Percepta,$19.00 - $19.23 an hour,The ability to come on site when necessary - we may need you to pick-up/drop-off equipment or on-site technical help.Speed and accuracy when typing.
41,Programmer Analyst,MICHIGAN EDUCATION ASSOCIATION,$26.47 - $41.01 an hour,"Meet with users as necessary to develop requirements and understand specifications for programs, provide training on new systems or system enhancements and…"
42,Executive Assistant,Boldly,$20 an hour,"Maximizing the executive’s time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;…"
43,Property Accountant,Gillespie Group,$20 - $25 an hour,Ensure timely vendor payments are made while monitoring cash flow for the real estate portfolio to which you are assigned.Only full-time employees eligible.
44,Departmental Technician,State of Michigan,$19.47 - $26.74 an hour,"The position interprets state statutes related to vital record documents, handling and transmitting data, provides daily telephone assistance for customers…"
45,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
46,,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
47,Amazon Picker Packer - Urgently Hiring!,Amazon Workforce Staffing,$15.30 an hour,"You’ll work up to 19 hours per week on the days you choose.Warehouse Team Member (Seasonal, Part-Time, Full-Time, Flexible Hours)."
48,General Office Assistant-E,State of Michigan,"$2,730 - $3,864 a month",This position provides clerical support to the Human Resources Office.Knowledge of filing and general record keeping.Must have basic computer skills.
49,Elementary Teacher for Summer Camp Program,Educational Child Care Center,$15 - $17 an hour,"Oversee the planning, implementation, and evaluation of the summer camp program and for a single multi-age classroom of children (aged 5 to 9), to meet their…"
50,Mail Clerk,Delta Dental of Michigan,,"Must possess and maintain a valid (State of Michigan) driver's license.Operates equipment which may include a personal computer, telephone, copier, scanner,…"
51,Marketing Assistant,Gillespie Group - Lansing,$16.50 - $17.50 an hour,Licenses: A valid driver’s license and current automobile insurance is required.Experience • Previous experience in marketing and/or advertising or related…
52,Deputy Clerk II - Circuit Court,Ingham County,"$33,710 a year","May serve as jury clerk, includes answering inquiries of jurors regarding jury service and related procedures; responding to requests from prospective jurors to…"
53,911 Dispatcher,Ingham County 911,$19.94 - $27.63 an hour,Answers non-emergency calls for assistance and processes criminal justice information.Under the supervision of the Director or his/her designee and in a 24…
54,Programmer Analyst,MICHIGAN EDUCATION ASSOCIATION,$26.47 - $41.01 an hour,"Meet with users as necessary to develop requirements and understand specifications for programs, provide training on new systems or system enhancements and…"
55,Remote Customer Service Representative Major Automotive,Percepta,$19.00 - $19.23 an hour,The ability to come on site when necessary - we may need you to pick-up/drop-off equipment or on-site technical help.Speed and accuracy when typing.
56,Property Accountant,Gillespie Group,$20 - $25 an hour,Ensure timely vendor payments are made while monitoring cash flow for the real estate portfolio to which you are assigned.Only full-time employees eligible.
57,Warehouse Worker - Amazon,Amazon Workforce Staffing,$15 an hour,The base pay for this role is $15.00/hr.*Earn up to $16.00/hr for select shifts.**The shift differential varies per position and location.
58,Executive Assistant,Boldly,$20 an hour,"Maximizing the executive’s time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;…"
59,Departmental Technician,State of Michigan,$19.47 - $26.74 an hour,"The position interprets state statutes related to vital record documents, handling and transmitting data, provides daily telephone assistance for customers…"
60,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
61,,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
62,Amazon Picker Packer - Urgently Hiring!,Amazon Workforce Staffing,$15.30 an hour,"You’ll work up to 19 hours per week on the days you choose.Warehouse Team Member (Seasonal, Part-Time, Full-Time, Flexible Hours)."
63,Warehouse Worker - Amazon,Amazon Workforce Staffing,$15 an hour,The base pay for this role is $15.00/hr.*Earn up to $16.00/hr for select shifts.**The shift differential varies per position and location.
64,General Office Assistant-E,State of Michigan,"$2,730 - $3,864 a month",This position provides clerical support to the Human Resources Office.Knowledge of filing and general record keeping.Must have basic computer skills.
65,Deputy Clerk II - Circuit Court,Ingham County,"$33,710 a year","May serve as jury clerk, includes answering inquiries of jurors regarding jury service and related procedures; responding to requests from prospective jurors to…"
66,Sterile Process Tech - Cert and Non Cert,McLaren Greater Lansing,$13.64 - $21.72 an hour,Completion of approved sterile processing course and certification as a sterile processing technician by the Certification Board for Sterile Processing and…
67,Marketing Assistant,Gillespie Group - Lansing,$16.50 - $17.50 an hour,Licenses: A valid driver’s license and current automobile insurance is required.Experience • Previous experience in marketing and/or advertising or related…
68,Mail Clerk,Delta Dental of Michigan,,"Must possess and maintain a valid (State of Michigan) driver's license.Operates equipment which may include a personal computer, telephone, copier, scanner,…"
69,Doggy Day Camp Counselor,Best Friends Pet Care Inc,,"Treats customers, guests and co-workers in a professional, courteous manner; greets all customers encountered while performing work duties."
70,TeleScribe,ScribeAmerica,,"Provide advanced support to providers, including documenting phone calls, alerting the physician when labs/radiology reports are complete, monitoring document…"
71,Executive Assistant,Boldly,$20 an hour,"Maximizing the executive’s time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;…"
72,Barista/Cafe Server - Part-Time,Barnes & Noble,,Ensure all customer transactions are processed accurately and in a timely manner.Protect Company assets by ensuring the accurate execution of loss prevention…
73,Departmental Technician,State of Michigan,$19.47 - $26.74 an hour,"The position interprets state statutes related to vital record documents, handling and transmitting data, provides daily telephone assistance for customers…"
74,Registered Nurse - COVID Vaccination,Voyage Healthcare,"Up to $3,300 a week","(compact license preferred, the more flexible you are for traveling, the better).Active MI or compact License.Job Types: Full-time, Contract."
75,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
76,Legislative and Political Program Coordinator,Michigan Nurses Association,,"Minimum Bachelor’s degree in political science, public policy or related field.Experience with monitoring legislation and regulations at local, state and…"
