,title,company,salary,summary
0,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
1,Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
2,"Secretary 3, Counseling/School Social Work Support, 260Day,...",Lincoln Public Schools,$19.99 an hour,"This position is responsible for all administrative support and budget duties for school social workers, counselors, and Crisis Response Team."
3,Barista/Cafe Server - Part-Time,Barnes & Noble,,Ensure all customer transactions are processed accurately and in a timely manner.Protect Company assets by ensuring the accurate execution of loss prevention…
4,Police Records Technician,City of Lincoln & Lancaster County,$19.35 - $22.11 an hour,Necessary Special Requirement: Employees are required to obtain and maintain certification on the National Crime Information Center computer system.
5,Office Assistant I,Lincoln Housing Authority,$13.19 an hour,"The Office Assistant I is responsible for answering the Lincoln Housing Authority general line phone number, greeting and assisting walk-in visitors, and…"
6,Housekeeper - 2021 Season,American Cruise Lines,$700 - $900 a week,Our Housekeepers have the cleanliness of our guests’ rooms and public areas as their top priority.You are an American citizen or valid Green Card holder.
7,CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
8,Office Assistant,City of Lincoln & Lancaster County,$14.77 - $19.53 an hour,"Provides clerical support including typing, filing, word processing, data entry, answering phones, record keeping, and related duties."
9,Cashier,Michaels,,Participate in the truck un-load and stocking processes to ensure truck standards are followed and completed within budget.Execute cash handling to standards.
10,Library - Summer Outreach Temp Worker (Professional/Technica...,City of Lincoln & Lancaster County,$18.78 an hour,"Travel to scheduled sites, read books, conduct crafts, distribute Summer Reading Program materials, register youth for the Summer Reading Program, check out…"
11,Vaccine Clerk (Professional Technical Worker),City of Lincoln & Lancaster County,$16 - $25 an hour,Necessary specialist requirement: Valid driver's license (position requires travel to vaccine clinic/sites.Nature of Work/Examples of Work Performed: Provide…
12,Intake Case Aide,Lincoln Housing Authority,$16.47 an hour,"Assists the public, on the telephone, in writing and in person, with inquiries.LHA will practice strict social distancing, require facial covering, conduct…"
13,Library Summer Temp - Professional/Technical Worker,City of Lincoln & Lancaster County,$18.79 an hour,Walt Branch Library (6701 S. 14th Street).Responsible paraprofessional library work providing public service requiring some knowledge of library practices and…
14,Cyber Security Intern,Lincoln Electric System,$16.66 an hour,Working on a degree in Information Technology or related field.Research and gather system requirements and develop plans to address solutions.
15,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
16,Barista/Cafe Server - Part-Time,Barnes & Noble,,Ensure all customer transactions are processed accurately and in a timely manner.Protect Company assets by ensuring the accurate execution of loss prevention…
17,Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
18,Police Records Technician,City of Lincoln & Lancaster County,$19.35 - $22.11 an hour,Necessary Special Requirement: Employees are required to obtain and maintain certification on the National Crime Information Center computer system.
19,"Secretary 3, Counseling/School Social Work Support, 260Day,...",Lincoln Public Schools,$19.99 an hour,"This position is responsible for all administrative support and budget duties for school social workers, counselors, and Crisis Response Team."
20,Cashier,Michaels,,Participate in the truck un-load and stocking processes to ensure truck standards are followed and completed within budget.Execute cash handling to standards.
21,Library - Summer Outreach Temp Worker (Professional/Technica...,City of Lincoln & Lancaster County,$18.78 an hour,"Travel to scheduled sites, read books, conduct crafts, distribute Summer Reading Program materials, register youth for the Summer Reading Program, check out…"
22,Housekeeper - 2021 Season,American Cruise Lines,$700 - $900 a week,Our Housekeepers have the cleanliness of our guests’ rooms and public areas as their top priority.You are an American citizen or valid Green Card holder.
23,Administrative Assistant,Liberty Healthcare Corporation,$20 an hour,"This will include serving as receptionist, making outbound calls to stakeholders, scheduling, copying, scanning, filing, receiving and distributing office…"
24,Guest Advocate (Cashier or Front of Store Attendant/ Cart At...,TARGET,,Make a connection with guests by engaging in friendly and genuine conversation throughout each transaction; asking open ended questions about the guest’s…
25,Correctional Officer,City of Lincoln & Lancaster County,$21.43 - $30.11 an hour,Possession of a valid driver's license when operating a vehicle is required in the performance of assigned duties.Knowledge of the criminal justice system.
26,Vaccine Clerk (Professional Technical Worker),City of Lincoln & Lancaster County,$16 - $25 an hour,Necessary specialist requirement: Valid driver's license (position requires travel to vaccine clinic/sites.Nature of Work/Examples of Work Performed: Provide…
27,Office Assistant,City of Lincoln & Lancaster County,$14.77 - $19.53 an hour,"Provides clerical support including typing, filing, word processing, data entry, answering phones, record keeping, and related duties."
28,CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
29,Drug Technician (Female Only),State of Nebraska,"$2,236 a month",Communicating on a regular basis with probation staff and documenting results of drug/alcohol testing for case files.
30,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
31,Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
32,Office Assistant I,Lincoln Housing Authority,$13.19 an hour,"The Office Assistant I is responsible for answering the Lincoln Housing Authority general line phone number, greeting and assisting walk-in visitors, and…"
33,Barista/Cafe Server - Part-Time,Barnes & Noble,,Ensure all customer transactions are processed accurately and in a timely manner.Protect Company assets by ensuring the accurate execution of loss prevention…
34,Administrative Assistant,Liberty Healthcare Corporation,$20 an hour,"This will include serving as receptionist, making outbound calls to stakeholders, scheduling, copying, scanning, filing, receiving and distributing office…"
35,"Secretary 3, Counseling/School Social Work Support, 260Day,...",Lincoln Public Schools,$19.99 an hour,"This position is responsible for all administrative support and budget duties for school social workers, counselors, and Crisis Response Team."
36,Library - Summer Outreach Temp Worker (Professional/Technica...,City of Lincoln & Lancaster County,$18.78 an hour,"Travel to scheduled sites, read books, conduct crafts, distribute Summer Reading Program materials, register youth for the Summer Reading Program, check out…"
37,Drug Technician (Female Only),State of Nebraska,"$2,236 a month",Communicating on a regular basis with probation staff and documenting results of drug/alcohol testing for case files.
38,Police Records Technician,City of Lincoln & Lancaster County,$19.35 - $22.11 an hour,Necessary Special Requirement: Employees are required to obtain and maintain certification on the National Crime Information Center computer system.
39,Office Assistant,City of Lincoln & Lancaster County,$14.77 - $19.53 an hour,"Provides clerical support including typing, filing, word processing, data entry, answering phones, record keeping, and related duties."
40,Housekeeper - 2021 Season,American Cruise Lines,$700 - $900 a week,Our Housekeepers have the cleanliness of our guests’ rooms and public areas as their top priority.You are an American citizen or valid Green Card holder.
41,Cashier,Michaels,,Participate in the truck un-load and stocking processes to ensure truck standards are followed and completed within budget.Execute cash handling to standards.
42,Community Activities & Service (Aging Services Supervisor),City of Lincoln & Lancaster County,$31.28 - $41.73 an hour,"QUALIFICATIONS: Graduation from an accredited four-year college or university with major coursework in public administration, marketing, human or behavioral…"
43,Customer Service Agent- LNK,SkyWest Airlines,,"Must possess a valid driver license.As a Customer Service Agent, you will provide excellent front-line service to our passengers."
44,Assistant Probation Officer-Juvenile,State of Nebraska,"$3,146 a month","PREFERRED: Bachelor's degree in the social sciences, criminal justice, or related fields.This person will be involved in supervising high-risk offenders under…"
45,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
46,Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
47,"Secretary 3, Counseling/School Social Work Support, 260Day,...",Lincoln Public Schools,$19.99 an hour,"This position is responsible for all administrative support and budget duties for school social workers, counselors, and Crisis Response Team."
