,title,company,salary,summary
0,,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
1,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
2,Customer Service Representative,AT&T,$15.00 - $16.77 an hour,"Answers inbound call from customers with billing issues, technical issues, or general questions regarding service.If you’re 18 years or older, let’s talk."
3,Warehouse Person (Loader) (FT/Nights),PepsiCo,$17.46 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
4,Medical Cannabis Trimmer,Cannabis Careers,,"Ensure optimal plant and product data organization and reconciliation, by making sure plant tags always stay with their respective plant as it goes through all…"
5,Airport Agent - Customer Service,Envoy Air Inc.,,"Possess a valid, unexpired and unsuspended driver’s license; some license restrictions may prohibit a candidate from qualifying for this position."
6,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
7,Crew,Trader Joe's,$12 - $16 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
8,Materials Handler,US Department of Veterans Affairs,$17.86 - $20.87 an hour,"Must possess a valid, state driver's license or commercial driver's license(CDL), as applicable, if required to operate a motor vehicle or commercial vehicle."
9,Aerie - Brand Ambassador (Sales Associate) - US,American Eagle Outfitters,,Making your guests' day is your priority and you're able to proactively resolve guest concerns while sticking to company policy.
10,Drivers Wanted (No Special License Required) Lots of Work &...,All My Sons Moving & Storage,$15 - $17 an hour ++,"Full, Part Time, Weekends only, or make your own schedule!$15 to $17 per hour (Based on Experience).Sign-on Bonus of $250 pending completion of Driver…"
11,Administrative Specialist,Arkansas Association of Educational Administrators,,"ESSENTIAL FUNCTIONS: Receives visitors at the front desk by greeting, welcoming, directing & announcing the appropriately."
12,Delivery Associate,Amazon DSP,$15 an hour,Must be comfortable driving and working in varying weather conditions.Able to get in and out of van and walk up and down stairs through your shift.
13,Independent Property Inspector,Assessor Photos,"Up to $48,716 a year",Fill out a form on your cell phone using a downloadable mobile application.The property inspector then reports the general condition of the property using a…
14,Pet Sitter/Dog Walker,VIP Pet Care,$15 - $20 an hour,"In-home pet sitting: while clients are away we visit their home 1-4 times per day to walk, feed and care for their pet/s;"
15,,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
16,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
17,Restaurant Server/Cashier,Gus's World Famous Fried Chicken,$12 - $20 an hour,A good job for someone just entering the workforce or returning to the workforce with limited experience and education.Preparing bill and processing payment.
18,Warehouse Person (Loader) (FT/Nights),PepsiCo,$17.46 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
19,Customer Service Representative,AT&T,$15.00 - $16.77 an hour,"Answers inbound call from customers with billing issues, technical issues, or general questions regarding service.If you’re 18 years or older, let’s talk."
20,PAY INCREASED PT Machine Operator - 88,"Coin Wrap, Inc.",$13 an hour,"SUMMARY (basic purpose of the job): This entry-level position completes all aspects of processing coin, i.e. roll cracking, coin wrapping, coin sorting, coin…"
21,Work at Home Customer Service Representative,Alorica,$12.75 an hour,"As an Inbound Customer Service Representative, you will provide exemplary customer service, over the phone, offering solutions and answering questions about a…"
22,Medical Cannabis Trimmer,Cannabis Careers,,"Ensure optimal plant and product data organization and reconciliation, by making sure plant tags always stay with their respective plant as it goes through all…"
23,"Technical Customer Service Advisor, Work From Home",Conduent,$14.25 an hour,We are actively seeking full-time agents to work from home and deliver excellent technical customer service on behalf of our client - a world leader in…
