,title,company,salary,summary
0,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
1,Looking to Work in Sustainability?,Farm Fresh to You,$20 - $40 an hour,"Employee discount of 40% off all organic fruits, vegetables & artisan farm products.Working knowledge of our food system, sustainability and environmental…"
2,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
3,Customer Assistance Representative,American Airlines,,Applicable valid driver’s license as required by local authorities.Processing and completing credit card baggage transactions at kiosks.
4,Warehouse Associate,Tesla,,"Must have a valid state driver’s license.This will include receiving, issuing, and organizing materials for maximum efficiency; and preparing material daily to…"
5,"Nike Pasadena Retail Sales Associate Part-Time (""Athlete"")",Nike,,"Maintain knowledge of various store departments and be available to operate cash register for regular transactions, perform shipping and receiving duties, stock…"
6,Customer Service Agent Part Time,American Airlines,,"Applicable valid driver’s license as required by local authorities.The Customer Service Agent interacts with customers in a courteous, efficient, friendly and…"
7,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
8,Technical Specialist,Apple,,"Flexibility to regularly rotate through different technical specialties and skill sets.As a Technical Specialist, you help new owners get started and current…"
9,Boba Time USC Crew Member Position Available,It's Boba Time USC,From $14.25 an hour,"Must be able to get trained and work in all aspects of the store operation, including: kitchen, making boba drinks, working at the register and greeting…"
10,,The Home Depot,,"These associates learn about products using our tools, and provide information to customers in order to sell an entire project."
11,Summer 2021 Environmental Justice Intern (Parks),"Natural Resources Defense Council, Inc.",$600 a week,"Demonstrated commitment to public service, equity, social justice, and/or environmental justice;The intern will be paid a stipend of: $600 per week for an…"
12,"Assistant, TV Production",Lionsgate,,"Provide administrative support including: rolling calls, maintaining calendar, scheduling meetings & conference calls, processing expense reports and preparing…"
13,Airport Operations Crew,JetBlue Airways Corporation,,"Depending upon location, may need to possess and maintain a valid Driver License and a driving record that meets JetBlue Airways’ insurance standards."
14,Tutor in Los Angeles – All Subjects Available,Grade Potential Tutoring,$18 - $30 an hour,Los Angeles families are in immediate need of part-time tutors for all subjects and grade levels.
15,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
16,Looking to Work in Sustainability?,Farm Fresh to You,$20 - $40 an hour,"Employee discount of 40% off all organic fruits, vegetables & artisan farm products.Working knowledge of our food system, sustainability and environmental…"
17,Technical Specialist,Apple,,"Flexibility to regularly rotate through different technical specialties and skill sets.As a Technical Specialist, you help new owners get started and current…"
18,Restaurant Server,South Beverly Grill,$150 - $300 a day,Set permanent schedules posted in advance; will be modified to accommodate school/internships upon need.Previous experience not required; In depth training…
19,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
20,"Nike Pasadena Retail Sales Associate Part-Time (""Athlete"")",Nike,,"Maintain knowledge of various store departments and be available to operate cash register for regular transactions, perform shipping and receiving duties, stock…"
21,,KUSHAGRAM,"$30,000 - $90,000 a year","Must have clean driving record and pass background check.Follow all rules of the road while driving and doing deliveries.Job Types: Full-time, Part-time."
22,Customer Service/Sales,The Home Depot,,"These associates learn about products using our tools, and provide information to customers in order to sell an entire project."
23,Customer Assistance Representative,American Airlines,,Applicable valid driver’s license as required by local authorities.Processing and completing credit card baggage transactions at kiosks.
24,Customer Service Agent Part Time,American Airlines,,"Applicable valid driver’s license as required by local authorities.The Customer Service Agent interacts with customers in a courteous, efficient, friendly and…"
25,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
