,title,company,salary,summary
0,Historic Preservation Assistant,South Dakota State Government,$17 - $18 an hour,"Individual will be able to perform a combination of professional and high-level duties requiring independent judgement, analysis, and ability to make their own…"
1,Warehouse Package Handler,FedEx Ground PH US,Up to $14.25 an hour,Shift start at 4:30/ 5 Am- end at 7:30 depending on the volume and weather.FedEx Ground is hiring part-time and full-time individuals to load and unload…
2,Press Assistant (Information Officer),South Dakota State Government,$20.98 - $22.03 an hour,"The successful candidate will assist in the developing of informational materials, provide accurate and understandable communications about department services…"
3,Accountant - Entry Level,South Dakota State Government,"$42,000 - $55,000 a year","These teams are responsible for preparing the state’s annual financial statements, serving as the finance office for all state bureaus, managing the operations…"
4,Secretary - Law Enforcement,South Dakota State Government,$12.39 - $14.85 an hour,"Office equipment, supplies, and cell phones – uses and coordinates the maintenance of office equipment and orders cell phones and supplies for staff;"
5,SEASONAL RECREATION POSITIONS,City of Pierre,From $9.84 an hour,Head instructors and co-instructors needed for listed activities.Teach children skills in various areas of interest.
6,Accountant,South Dakota State Government,$20.10 - $28.31 an hour,"These positions are part of the accounting/auditing career family and will work with the state’s accounting system, payroll system, and financial reporting…"
7,Accounting Assistant,South Dakota State Government,$15.71 - $18.23 an hour,"The Accounting Assistant's primary responsibilities are to audit and code all direct, travel, and non-cash vouchers, review grant year coding, enter items into…"
8,Data Encoder (Temporary),South Dakota State Government,$15 an hour,Support the administrative and data-entry needs into the laboratory information management system.This position can be full-time or part-time for the DOH.
9,Under 18 Opportunities,Menards,,We know your schedule is busy and we offer flexible schedules that fit with yours!Extra 3.00 per hour on Saturdays & Sundays.
10,Social Services Program Specialist I,South Dakota State Government,$21.18 an hour,"A Bachelor’s degree in social work, psychology, sociology, business administration, public administration, or other human service related field is preferred."
11,Paid Media Specialist (PPC) -Remote,Pearson,"$50,000 - $53,000 a year","The Paid Search Specialist is responsible for performing analysis of market opportunities, marketing, and analysis/optimization of the organization's services…"
12,Data Entry Specialist,Pergroup,,Seeking highly motivated individuals with some healthcare industry knowledge for claims and form data entry.
13,SEASONAL - RAWLINS LIBRARY,City of Pierre,$12.29 an hour,Rawlins Municipal Library has a seasonal position that will provide reference and circulation assistance and bibliographic instruction to include electronic…
14,Human Services Program Specialist I,South Dakota State Government,$21.18 an hour,"Bachelor's degree in social work, psychology, business/public administration, public health, or other human service related field is preferred."
15,Historic Preservation Assistant,South Dakota State Government,$17 - $18 an hour,"Individual will be able to perform a combination of professional and high-level duties requiring independent judgement, analysis, and ability to make their own…"
16,Warehouse Package Handler,FedEx Ground PH US,Up to $14.25 an hour,Shift start at 4:30/ 5 Am- end at 7:30 depending on the volume and weather.FedEx Ground is hiring part-time and full-time individuals to load and unload…
17,Accountant - Entry Level,South Dakota State Government,"$42,000 - $55,000 a year","These teams are responsible for preparing the state’s annual financial statements, serving as the finance office for all state bureaus, managing the operations…"
18,Press Assistant (Information Officer),South Dakota State Government,$20.98 - $22.03 an hour,"The successful candidate will assist in the developing of informational materials, provide accurate and understandable communications about department services…"
19,Secretary - Law Enforcement,South Dakota State Government,$12.39 - $14.85 an hour,"Office equipment, supplies, and cell phones – uses and coordinates the maintenance of office equipment and orders cell phones and supplies for staff;"
20,Accountant,South Dakota State Government,$20.10 - $28.31 an hour,"These positions are part of the accounting/auditing career family and will work with the state’s accounting system, payroll system, and financial reporting…"
21,Accounting Assistant,South Dakota State Government,$15.71 - $18.23 an hour,"The Accounting Assistant's primary responsibilities are to audit and code all direct, travel, and non-cash vouchers, review grant year coding, enter items into…"
22,SEASONAL RECREATION POSITIONS,City of Pierre,From $9.84 an hour,Head instructors and co-instructors needed for listed activities.Teach children skills in various areas of interest.
23,Human Services Program Specialist I,South Dakota State Government,$21.18 an hour,"Bachelor's degree in social work, psychology, business/public administration, public health, or other human service related field is preferred."
24,Social Services Program Specialist I,South Dakota State Government,$21.18 an hour,"A Bachelor’s degree in social work, psychology, sociology, business administration, public administration, or other human service related field is preferred."
25,Paid Media Specialist (PPC) -Remote,Pearson,"$50,000 - $53,000 a year","The Paid Search Specialist is responsible for performing analysis of market opportunities, marketing, and analysis/optimization of the organization's services…"
26,Laboratory Director,Acestack LLC,"$85,000 a year","This includes developing data, analysis, setting thresholds, and developing action plans which resolve discrepancies."
27,Under 18 Opportunities,Menards,,We know your schedule is busy and we offer flexible schedules that fit with yours!Extra 3.00 per hour on Saturdays & Sundays.
28,Secretary,South Dakota State Government,$14.64 - $18.29 an hour,This position involves secretarial/clerical and data entry tasks involving the use of judgement and discretion.This position can be part-time or full-time.
29,Child Care Subsidy Case Worker,South Dakota State Government,$16.89 an hour,The caseworker also provides ongoing case management during the eligibility period and re-evaluates eligibility as needed for clients receiving child care…
30,Historic Preservation Assistant,South Dakota State Government,$17 - $18 an hour,"Individual will be able to perform a combination of professional and high-level duties requiring independent judgement, analysis, and ability to make their own…"
31,Warehouse Package Handler,FedEx Ground PH US,Up to $14.25 an hour,Shift start at 4:30/ 5 Am- end at 7:30 depending on the volume and weather.FedEx Ground is hiring part-time and full-time individuals to load and unload…
32,Press Assistant (Information Officer),South Dakota State Government,$20.98 - $22.03 an hour,"The successful candidate will assist in the developing of informational materials, provide accurate and understandable communications about department services…"
33,Accountant - Entry Level,South Dakota State Government,"$42,000 - $55,000 a year","These teams are responsible for preparing the state’s annual financial statements, serving as the finance office for all state bureaus, managing the operations…"
34,Accountant,South Dakota State Government,$20.10 - $28.31 an hour,"These positions are part of the accounting/auditing career family and will work with the state’s accounting system, payroll system, and financial reporting…"
35,SEASONAL RECREATION POSITIONS,City of Pierre,From $9.84 an hour,Head instructors and co-instructors needed for listed activities.Teach children skills in various areas of interest.
36,Paid Media Specialist (PPC) -Remote,Pearson,"$50,000 - $53,000 a year","The Paid Search Specialist is responsible for performing analysis of market opportunities, marketing, and analysis/optimization of the organization's services…"
37,Secretary - Law Enforcement,South Dakota State Government,$12.39 - $14.85 an hour,"Office equipment, supplies, and cell phones – uses and coordinates the maintenance of office equipment and orders cell phones and supplies for staff;"
38,Under 18 Opportunities,Menards,,We know your schedule is busy and we offer flexible schedules that fit with yours!Extra 3.00 per hour on Saturdays & Sundays.
39,Accounting Assistant,South Dakota State Government,$15.71 - $18.23 an hour,"The Accounting Assistant's primary responsibilities are to audit and code all direct, travel, and non-cash vouchers, review grant year coding, enter items into…"
40,Data Encoder (Temporary),South Dakota State Government,$15 an hour,Support the administrative and data-entry needs into the laboratory information management system.This position can be full-time or part-time for the DOH.
41,Laboratory Director,Acestack LLC,"$85,000 a year","This includes developing data, analysis, setting thresholds, and developing action plans which resolve discrepancies."
42,SEASONAL - RAWLINS LIBRARY,City of Pierre,$12.29 an hour,Rawlins Municipal Library has a seasonal position that will provide reference and circulation assistance and bibliographic instruction to include electronic…
43,Social Services Program Specialist I,South Dakota State Government,$21.18 an hour,"A Bachelor’s degree in social work, psychology, sociology, business administration, public administration, or other human service related field is preferred."
44,Human Services Program Specialist I,South Dakota State Government,$21.18 an hour,"Bachelor's degree in social work, psychology, business/public administration, public health, or other human service related field is preferred."
45,Historic Preservation Assistant,South Dakota State Government,$17 - $18 an hour,"Individual will be able to perform a combination of professional and high-level duties requiring independent judgement, analysis, and ability to make their own…"
