,title,company,salary,summary
0,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
1,Data Entry Operator,Department of Revenue,$15.21 - $19.35 an hour,"This position will operate data entry computer equipment, entering alpha/numeric information from source documents in an entry, verify or file mode."
2,Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
3,IT Support Associate II,Amazon.com Services LLC,,"Together, we take ownership for what we do — whether supporting IT infrastructure, developing new technology in-house, launching a new Amazon Operations…"
4,Dog Daycare Attendant with Dog/Cat Bathing experience,Suite Dog Daze,$12 - $15 an hour,We always wear masks and practice social distancing when working with clients.\* Professional and courteous interaction with customers.
5,,"Loomis Armored US, LLC",$17.90 - $18.90 an hour,"Approximately 90-95 percent of work performed in vehicle within individual compartments (front and rear).Servicing ATM machines on a set schedule, including re…"
6,Dispatcher Thursday - Monday Shift,Honey Bucket,$18 an hour,"Ability to maintain and enforce safety standards as established and required by federal, state, and company policy.A Day in the Life:"
7,Production Worker/General Laborers *** $14.50 an hour to sta...,Cabinetworks Group,$14.50 an hour,"Come and play a part in building cabinets, working with team members using tools and equipment (drills, nail guns, etc.), and learning more knowledge about the…"
8,Police Evidence & Property Technician,"City of Salem, Oregon",$23.53 - $28.66 an hour,Must have an Oregon Class C driver's license and have a driving record that meets the City of Salem's driving standards.
9,Kennel Assistant,VCA Animal Hospitals,,"We offer competitive compensation and great benefits for eligible employees, including medical/dental, generous personal pet care discounts and more!"
10,AE - Brand Ambassador (Sales Associate) - US,American Eagle Outfitters,,Making your guests' day is your priority and you’re able to proactively resolve guest concerns while sticking to company policy.
11,Dog Services Director,"Marion County, OR","$6,063 - $8,128 a month","This recruitment has been reopened for additional applicants and will remain open until filled. If you have already applied for recruitment #159-2021-1, you…"
12,Registrar - Emergency Department/FBC,Salem Health Hospitals & Clinics,,"You will apply your customer service mindset and strong data entry skills, to courteously register and admit patients for treatment in our Emergency Department…"
13,PEME,Department of State Lands,"$6,132 - $9,485 a month",Provides directions and coordinates operations with Eastern Oregon section to provide consistent support and implementation on various aspects of state-owned…
14,Office Specialist,Department of Justice,"$2,638 - $3,508 a month","One year of general clerical experience which included typing, word processing, or other generation of documents;Ability to accurately keyboard at 40+ wpm."
15,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
16,Production Worker/General Laborers *** $14.50 an hour to sta...,Cabinetworks Group,$14.50 an hour,"Come and play a part in building cabinets, working with team members using tools and equipment (drills, nail guns, etc.), and learning more knowledge about the…"
17,,Honey Bucket,$18 an hour,"Ability to maintain and enforce safety standards as established and required by federal, state, and company policy.A Day in the Life:"
18,Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
19,Armored Service Technician,"Loomis Armored US, LLC",$17.90 - $18.90 an hour,"Approximately 90-95 percent of work performed in vehicle within individual compartments (front and rear).Servicing ATM machines on a set schedule, including re…"
20,Data Entry Operator,Department of Revenue,$15.21 - $19.35 an hour,"This position will operate data entry computer equipment, entering alpha/numeric information from source documents in an entry, verify or file mode."
21,Warehouser/Material Handler - PT,Frito-Lay North America,$18.69 an hour,Safely operate a forklift after we provide you training and you obtain certification.Load trailers via carts or stack cases on the floor of a truck trailer.
22,Asphalt Paving Crew Member,North Santiam Paving Co.,$18 - $43 an hour,Ability to do manual labor and assist in all aspects of asphalt paving.Must be able to meet all safety requirements.Experience paving is a plus.
23,Dog Services Director,"Marion County, OR","$6,063 - $8,128 a month","This recruitment has been reopened for additional applicants and will remain open until filled. If you have already applied for recruitment #159-2021-1, you…"
24,Kennel Assistant,VCA Animal Hospitals,,"We offer competitive compensation and great benefits for eligible employees, including medical/dental, generous personal pet care discounts and more!"
25,IT Support Associate II,Amazon.com Services LLC,,"Together, we take ownership for what we do — whether supporting IT infrastructure, developing new technology in-house, launching a new Amazon Operations…"
26,Claims Adjuster Trainee,Progressive,"$47,500 a year","Bachelor's degree or a combined total of five years of work experience and/or college education.Diverse, inclusive & welcoming culture with Employee Resource…"
