,title,company,salary,summary
0,Seasonal Hourly Warehouse Operations,TARGET,$18.14 an hour,"As a Warehouse Worker, you’ll work quickly, safely and efficiently to handle product within the warehouse to ensure the accurate processing of merchandise to…"
1,Cashier-3,Michaels,,Participate in the truck un-load and stocking processes to ensure truck standards are followed and completed within budget.Execute cash handling to standards.
2,,Midway Wholesale,From $15 an hour,"Must have and maintain a valid driver""s license with a clear driving record.Inspects forklifts daily to ensure that mechanical, safety, and emergency equipment…"
3,3rd Shift Picker Loader,Frito-Lay North America,$18.35 an hour,Safely operate a forklift after we provide you training and you obtain certification.Load trailers via carts or stack cases on the floor of a truck trailer.
4,Warehouse Package Handler,FedEx Ground PH US,Up to $15 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
5,ASSISTANT RURAL CARRIER (ARC),United States Postal Service,$19.06 an hour,"DRIVING REQUIRED: Applicants should have a valid state driver’s license, a safe driving record and at least two years of.May case, deliver, and collect mail."
6,CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
7,3-1 Shift Part Time Picker,Frito-Lay North America,$18.35 an hour,Safely operate a forklift after we provide you training and you obtain certification.Load trailers via carts or stack cases on the floor of a truck trailer.
8,Registered Nurse - COVID Vaccination,Voyage Healthcare,"Up to $3,300 a week","(compact license preferred, the more flexible you are for traveling, the better).Active KS or compact License.Job Types: Full-time, Contract."
9,Newborn Hearing Screener,Demant,,"Works directly with nursing staff, patients, and parents to communicate relevance of hearing screening and early intervention to support positive outcomes;…"
10,Theatre Staff- Topeka Wheatfield 9,B&b Theatres Ks Llc,,"Greeting guests upon arrival and making them feel welcome.Our Frontline team is cross-trained to work behind the concession stand and box office, interacting…"
11,Production Associate,Goodyear,,Additional education and/or certification in manufacturing.Effectively operate tire manufacturing (heavy industrial) equipment and other related industrial…
12,Mail Processor Clerk,Aegis Processing Solutions,$12.50 an hour,"Multiple mail processing shifts and positions available in mail opening and data entry.Mandatory Masks, social distancing, and following all CDC rules and…"
13,Front Desk Receptionist/Assistant,Dulin Family Dentistry,$16 - $23 an hour,"Answering and routing phone calls.Job duties Include: Answering the phone with a smile, scheduling appointments, collecting insurance data, scanning and filing…"
14,Site Coordinator,Boys & Girls Clubs of Topeka,$15 - $17 an hour,"Provide regular clerical and administrative support to the Adams Club Director.Prepares correspondence and reports, maintains schedule and calendar, answers…"
15,Speech Pathologist,Brookside Retirement Community,$50 - $60 an hour,"Brookside Retirement is accepting applications for a Part Time/PRN Licensed Speech Pathologist to conduct speech evaluations, assessments and treatments with…"
16,Field Services Technician ll,Mercury Management LLC,$16.50 - $17.50 an hour,Clean driving record and valid driver’s license.Responsible for tools and filling out tool bag inspection forms.Troubleshoot and resolve network outages.
17,General Manager,Blind Tiger Brewery & Restaurant,"$50,000 - $70,000 a year","\* Providing our guests with superior customer service.Identify and foster talent in your team, develop high performers for promotions."
18,Packleader - Doggie Daycare,Woof's Play & Stay,,Is on time for scheduled shifts and in the case of an emergency calls in advance of their shift to allow time for proper coverage.
19,Warehouse Package Handler,FedEx Ground PH US,Up to $15 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
20,Theatre Staff- Topeka Wheatfield 9,B&b Theatres Ks Llc,,"Greeting guests upon arrival and making them feel welcome.Our Frontline team is cross-trained to work behind the concession stand and box office, interacting…"
21,Cashier-3,Michaels,,Participate in the truck un-load and stocking processes to ensure truck standards are followed and completed within budget.Execute cash handling to standards.
22,3rd Shift Picker Loader,Frito-Lay North America,$18.35 an hour,Safely operate a forklift after we provide you training and you obtain certification.Load trailers via carts or stack cases on the floor of a truck trailer.
23,Front Desk Receptionist/Assistant,Dulin Family Dentistry,$16 - $23 an hour,"Answering and routing phone calls.Job duties Include: Answering the phone with a smile, scheduling appointments, collecting insurance data, scanning and filing…"
24,Production Associate,Goodyear,,Additional education and/or certification in manufacturing.Effectively operate tire manufacturing (heavy industrial) equipment and other related industrial…
25,CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
26,Personnel Records Coordinator,Topeka Public Schools District,$18.84 - $28.64 an hour,Develop and maintain electronic personnel records and reports for the Topeka Public Schools and the human resources oﬃce to provide data management and analysis…
27,ASSISTANT RURAL CARRIER (ARC),United States Postal Service,$19.06 an hour,"DRIVING REQUIRED: Applicants should have a valid state driver’s license, a safe driving record and at least two years of.May case, deliver, and collect mail."
28,Full-Time Store Associate,ALDI,$13.10 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
29,Legal Assistant/Paralegal,Hospital Assistance Program,"$40,000 - $50,000 a year",Hospital Assistance Program has an opening for a full-time Legal Assistant/Paralegal with experience in the legal field.$1500 Sign on Bonus after 90 days.
30,Construction Equipment Technician,The G. W. Van Keppel Company,$15 - $39 an hour,Class B CDL license (Preferred).Incumbent must possess his/her own tools and pass a pre-employment DOT physical and drug screening.High School Diploma or GED.
31,,Club Car Wash,$12 - $14 an hour,"Physically able to clean vehicles quickly and efficiently in a fast paced, outdoor, and all-weather environment.Must be at least 16 years of age to apply."
32,Hourly Warehouse Operations,TARGET,From $16.08 an hour,"A role within Warehouse Operations means you’ll work quickly, safely and efficiently to handle product within the warehouse to ensure the accurate processing of…"
33,Packleader - Doggie Daycare,Woof's Play & Stay,,Is on time for scheduled shifts and in the case of an emergency calls in advance of their shift to allow time for proper coverage.
34,Warehouse Package Handler,FedEx Ground PH US,Up to $15 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
35,Wash Attendant - FT,Club Car Wash,$12 - $14 an hour,"Physically able to clean vehicles quickly and efficiently in a fast paced, outdoor, and all-weather environment.Must be at least 16 years of age to apply."
36,3rd Shift Picker Loader,Frito-Lay North America,$18.35 an hour,Safely operate a forklift after we provide you training and you obtain certification.Load trailers via carts or stack cases on the floor of a truck trailer.
37,Cashier-3,Michaels,,Participate in the truck un-load and stocking processes to ensure truck standards are followed and completed within budget.Execute cash handling to standards.
