,title,company,salary,summary
0,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
1,Part Time Ice Cream Scooper NEW STORE!!,Chocolate Shoppe Ice Cream,$8 - $10 an hour,This is a part time position with flexible scheduling.$8.00-$10.00/ hr plus tips and free ice cream.*.
2,Intern *,Morgan Stanley,,"Gain industry and organizational knowledge through daily business interactions and job assignments.Develop business, financial and analytical skills needed for…"
3,Library Page,"City of Madison, WI",$15 an hour,"Perform circulation-related duties (e.g. check out and check in library materials, collect fines, issue and reissue library cards, process holds, retrieve…"
4,Amazon Warehouse Worker - 4 Day Work Week,Amazon Workforce Staffing,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
5,Education Program Specialist,US Department of Veterans Affairs,"$53,433 - $69,462 a year",This experience must have been of such character and diversity to demonstrate that the applicant possesses an understanding of the field comparable to that…
6,Police Officer,Madison Police Department,"$56,462 - $80,750 a year","As a veteran police officer you would attend our accelerated Academy, (taught in-house by MPD Training Staff, non-residential, Monday-Friday, 8a-4p, with full…"
7,Claims Adjuster Trainee,Progressive,,"Bachelor's degree or a combined total of five years of work experience and/or college education.Diverse, inclusive & welcoming culture with Employee Resource…"
8,Community Center/Recreation Coordinator,The City of Fitchburg,$19.75 - $22.57 an hour,"This position as our Community Center/Recreation Coordinator will coordinate the use of the community center facilities and park shelters, provide assistance…"
9,Membership Experience and Programs Coordinator,BioForward Wisconsin,$24 - $29 an hour,"Must have a valid Wisconsin driver’s license.Write informational postings and articles for social media, web site, newsletters."
10,Bookseller,"Half Price Books, Records, Magazines, Inc.",,"Every day, Booksellers get to work on a variety of tasks, including delivering quality customer service, sharing their knowledge about books, movies, and music…"
11,Amazon Picker Packer,Amazon Workforce Staffing,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
12,Receptionist/Administrative Assistant,Buit Mobility Solutions,$12 - $16 an hour,Computer skills are needed as you will also do ordering and order entry.Maintaining supplies for front office.Matching packing lists with invoices.
13,Warehouse Package Handler,FedEx Ground PH US,Up to $16 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
