,title,company,salary,summary
0,Amazon Warehouse Assistant (Multiple Shifts Available) - Ear...,Amazon,From $15 an hour,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
1,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
2,Order Picker/Packer (Immediate Openings!) - Earn $15/hr or m...,Amazon,From $15 an hour,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
3,Shopper Team Member (Multiple Shifts Available) - Earn $15.0...,Amazon,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
4,Amazon Order Filler (Multiple Shifts Available) - Earn $15.0...,Amazon,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
5,,Maximus,$16 - $17 an hour,Agents will answer incoming calls from the public related to COVID-19 vaccination scheduling.Strong data entry and telephone skills.
6,Drivers Wanted (No Special License Required) Lots of Work &...,All My Sons Moving & Storage,$18 - $20 an hour ++,"Full, Part Time, Weekends only, or make your own schedule!$18 to $20 per hour (Based on Experience).Sign-on Bonus of $250 pending completion of Driver…"
7,Customer Service Representative,TransConnect Services,From $15.50 an hour,"We are open to entry level candidates for this role, as long as they are confident providing customer service over the phone and have a high school diploma,…"
8,Warehouse Handler (Multiple Shifts Available) - Earn $15.00/...,Amazon,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
9,United States Secret Service Criminal Investigator (Special...,United States Secret Service,"$49,016 - $139,916 a year","Show us you have the talent and background we need, and we will show you the rewards of joining the U.S. Secret Service as a Criminal Investigator (Special…"
10,Server,Houston's Restaurant,$20 - $50 an hour,"Previous experience not required; In depth training provided from the outset.Competitive compensation, $100-$250/shift.Some weekend availability is required."
11,Social Media Specialist,Memphis Teacher Residency,"$34,234 - $93,438 a year","Passion for social media and proficiency with major social media platforms and management tools.Proficiency with video and photo editing tools, digital media…"
12,Leasing Consultant,The Estates at River Pointe,$15.50 - $17.50 an hour,Make follow-up calls and e-mail responses as necessary.Answer telephone and Internet inquires providing information in response to rental inquiries.
13,Morning and Day Seasonal Warehouse Team Member,Amazon HVH,,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
14,Aerie - Brand Ambassador (Sales Associate) - US,American Eagle Outfitters,,Making your guests' day is your priority and you're able to proactively resolve guest concerns while sticking to company policy.
15,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
16,,FedEx Ground PH US,$16.00 - $19.50 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
17,Order Picker/Packer (Immediate Openings!) - Earn $15/hr or m...,Amazon,From $15 an hour,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
18,Amazon Warehouse Assistant (Multiple Shifts Available) - Ear...,Amazon,From $15 an hour,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
19,Server,Houston's Restaurant,$20 - $50 an hour,"Previous experience not required; In depth training provided from the outset.Competitive compensation, $100-$250/shift.Some weekend availability is required."
20,COVID-19 Vaccination Call Center Rep - Remote / Work from Ho...,Maximus,$16 - $17 an hour,Agents will answer incoming calls from the public related to COVID-19 vaccination scheduling.Strong data entry and telephone skills.
21,United States Secret Service Criminal Investigator (Special...,United States Secret Service,"$49,016 - $139,916 a year","Show us you have the talent and background we need, and we will show you the rewards of joining the U.S. Secret Service as a Criminal Investigator (Special…"
22,Furniture Mover with Bellhop,Bellhop,From $26 an hour,"Make Great Money- Make $26+ per hour as a Driver/Mover OR up to $21 per hour as a General Mover, including tips and bonuses."
23,Social Media Specialist,Memphis Teacher Residency,"$34,234 - $93,438 a year","Passion for social media and proficiency with major social media platforms and management tools.Proficiency with video and photo editing tools, digital media…"
24,Leasing Consultant,The Estates at River Pointe,$15.50 - $17.50 an hour,Make follow-up calls and e-mail responses as necessary.Answer telephone and Internet inquires providing information in response to rental inquiries.
25,Customer Service Representative,TransConnect Services,From $15.50 an hour,"We are open to entry level candidates for this role, as long as they are confident providing customer service over the phone and have a high school diploma,…"
26,K-5 PE Teacher (Immediate Hire),"Memphis Scholars, LLC","$45,100 - $66,300 a year",Must have active in-state teacher certification posted on TN Compass Public Site; K-12 Physical Education preferred.
27,Project Management Office Administrator (PMOA),"Allworld Project Management, LLC","$80,000 - $100,000 a year","Preferred: Project management certification e.g. PMP, CAPM, PRINCE 2.Experience with data management planning, data entry, and reporting."
28,"Kroger Retail Clerk- Memphis, TN",Polaris for Kroger (Kroger Recruiter Used Hosted Account),$12.20 - $14.40 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Assist customers at checkout and bag groceries."
29,Shopper Team Member (Multiple Shifts Available) - Earn $15.0...,Amazon,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
30,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
31,,Maximus,$16 - $17 an hour,Agents will answer incoming calls from the public related to COVID-19 vaccination scheduling.Strong data entry and telephone skills.
32,Order Picker/Packer (Immediate Openings!) - Earn $15/hr or m...,Amazon,From $15 an hour,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
33,Transportation Security Officer (TSO),Transportation Security Administration,"$34,446 - $49,208 a year","Per the President's 2014 Fair Employment memo, TSA policy is to not adversely consider a candidate based on unemployment or financial difficulty through no…"
34,Amazon Warehouse Assistant (Multiple Shifts Available) - Ear...,Amazon,From $15 an hour,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
35,Server,Houston's Restaurant,$20 - $50 an hour,"Previous experience not required; In depth training provided from the outset.Competitive compensation, $100-$250/shift.Some weekend availability is required."
36,Customer Service Representative,TransConnect Services,From $15.50 an hour,"We are open to entry level candidates for this role, as long as they are confident providing customer service over the phone and have a high school diploma,…"
37,Drivers Wanted (No Special License Required) Lots of Work &...,All My Sons Moving & Storage,$18 - $20 an hour ++,"Full, Part Time, Weekends only, or make your own schedule!$18 to $20 per hour (Based on Experience).Sign-on Bonus of $250 pending completion of Driver…"
38,United States Secret Service Criminal Investigator (Special...,United States Secret Service,"$49,016 - $139,916 a year","Show us you have the talent and background we need, and we will show you the rewards of joining the U.S. Secret Service as a Criminal Investigator (Special…"
39,Shopper Team Member (Multiple Shifts Available) - Earn $15.0...,Amazon,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
40,Leasing Consultant,The Estates at River Pointe,$15.50 - $17.50 an hour,Make follow-up calls and e-mail responses as necessary.Answer telephone and Internet inquires providing information in response to rental inquiries.
41,Furniture Mover with Bellhop,Bellhop,From $26 an hour,"Make Great Money- Make $26+ per hour as a Driver/Mover OR up to $21 per hour as a General Mover, including tips and bonuses."
42,Medical Office Assistant,Elite Medical,$12 - $20 an hour,\*APPLICANTS MUST COMPLETE SCREENING ASSESSMENTS ON INDEED FOR CONSIDERATION \*.Candidate must possess knowledge of:High school or equivalent (Preferred).
43,Aerie - Brand Ambassador (Sales Associate) - US,American Eagle Outfitters,,Making your guests' day is your priority and you're able to proactively resolve guest concerns while sticking to company policy.
44,Administrative Officer,US Department of Veterans Affairs,"$53,433 - $69,462 a year","The incumbent's primary duty is to manage, plan, develop, and direct the total and complex administrative duties of the Service."
45,,Maximus,$16 - $17 an hour,Agents will answer incoming calls from the public related to COVID-19 vaccination scheduling.Strong data entry and telephone skills.
46,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
47,Amazon Warehouse Assistant (Multiple Shifts Available) - Ear...,Amazon,From $15 an hour,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
48,Drivers Wanted (No Special License Required) Lots of Work &...,All My Sons Moving & Storage,$18 - $20 an hour ++,"Full, Part Time, Weekends only, or make your own schedule!$18 to $20 per hour (Based on Experience).Sign-on Bonus of $250 pending completion of Driver…"
