,title,company,salary,summary
0,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
1,Chief Estimator,Builcore Inc,$20 - $49 an hour,Knowledge of On-Screen Take-Off and QuickBid softwares is a plus.
2,Tax Supervisor,Confidential,"$60,000 - $95,000 a year","Must have CPA license or working to attain it.Preparation of complex individual, corporate, and partnership income tax returns."
3,butchers,NITAL TRADING,,USDA PLANT LOCATED IN MIAMI FLORIDA LOOKING TO HIRE.REQUIREMENTS *[listed in order of importance].LOOKING FOR EXPERIENCE MEAT CUTTERS.
4,Kitchen Shift Leader / Jefe de partida,Peacock Garden Resto Bar & Grill,$17 - $18 an hour,Knowledge of all kitchen stations with a readily mentality to fill in for and/or assist cooks to ensure that the kitchen operates smoothly.
5,,Maximus,$15 - $17 an hour,Agents will answer incoming calls from the public related to COVID-19 vaccination scheduling.Strong data entry and telephone skills.
6,Customer Care Agent,Baptist Health South Florida,,"Operates telephone switchboard to relay incoming, outgoing, and interoffice calls.Ability to work from home requirements, must have a home office environment…"
7,Delivery Driver for Amazon Flex,Amazon Flex,$15 - $30 an hour,"Smiles for miles and miles, backed by Amazon.*."
8,Warehouse/Shopper Team Member,Amazon HVH,,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
9,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
10,Mission Support Specialist,US Department of Homeland Security,"$46,083 - $59,907 a year","Coordinating office moves and telephone service requirements, monitoring usage of government/company owned motor vehicles."
11,Part-Time Stocker,ALDI,$13.50 an hour,"When you join our team as a Stocker, you’ll be responsible for stocking, organizing new incoming inventory and safely operating machinery."
12,Delivery Associate,Amazon DSP,$15.00 - $15.01 an hour,Must be comfortable driving and working in varying weather conditions.Able to get in and out of van and walk up and down stairs through your shift.
13,Technical Specialist,Apple,,"Flexibility to regularly rotate through different technical specialties and skill sets.As a Technical Specialist, you help new owners get started and current…"
14,Beverage Cart Attendant - OC,Trump International Hotels,,"Ability to effectively present information in one-on-one and small group situations to guests, clients, and other employees of the organization."
15,Crew,Trader Joe's,$14 - $17 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
16,Amazon Delivery Associate,Amazon DSP,$15 - $18 an hour,Must be comfortable driving and working in varying weather conditions.Able to get in and out of van and walk up and down stairs through your shift.
17,Furniture Mover with Bellhop,Bellhop,From $26 an hour,"Make Great Money- Make $26+ per hour as a Driver/Mover OR up to $21 per hour as a General Mover, including tips and bonuses."
18,Transmission Technician,BC Auto Repair,$25 - $30 an hour,"Complete service and repair assignments efficiently, safely and correctly, ensuring quality inspections meet our quality standards regarding all transmission…"
19,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
20,Delivery Driver for Amazon Flex,Amazon Flex,$15 - $30 an hour,"Smiles for miles and miles, backed by Amazon.*."
21,Administrator or Dean Positions,Sports Leadership and Management Charter School,"$55,000 - $100,000 a year","SLAM provides students with unique access to career mentors, athletes as role models, and executive internships through educational partnerships with local and…"
22,Warehouse/Shopper Team Member,Amazon HVH,,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
23,Tutor in Miami – All Subjects Available,Grade Potential Tutoring,$18 - $30 an hour,Miami families are in immediate need of part-time tutors for all subjects and grade levels.
24,Furniture Mover with Bellhop,Bellhop,From $26 an hour,"Make Great Money- Make $26+ per hour as a Driver/Mover OR up to $21 per hour as a General Mover, including tips and bonuses."
25,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
26,"Sales, Cashier and Stockroom Associates",ZARA,,The sales associate is responsible for greeting and assisting the customers as well as maintaining the appearance of the store and the merchandise.
27,Mission Support Specialist,US Department of Homeland Security,"$46,083 - $59,907 a year","Coordinating office moves and telephone service requirements, monitoring usage of government/company owned motor vehicles."
28,Restaurant Server,Hillstone - Coral Gables,$150 - $500 a day,"Previous experience not required; In depth training provided from the outset.Competitive compensation, averaging between $200-$500 in tips per shift."
29,Teachers - All Subject Areas (1 Year Experience Required),Sports Leadership and Management Charter School,"$42,000 - $80,000 a year","SLAM provides students with unique access to career mentors, athletes as role models, and executive internships through educational partnerships with local and…"
30,Full-Time Store Associate,Aldi,$13.50 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
31,,Safelite Fulfillment Inc,$17 an hour,This includes obeying all traffic laws and regulations and maintaining a valid driver's license with a driving record that falls within the Company requirements…
32,Lot Associate,The Home Depot,,Lot Associates assist customers with the loading of their vehicles and also monitor and maintain the entrance of the store.
33,Order Selector | 2nd Shift | Monday-Friday| $16/hour,Bunzl,$16 an hour,"The Warehouse Order Selector will perform a variety of functions that may include receiving and processing incoming stock, picking and filling orders from stock…"
34,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
35,Delivery Driver for Amazon Flex,Amazon Flex,$15 - $30 an hour,"Smiles for miles and miles, backed by Amazon.*."
36,Furniture Mover with Bellhop,Bellhop,From $26 an hour,"Make Great Money- Make $26+ per hour as a Driver/Mover OR up to $21 per hour as a General Mover, including tips and bonuses."
37,Warehouse/Shopper Team Member,Amazon HVH,,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
38,Restaurant Server,Hillstone - Coral Gables,$150 - $500 a day,"Previous experience not required; In depth training provided from the outset.Competitive compensation, averaging between $200-$500 in tips per shift."
39,Assistant Director of Front Office,Eden Roc Miami Beach & Nobu Hotel Miami Beach,"$60,000 - $65,000 a year",The Assistant Director of Front Office must demonstrate a commitment to hotel customer service by soliciting and responding promptly to hotel guest needs.
40,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
41,Order Selector | 2nd Shift | Monday-Friday| $16/hour,Bunzl,$16 an hour,"The Warehouse Order Selector will perform a variety of functions that may include receiving and processing incoming stock, picking and filling orders from stock…"
42,"Sales, Cashier and Stockroom Associates",ZARA,,The sales associate is responsible for greeting and assisting the customers as well as maintaining the appearance of the store and the merchandise.
43,Administrator or Dean Positions,Sports Leadership and Management Charter School,"$55,000 - $100,000 a year","SLAM provides students with unique access to career mentors, athletes as role models, and executive internships through educational partnerships with local and…"
44,,U.S. Customs and Border Protection,,"Search Terms: *airport customs, armed security, army, bike patrol, border patrol, border security, coast guard, customs and immigration, customs officer, dhs,…"
45,Mission Support Specialist,US Department of Homeland Security,"$46,083 - $59,907 a year","Coordinating office moves and telephone service requirements, monitoring usage of government/company owned motor vehicles."
46,Teachers - All Subject Areas (1 Year Experience Required),Sports Leadership and Management Charter School,"$42,000 - $80,000 a year","SLAM provides students with unique access to career mentors, athletes as role models, and executive internships through educational partnerships with local and…"
47,Auto Glass Technician Trainee - $17/hr,Safelite Fulfillment Inc,$17 an hour,This includes obeying all traffic laws and regulations and maintaining a valid driver's license with a driving record that falls within the Company requirements…
48,Front Desk Receptionist / Team Member (Full-Time),Gee Beauty,$18 - $24 an hour,"Process payments and rebook services.2+ years of customer service experience in a retail environment (experience in beauty, skincare or hospitality an asset)…"
49,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
50,Delivery Driver for Amazon Flex,Amazon Flex,$15 - $30 an hour,"Smiles for miles and miles, backed by Amazon.*."
51,Administrator or Dean Positions,Sports Leadership and Management Charter School,"$55,000 - $100,000 a year","SLAM provides students with unique access to career mentors, athletes as role models, and executive internships through educational partnerships with local and…"
52,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
53,Furniture Mover with Bellhop,Bellhop,From $26 an hour,"Make Great Money- Make $26+ per hour as a Driver/Mover OR up to $21 per hour as a General Mover, including tips and bonuses."
