,title,company,salary,summary
0,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
1,,FedEx Ground PH US,Up to $14.50 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
2,Warehouse Associate (South of Milwaukee),Uline,$23 - $30 an hour ++,"Best-in-class, clean, modern facilities.From $23 to $30 per hour.Annual bonuses over $7,000 paid in December 2021.High school diploma or equivalent."
3,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
4,Call Center Sales - Retention,Spectrum,"$45,000 - $50,000 a year","Strong working knowledge of cable communications products and services to include video (TV), data (internet) and voice (telephone)."
5,Bus Operator - May 2021,Milwaukee County Transit System,$22.75 an hour,Must have a valid Class D Wisconsin driver’s license (non-probationary) for at least one (1) year prior to the date of application.
6,Guest Advocate (Cashier or Front of Store Attendant/ Cart At...,TARGET,,Make a connection with guests by engaging in friendly and genuine conversation throughout each transaction; asking open ended questions about the guest’s…
7,Human Resource Generalist/Manager,Roaring Fork Restaurant Group,"$60,000 - $90,000 a year",Support the HR Generalist and field locations with recruiting responsibilities.Ensure organizational compliance with state and federal regulations.
8,Front Desk Receptionist,"Southshore Dental Group, LLC",From $13 an hour,"Answering and routing phone calls.Front desk work plus some paperwork and dealing with insurance companies.Job Types: Full-time, Part-time."
9,Box Office & Ticket Sales Trainee,ROC Ventures,$9 an hour,"Game day responsibilities include: box office operations, answering incoming calls & emails, and/or prospecting clients at the stadium.The Milky Way Drive-In."
10,Legal Assistant,Miller & Miller Law,$14 an hour,"Miller & Miller is a widely respected consumer bankruptcy law firm, in downtown Milwaukee, looking to add an energetic and driven Legal Assistant to assist in…"
11,Full Time Amazon Order Picker/Packer,Amazon Workforce Staffing,$15 - $18 an hour,"Stay active: You’ll be on the move for your whole shift in our fast-paced environments.Overnight, Early Morning, Day, Evening, Weekend."
