,title,company,salary,summary
0,,FedEx Ground PH US,$16 an hour ++,AND The “weekend” sorts will be paid at plus $2 an hour over the other sorts.AND All sorts and Schedules will be paid at plus $1 an hour.
1,Pharmaceutical Sales Representative (Entry Level - Primary C...,Prism Pharmaceutical,"$71,300 - $94,100 a year",Possess a valid driver’s license.Ability to understand and communicate highly scientific and technical medical information.
2,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
3,Front Desk Receptionist,Milan Laser Hair Removal,$15 an hour,Field incoming calls to schedule appointments and answer general questions.Assist Sales Manager in outgoing calls to clients for consultation follow-up and…
4,Corporate Receptionist/HR Assistant,Covenant Physician Partners,,"Performs basic office functions such as phones, mailings, filing, and copying, including processing and receiving company mail."
5,Veterinary Receptionist,Belle Meade Animal Hospital,$13 - $15 an hour,"Answering and routing phone calls.Knowledge/experience preferred, but not required.Job Types: Full-time, Part-time.High school or equivalent (Preferred)."
6,In-Store Worker,Papa John's,$10 - $13 an hour,"Job Types: Full-time, Part-time.Personal protective equipment provided or required.Social distancing guidelines in place."
7,Baby Imaging Specialist,Cranial Technologies,,"Medical office duties to include answering phones, clean patient rooms and room patients.Experience in one of the following; caring for or working with infants…"
8,Seasonal Warehouse Attendant (Immediate Openings) - Earn $15...,Amazon,From $15 an hour,"In this active job you sort packages into delivery routes.Overnight, Early Morning, Day, Evening, Weekend.Benefits: Our range of benefits can include health…"
9,Community Outreach Liaison - Middle TN,Tennessee Housing Development Agency,"From $5,483 a month","Current, valid driver's license from domicile state and the ability to drive during day or night.Develops and maintains good working relationships with local…"
10,Security Guard,PLE Group,$23 an hour,Must have Tennessee unarmed security guard license.Tennessee unarmed security guard license (Required).Additional shifts starting within the next week-Day…
11,Credentialing Coordinator,Radiation Business Solutions,$19 - $23 an hour,Knowledge of related accreditation and certification requirements.Ability to use independent judgment to manage and impart confidential information.
12,COVID-19 Vaccination Call Center Representative - REMOTE (WO...,NAVIENT,$16 an hour,"Answer inbound calls from state consumers on the COVID-19 virus, register consumers for the vaccination and schedule appointments in the state provided system."
13,Part-Time Cashier,Aldi,$13.50 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
14,Surgery Center Administrator,MedHQ,"$100,000 - $155,000 a year","RN with active license in appropriate state.Ensures that the facility meets all related local, state, federal, and accrediting-body rules and regulations."
15,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
16,Pharmaceutical Sales Representative (Entry Level - Primary C...,Prism Pharmaceutical,"$71,300 - $94,100 a year",Possess a valid driver’s license.Ability to understand and communicate highly scientific and technical medical information.
17,Seasonal Warehouse Attendant (Immediate Openings) - Earn $15...,Amazon,From $15 an hour,"In this active job you sort packages into delivery routes.Overnight, Early Morning, Day, Evening, Weekend.Benefits: Our range of benefits can include health…"
18,,Milan Laser Hair Removal,$15 an hour,Field incoming calls to schedule appointments and answer general questions.Assist Sales Manager in outgoing calls to clients for consultation follow-up and…
19,Warehouse Person (Loader) - 1st shift FT/Days,PepsiCo,$18.49 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
20,COVID-19 Vaccination Call Center Representative - REMOTE (WO...,NAVIENT,$16 an hour,"Answer inbound calls from state consumers on the COVID-19 virus, register consumers for the vaccination and schedule appointments in the state provided system."
21,Community Outreach Liaison - Middle TN,Tennessee Housing Development Agency,"From $5,483 a month","Current, valid driver's license from domicile state and the ability to drive during day or night.Develops and maintains good working relationships with local…"
22,Veterinary Receptionist,Belle Meade Animal Hospital,$13 - $15 an hour,"Answering and routing phone calls.Knowledge/experience preferred, but not required.Job Types: Full-time, Part-time.High school or equivalent (Preferred)."
23,Surgery Center Administrator,MedHQ,"$100,000 - $155,000 a year","RN with active license in appropriate state.Ensures that the facility meets all related local, state, federal, and accrediting-body rules and regulations."
24,Jr. Marketing Team - Entry Level,zippline,"$40,000 - $60,000 a year",Engage daily with potential new leads and provide impeccable customer support to each individual.Focus on quality assurance and quality control.
25,Traveling Personal Assistant,Confidential,"$50,000 - $60,000 a year",Must have a valid passport or willing to obtain one.The assistant would be available around the clock while on assignment.Taking care of pets (cats/dogs).
26,Enrollment Specialist- Will Train!,Aflac,"$40,000 - $100,000 a year",You will have the flexibility to manage your own schedule.Aflac will immediately grant you access to a seasoned coordinator for a 3 month mentor-ship.
27,Animal Caretaker,US Department of Veterans Affairs,$18.55 - $21.67 an hour,"Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other…"
28,Credentialing Coordinator,Radiation Business Solutions,$19 - $23 an hour,Knowledge of related accreditation and certification requirements.Ability to use independent judgment to manage and impart confidential information.
29,Optometric Technician,Look East,$15 - $20 an hour,"Occasional tasks include front desk duties such as answering phones, scheduling appointments and checking in patients.Job Types: Full-time, Part-time."
30,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
31,Pharmaceutical Sales Representative (Entry Level - Primary C...,Prism Pharmaceutical,"$71,300 - $94,100 a year",Possess a valid driver’s license.Ability to understand and communicate highly scientific and technical medical information.
32,,Milan Laser Hair Removal,$15 an hour,Field incoming calls to schedule appointments and answer general questions.Assist Sales Manager in outgoing calls to clients for consultation follow-up and…
33,Veterinary Receptionist,Belle Meade Animal Hospital,$13 - $15 an hour,"Answering and routing phone calls.Knowledge/experience preferred, but not required.Job Types: Full-time, Part-time.High school or equivalent (Preferred)."
34,Warehouse Person (Loader) - 1st shift FT/Days,PepsiCo,$18.49 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
35,Seasonal Warehouse Attendant (Immediate Openings) - Earn $15...,Amazon,From $15 an hour,"In this active job you sort packages into delivery routes.Overnight, Early Morning, Day, Evening, Weekend.Benefits: Our range of benefits can include health…"
36,Surgery Center Administrator,MedHQ,"$100,000 - $155,000 a year","RN with active license in appropriate state.Ensures that the facility meets all related local, state, federal, and accrediting-body rules and regulations."
37,Winery Tasting Room Associate,Belle Meade Winery,$11 - $16 an hour,"Experience with wine is not required, but candidates should be comfortable with public speaking and possess excellent customer service skills."
38,Furniture Mover with Bellhop,Bellhop,From $26 an hour,"Make Great Money- Make $26+ per hour as a Driver/Mover OR up to $21 per hour as a General Mover, including tips and bonuses."
39,COVID-19 Vaccination Call Center Representative - REMOTE (WO...,NAVIENT,$16 an hour,"Answer inbound calls from state consumers on the COVID-19 virus, register consumers for the vaccination and schedule appointments in the state provided system."
40,Jr. Marketing Team - Entry Level,zippline,"$40,000 - $60,000 a year",Engage daily with potential new leads and provide impeccable customer support to each individual.Focus on quality assurance and quality control.
41,Baby Imaging Specialist,Cranial Technologies,,"Medical office duties to include answering phones, clean patient rooms and room patients.Experience in one of the following; caring for or working with infants…"
42,Event Sales Manager,Yee-Haw Brewing Company,,Assist in budget analysis for individual events and help with the annual budgeting process.Ensure accurate and prompt payment for all events.
43,"Part Time Cleaners Needed ASAP! Full Time Work Available, To...","Stay Local Nashville, Inc.",$15 - $40 an hour,Do you have a valid Driver's License (Preferred).A good job for someone just entering the workforce or returning to the workforce with limited experience and…
44,Security Guard,PLE Group,$23 an hour,Must have Tennessee unarmed security guard license.Tennessee unarmed security guard license (Required).Additional shifts starting within the next week-Day…
45,,FedEx Ground PH US,$16 an hour ++,AND The “weekend” sorts will be paid at plus $2 an hour over the other sorts.AND All sorts and Schedules will be paid at plus $1 an hour.
46,Pharmaceutical Sales Representative (Entry Level - Primary C...,Prism Pharmaceutical,"$71,300 - $94,100 a year",Possess a valid driver’s license.Ability to understand and communicate highly scientific and technical medical information.
47,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
