,title,company,salary,summary
0,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
1,IT Tech II,Technology Lab,"$55,000 - $70,000 a year","+ 3+ years of experience working in this high-speed, fast paced and ever-changing field.+ Coordinate with Sales Staff and Management, as well as other…"
2,Customer Care Specialist,Pizzuto Hansen & Partners,"$45,000 - $86,400 a year","Daily tasks include inbound/outbound calls, scheduling new appointments, client policy reviews, data entry, and servicing requested benefits."
3,,"Loomis Armored US, LLC",$13 an hour,"Ability to perform simple computer data entry.Separate currency, coin, and/or check deposits received from bank, ATM, and/or commercial customers providing…"
4,Media Producer,The Historic New Orleans Collection,,"This position also requires a proficiency in Microsoft Office and an ability to learn and use museum specific software/databases, knowledge of current…"
5,Restaurant Server,Houston's Restaurant,$100 - $300 a day,"A job for which all ages, including older job seekers, are encouraged to apply.Previous experience not required; In depth training provided from the outset."
6,Kennel Technician/Camp Counselor: Work with Dogs!!!!,CAMP BOW WOW NEW ORLEANS,From $11 an hour,Complete Pet First Aid and Doggy CPR certification within 60 days of hire (we will provide training and pay for certification).
7,Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
8,Dishwasher - LCMC Children's Hospital - Food,Aramark,,"Ensure guest satisfaction by maintaining all dishes, pots, pans, silverware, glasses, equipment, and kitchen utensils are cleaned and sanitized."
9,Assistant to the Director,Confidential,$15 - $20 an hour,"Seeking a well presented, well spoken, well and mild mannered individual who is reliable and dependable, trustworthy, polite, can follow direction and work…"
10,Receptionist/Customer Care,Grover & Mansfield Attorney at Law,From $19 an hour,"A good job for someone just entering the workforce or returning to the workforce with limited experience and education.Job Types: Full-time, Temporary."
11,Front Desk Dental Receptionist,enlightenDENTAL,$15 - $18 an hour,"Answering and routing phone calls.Accuracy, honesty, integrity, someone who is DETAIL ORIENTED and an ability to always see room for improvement within one’s…"
12,Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
13,Multidisciplinary Arts Curator,Contemporary Arts Center,"$55,000 - $85,000 a year","Actively participate in national field networks; grow relationships with partners locally.Committed to social justice, racial equity, and artists engaging with…"
14,Quality Assurance Specialist,US Department of Defense,"$64,649 - $84,049 a year","For Military Spouse Preference (MSP): You must provide a signed Military Spouse PPP Self-certification Checklist, PCS orders/verification of duty location…"
15,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
