,title,company,salary,summary
0,TEMPORARY COVID-19 VACCINATION CALL CENTER REP - REMOTE / WO...,NAVIENT,$16 - $17 an hour,"Answer inbound calls from state consumers on the COVID-19 virus, register consumers for the vaccination and schedule appointments in the state provided system."
1,,Worldwide Flight Services,,"A Passenger Service Agent performs all aspects of airport and passenger service functions including: making reservations, preparation and issuance of tickets…"
2,Package Sorter - Immediate Hire,Amazon Workforce Staffing,$15.75 an hour,"Use smartphone, manage apps, and scan bar codes.Get grocery orders prepared for delivery.Put new grocery inventory away."
3,New Jersey State Troopers,New Jersey State Police,,"The New Jersey State Police will be accepting applications for the position of State Trooper beginning March 28, 2021."
4,"Nike Newark Retail Sales Associate Part-Time (""Athlete"")",Nike,,"Maintain knowledge of various store departments and be available to operate cash register for regular transactions, perform shipping and receiving duties, stock…"
5,Local Hire (Customer Representative - Non-Medical Vaccine Su...,US Department of Homeland Security,$18.58 an hour,"Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other…"
6,Flight Attendant EWR,GoJet Airlines LLC.,$18 per flight hour,"Must possess a valid driver's license or state ID;The company pays for parking in domicile and all hotel accommodations while on a company scheduled trip, as…"
7,Customer Service Associate,Human Agency,"$36,776 - $73,274 a year","Manage large amounts of incoming calls.Best-in-class training and support from management.Handle complaints, provide solutions and follow up to ensure…"
8,Customer Service Intern,Arkk Agency,"$42,000 - $73,000 a year","Manage large amounts of incoming calls.Provide accurate, valid and complete information.Strong phone contact handling skills and active listening."
9,Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
10,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
11,Customer Service Rep Entry Level,Klaus Agency,"$44,000 - $81,000 a year",Work collaboratively on cross-functional projects and coordinate with technical and non-technical teams to fine-tune new and existing programs.
12,Event Assistant,Offshore Acquisitions,"$900 - $1,100 a week","The Event Assistant will receive comprehensive training on all marketing strategies, tailored product messaging, brand management, merchandise displays, how to…"
13,"Apprentice, Brewer",Anheuser-Busch,$23.43 an hour,"Job duties will include managing or controlling brewing systems, driving fork trucks, recording process data.Maintain plant safety and quality requirements."
14,Human Resources Specialist,Transportation Security Administration,"$71,314 - $110,505 a year","National Service Experience (i.e., volunteer experience): Experience refers to paid and unpaid experience, including volunteer work done through National…"
15,TEMPORARY COVID-19 VACCINATION CALL CENTER REP - REMOTE / WO...,NAVIENT,$16 - $17 an hour,"Answer inbound calls from state consumers on the COVID-19 virus, register consumers for the vaccination and schedule appointments in the state provided system."
16,Package Sorter - Immediate Hire,Amazon Workforce Staffing,$15.75 an hour,"Use smartphone, manage apps, and scan bar codes.Get grocery orders prepared for delivery.Put new grocery inventory away."
17,,Worldwide Flight Services,,"A Passenger Service Agent performs all aspects of airport and passenger service functions including: making reservations, preparation and issuance of tickets…"
18,New Jersey State Troopers,New Jersey State Police,,"The New Jersey State Police will be accepting applications for the position of State Trooper beginning March 28, 2021."
19,Customer Service Intern,Arkk Agency,"$42,000 - $73,000 a year","Manage large amounts of incoming calls.Provide accurate, valid and complete information.Strong phone contact handling skills and active listening."
20,Customer Service Associate,Human Agency,"$36,776 - $73,274 a year","Manage large amounts of incoming calls.Best-in-class training and support from management.Handle complaints, provide solutions and follow up to ensure…"
21,"Nike Newark Retail Sales Associate Part-Time (""Athlete"")",Nike,,"Maintain knowledge of various store departments and be available to operate cash register for regular transactions, perform shipping and receiving duties, stock…"
22,Flight Attendant EWR,GoJet Airlines LLC.,$18 per flight hour,"Must possess a valid driver's license or state ID;The company pays for parking in domicile and all hotel accommodations while on a company scheduled trip, as…"
23,Local Hire (Customer Representative - Non-Medical Vaccine Su...,US Department of Homeland Security,$18.58 an hour,"Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other…"
24,Customer Service Rep Entry Level,Klaus Agency,"$44,000 - $81,000 a year",Work collaboratively on cross-functional projects and coordinate with technical and non-technical teams to fine-tune new and existing programs.
25,Event Assistant,Offshore Acquisitions,"$900 - $1,100 a week","The Event Assistant will receive comprehensive training on all marketing strategies, tailored product messaging, brand management, merchandise displays, how to…"
26,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
27,Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
28,Customer Service Rep II,The FSBO Agency,"$41,000 - $86,000 a year",Our upper level Customer Service Associates have the unique opportunity to earn generous weekly income and monthly bonus.High school or equivalent (Preferred).
29,COVID-19 Specimen Collector,Med Screen Laboratories,$18 - $20 an hour,Previous experience in collecting COVID-19 specimens preferred.Gathering mandatory information from patients and verifying their identities.
30,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
31,TEMPORARY COVID-19 VACCINATION CALL CENTER REP - REMOTE / WO...,NAVIENT,$16 - $17 an hour,"Answer inbound calls from state consumers on the COVID-19 virus, register consumers for the vaccination and schedule appointments in the state provided system."
32,,Worldwide Flight Services,,"A Passenger Service Agent performs all aspects of airport and passenger service functions including: making reservations, preparation and issuance of tickets…"
33,Package Sorter - Immediate Hire,Amazon Workforce Staffing,$15.75 an hour,"Use smartphone, manage apps, and scan bar codes.Get grocery orders prepared for delivery.Put new grocery inventory away."
34,Delivery Associate,Amazon DSP,$16 an hour,Must be comfortable driving and working in varying weather conditions.Able to get in and out of van and walk up and down stairs through your shift.
35,New Jersey State Troopers,New Jersey State Police,,"The New Jersey State Police will be accepting applications for the position of State Trooper beginning March 28, 2021."
36,Local Hire (Customer Representative - Non-Medical Vaccine Su...,US Department of Homeland Security,$18.58 an hour,"Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other…"
37,Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
38,Customer Service Rep Entry Level,Klaus Agency,"$44,000 - $81,000 a year",Work collaboratively on cross-functional projects and coordinate with technical and non-technical teams to fine-tune new and existing programs.
39,Summer Intern - Airport Operations (EWR),United Airlines Inc.,,"Applicant must be a current undergraduate student pursuing a degree in Business Management, Industrial Engineering, Economics, Finance or other business-based /…"
40,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
41,Director of Education,Unified Vailsburg Services Organization,"$69,000 - $99,000 a year","BA or BS degree in education or related field.Masters degree in education or related field.Maintain all necessary licenses for all program locations, and…"
42,Customer Service Intern,Arkk Agency,"$42,000 - $73,000 a year","Manage large amounts of incoming calls.Provide accurate, valid and complete information.Strong phone contact handling skills and active listening."
43,Human Resources Specialist,Transportation Security Administration,"$71,314 - $110,505 a year","National Service Experience (i.e., volunteer experience): Experience refers to paid and unpaid experience, including volunteer work done through National…"
44,Customer Service Associate,Human Agency,"$36,776 - $73,274 a year","Manage large amounts of incoming calls.Best-in-class training and support from management.Handle complaints, provide solutions and follow up to ensure…"
45,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
46,New Jersey State Troopers,New Jersey State Police,,"The New Jersey State Police will be accepting applications for the position of State Trooper beginning March 28, 2021."
47,Optometrist (Part-Time),"Newark Community Health Centers, Inc.",,Optometric doctor with a valid NJ license to practice optometry and federal NPI.Ability to communicate and interact with others in a professional and courteous…
48,Production Worker,HelloFresh,,Competitive Salary & 401K company match that vests immediately upon participation.The Production Associate performs activities as directed on the production…
49,Estimator,Accurate Door and Hardware,"$35,000 - $40,000 a year",Strong aptitude for understanding technical aspects of our products and installation (will train).Review assigned blueprints for door and hardware needs.
50,,ID Plans,"$53,000 - $57,000 a year","Using hands-on mechanical skills and practical tools such as a iPad tablet, 360 camera, measuring wheel, laser measure, and other hand tools to record property…"
51,Certified High School Science Teacher- Biology,LEAD Charter School,"$46,024 - $101,613 a year",Demonstrated success in raising student achievement with underserved populations in construction training or related field.REPORTS TO: *Head of School.
52,TEMPORARY COVID-19 VACCINATION CALL CENTER REP - REMOTE / WO...,NAVIENT,$16 - $17 an hour,"Answer inbound calls from state consumers on the COVID-19 virus, register consumers for the vaccination and schedule appointments in the state provided system."
53,Customer Service Intern,Arkk Agency,"$42,000 - $73,000 a year","Manage large amounts of incoming calls.Provide accurate, valid and complete information.Strong phone contact handling skills and active listening."
54,Customer Service Associate,Human Agency,"$36,776 - $73,274 a year","Manage large amounts of incoming calls.Best-in-class training and support from management.Handle complaints, provide solutions and follow up to ensure…"
55,"Nike Newark Retail Sales Associate Part-Time (""Athlete"")",Nike,,"Maintain knowledge of various store departments and be available to operate cash register for regular transactions, perform shipping and receiving duties, stock…"
56,Flight Attendant EWR,GoJet Airlines LLC.,$18 per flight hour,"Must possess a valid driver's license or state ID;The company pays for parking in domicile and all hotel accommodations while on a company scheduled trip, as…"
57,Local Hire (Customer Representative - Non-Medical Vaccine Su...,US Department of Homeland Security,$18.58 an hour,"Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other…"
58,Customer Service Rep Entry Level,Klaus Agency,"$44,000 - $81,000 a year",Work collaboratively on cross-functional projects and coordinate with technical and non-technical teams to fine-tune new and existing programs.
59,Event Assistant,Offshore Acquisitions,"$900 - $1,100 a week","The Event Assistant will receive comprehensive training on all marketing strategies, tailored product messaging, brand management, merchandise displays, how to…"
60,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
61,Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
62,Shop Manager,"MDC Electrical Contractor, LLC.",From $15 an hour,English and Spanish/Portuguese (Preferred).Open to applicants who do not have a high school diploma/GED.Open to applicants who do not have a college diploma.
63,Package Sorter - Immediate Hire,Amazon Workforce Staffing,$15.75 an hour,"Use smartphone, manage apps, and scan bar codes.Get grocery orders prepared for delivery.Put new grocery inventory away."
64,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
65,New Jersey State Troopers,New Jersey State Police,,"The New Jersey State Police will be accepting applications for the position of State Trooper beginning March 28, 2021."
66,Clinical Supervisor,Prodigal Sons & daughters Behavioral Health Services,$30 - $35 an hour,Master’s degree in health-related field is required.Provide clinical supervision for clinical services staff and student interns earning hours for licensure.
67,,Visiting Nurse Association of Northern New Jersey,"$70,105 - $84,975 a year","Provides skilled nursing assessment, planning and care to maximize the comfort and health of patients and families.Bachelors degree in Nursing is preferred."
68,Restoration Crew Chief,Servpro Restoration,$21 - $25 an hour,"Must have a driver’s license and reliable transportation.Paid training & on the job certifications.Seeking experienced Crew Chief to handle water, fire & mold…"
69,Manager in Training,The FSBO Agency,"$43,000 - $75,000 a year","Manage large amounts of incoming calls.Provide accurate, valid and complete information by using the right methods/tools."
70,"General Labor/Vehicle Prep- Midland Park, NJ (07432)-$13.50/...",KNA Solutions,$13.50 an hour,Must be 18 years of age and have a valid driver’s license.Requires frequent driving and some typing.Ability to work as a team player and interact with…
71,TEMPORARY COVID-19 VACCINATION CALL CENTER REP - REMOTE / WO...,NAVIENT,$16 - $17 an hour,"Answer inbound calls from state consumers on the COVID-19 virus, register consumers for the vaccination and schedule appointments in the state provided system."
72,Flight Attendant EWR,GoJet Airlines LLC.,$18 per flight hour,"Must possess a valid driver's license or state ID;The company pays for parking in domicile and all hotel accommodations while on a company scheduled trip, as…"
73,Local Hire (Customer Representative - Non-Medical Vaccine Su...,US Department of Homeland Security,$18.58 an hour,"Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other…"
74,Customer Service Rep Entry Level,Klaus Agency,"$44,000 - $81,000 a year",Work collaboratively on cross-functional projects and coordinate with technical and non-technical teams to fine-tune new and existing programs.
75,"Nike Newark Retail Sales Associate Part-Time (""Athlete"")",Nike,,"Maintain knowledge of various store departments and be available to operate cash register for regular transactions, perform shipping and receiving duties, stock…"
76,Customer Service Associate,Human Agency,"$36,776 - $73,274 a year","Manage large amounts of incoming calls.Best-in-class training and support from management.Handle complaints, provide solutions and follow up to ensure…"
77,Customer Service Intern,Arkk Agency,"$42,000 - $73,000 a year","Manage large amounts of incoming calls.Provide accurate, valid and complete information.Strong phone contact handling skills and active listening."
78,Bookseller (Seasonal) Rutgers-Newark,Barnes & Noble College,,"Assist with processing sales transactions involving cash, credit, or financial aid payments.Greet customers, answer questions, and assist with the purchase of…"
79,Summer Intern - Airport Operations (EWR),United Airlines Inc.,,"Applicant must be a current undergraduate student pursuing a degree in Business Management, Industrial Engineering, Economics, Finance or other business-based /…"
80,Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
81,Driver Virtual Hiring Event $19-26/hr + Bonuses,Iron Mountain,$19 - $26 an hour,"Deliver a best-in-class storage experience by being friendly, professional & and handling items safely and securely as if they were our own."
82,Package Sorter - Immediate Hire,Amazon Workforce Staffing,$15.75 an hour,"Use smartphone, manage apps, and scan bar codes.Get grocery orders prepared for delivery.Put new grocery inventory away."
83,,FedEx Ground PH US,Up to $20 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
84,Commercial Roofing Manufacturer Territory Manager,Mule-Hide Products,,"Valid license and own reliable vehicle.Support the technical department with warranty inspections, claims, and contractor eligibility as needed."
85,Shop Manager,"MDC Electrical Contractor, LLC.",From $15 an hour,English and Spanish/Portuguese (Preferred).Open to applicants who do not have a high school diploma/GED.Open to applicants who do not have a college diploma.
86,Embroidery Operator,East West Embroidery,$11 - $12 an hour,"May repair defective embroidery or fill in blanks left by the embroidery machine.Operates sewing machine to embroider a name, initial, or decorative designs on…"
87,Fabrication Technician 2 years exp. req.,Garden on the Wall,$15 - $17 an hour,"Floral design: 3 years (Preferred).Ability to cut, clean and prepare foliage, apply adhesive, fabricate using a variety of floral accessories such as wire,…"
88,Auto Body A-Tech -- Great Pay and Benefits in Air Conditione...,Modern Auto Body,"$80,000 - $100,000 a year","Experience with frame, mechanical, and bodywork required.High hourly rates and the job will average 10+ hours / week overtime -- paid at time-and-a-half."
89,Driver Virtual Hiring Event $19-26/hr + Bonuses,Iron Mountain,$19 - $26 an hour,"Deliver a best-in-class storage experience by being friendly, professional & and handling items safely and securely as if they were our own."
90,TEMPORARY COVID-19 VACCINATION CALL CENTER REP - REMOTE / WO...,NAVIENT,$16 - $17 an hour,"Answer inbound calls from state consumers on the COVID-19 virus, register consumers for the vaccination and schedule appointments in the state provided system."
91,Flight Attendant EWR,GoJet Airlines LLC.,$18 per flight hour,"Must possess a valid driver's license or state ID;The company pays for parking in domicile and all hotel accommodations while on a company scheduled trip, as…"
92,Local Hire (Customer Representative - Non-Medical Vaccine Su...,US Department of Homeland Security,$18.58 an hour,"Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other…"
