,title,company,salary,summary
0,,FedEx Ground PH US,Up to $16.50 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
1,Registered Nurse (RN),Best Choice Hospice Care Inc.,"$44,830 - $69,351 a year","Coordinate total patients care by conducting comprehensive health and psycho social evaluation, monitoring the patient's condition, promoting sound preventive…"
2,Representative Enroller,Global Medevac,"$5,000 - $15,000 a month",Anyone can become a quality enroller into our extremely valuable membership program even if you don’t have a background in marketing or sales.
3,Weekend RN,Harmony Home Care,,"Must have reliable transportation with current driver’s license with clean driving record.RN licensed in the state of Oklahoma, two years Medicare certified…"
4,Experienced Roofing Sales,Hero General Contracting,"$72,000 - $150,000 a year",We honor social distancing & wear masks when in public.We have the best training program in the industry including Virtual Reality & Classroom type settings.
5,Experienced CNC machine Programmer/Operator,"Weibee Steel, Inc.",$17 - $20 an hour,Must bring in drivers license and have reliable transportation.May be asked to display working knowledge of programming CNC machine during interview.
6,Package Handler,Amazon DSP,$15 an hour,Successful drivers put safety first and care deeply about customer expectations and satisfaction.Must be able to work in variable weather environments.
7,Warehouse Team Member,Amazon HVH,,"Take advantage of your 3-day weekend by working a full-time 4-day week.This is a full-time role, which at Amazon means you’ll get benefits starting your first…"
8,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
9,Cannabis Trimmer,Cannabis Trimming,$75 - $250 a day,A good job for someone just entering the workforce or returning to the workforce with limited experience and education.High school or equivalent (Preferred).
10,WAREHOUSE WORKER (Distribution Center OKC/FT),Mathis Brothers Furniture,$15 - $18 an hour,"EXAMPLES OF WORKED PERFORMED: General warehouse duties such as, but not limited to: loading and unloading of trucks, make sure all merchandise is labeled with a…"
11,Administrative Officer,US Department of Housing and Urban Development,"$92,143 - $129,116 a year","Ensure the highest level of collaboration among all administrative staff, both on-site and remote, and, as needed, non-administrative staffs to satisfy the…"
12,Cashier - The Children's Hospital - $11.78/hr +,Sodexo,$11.78 an hour,"Operates a cash register (or equivalent), receives payments of cash, checks and charges from customers or employees for goods or services, making change and…"
13,Customer Service Agent,Williams-Sonoma Inc. Customer Care Centers,$14 an hour,"Agents are trained in taking calls to assist customers with anything from placing orders and facilitating returns, to locating products and scheduling…"
14,Production Operator,Johns Manville,$19.34 - $25.89 an hour,Learn the manufacturing process and operate manufacturing equipment.Trade school diploma or relevant trade certifications (preferred).
15,"Registered Nurse, Hospice","Virtue HPC, LLC","$48,182 - $66,703 a year",Registered Nurse: 2 years (Preferred).
16,Family Law Attorney,Swain Law Group,,"No family law experience is required, but lateral hires with experience are encouraged to apply.Prior family law experience is very much preferred."
17,,FedEx Ground PH US,Up to $16.50 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
18,Portfolio Manager,DRGinvest,"$60,000 - $65,000 a year","Lead a growing team and produce best-in-class owner and resident satisfaction, as well as property operating performance.100% accuracy of Payables each month."
19,Hotel Front Desk Agent,"Marriott International, Inc.",$10 - $13 an hour,Our Front Desk/Guest Care Associates are responsible for assisting our guest at every turn - at first contact when the guest contacts the hotel to make a…
20,Representative Enroller,Global Medevac,"$5,000 - $15,000 a month",Anyone can become a quality enroller into our extremely valuable membership program even if you don’t have a background in marketing or sales.
21,Warehouse Team Member,Amazon HVH,,"Take advantage of your 3-day weekend by working a full-time 4-day week.This is a full-time role, which at Amazon means you’ll get benefits starting your first…"
22,Controller/Accountant,Oklahoma City Housing Authority,"$5,173 - $7,759 a month","Responsible for Deposit & transfer guidance & determination of correct account assignment.Responsible for CEC accounting in the timely preparation, in…"
23,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
24,Package Handler,Amazon DSP,$15 an hour,Successful drivers put safety first and care deeply about customer expectations and satisfaction.Must be able to work in variable weather environments.
25,Cannabis Trimmer,Cannabis Trimming,$75 - $250 a day,A good job for someone just entering the workforce or returning to the workforce with limited experience and education.High school or equivalent (Preferred).
26,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
27,Database Records Specialist,Oklahoma Medical Research Foundation,,Performs data entry and maintains the donor database integrity.Prefer one (1) year of data entry experience.Verifies and categorizes gift details by gift type…
28,Customer Service Agent,Williams-Sonoma Inc. Customer Care Centers,$14 an hour,"Agents are trained in taking calls to assist customers with anything from placing orders and facilitating returns, to locating products and scheduling…"
29,Administrative Officer,US Department of Housing and Urban Development,"$92,143 - $129,116 a year","Ensure the highest level of collaboration among all administrative staff, both on-site and remote, and, as needed, non-administrative staffs to satisfy the…"
30,AE - Brand Ambassador (Sales Associate) - US,American Eagle Outfitters,,Making your guests' day is your priority and you’re able to proactively resolve guest concerns while sticking to company policy.
31,Qualified Data Entry Clerk,Laminion Home Care,$19 an hour,Identify and correct data entry errors using appropriate quality control methods.Provide general data entry support across many teams on an ad-hoc basis.
32,,FedEx Ground PH US,Up to $16.50 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
33,Representative Enroller,Global Medevac,"$5,000 - $15,000 a month",Anyone can become a quality enroller into our extremely valuable membership program even if you don’t have a background in marketing or sales.
34,Hotel Front Desk Agent,"Marriott International, Inc.",$10 - $13 an hour,Our Front Desk/Guest Care Associates are responsible for assisting our guest at every turn - at first contact when the guest contacts the hotel to make a…
