,title,company,salary,summary
0,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
1,Shopper Team Member,Amazon HVH,,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own."
2,Office Associate I,University of Nebraska Medical Center,$16.25 - $24.38 an hour,"Provide complex and responsible administrative support to the teaching faculty in the Department of Genetics, Cell Biology and Anatomy."
3,Customer Service Rep $14 per hour,"Marriott International, Inc",$14 an hour,Welcome and acknowledge all guests according to company standards; anticipate and address guests’ service needs; assist individuals with disabilities; thank…
4,Omaha Country Club Now Hiring for Summer Seasonal Positions!,Omaha Country Club,From $14 an hour,"We offer flexibile scheduling, above market rate pay, pro shop discount, employee meals and more!"
5,Transitional Production Employee,Kellogg Company,,"Where required by state law and/or city ordinance; this employer will provide the Social Security Administration (SSA) and, if necessary, the Department of…"
6,Kennel Assistant,Omaha Animal Hospital,$10 - $12 an hour,Care for animals boarding on weekends and holidays.Numerous cleaning duties in the kennel and the veterinary hospital.Cleaning up after animals in care.
7,Social Media Coordinator,Nebraska Furniture Mart,"$46,071 - $57,128 a year","College course work in Marketing, Advertising, Business, Public Relations, related field or equivalent experience.401(k) with company matching."
8,Dental Office Manager,Omaha Laser Dentistry,$20 - $30 an hour,Dental experience is a plus but we would be willing to educate and train the right person.High school or equivalent (Preferred).
9,Front Desk Representative,ETS FINANCIAL SERVICE,$27.92 an hour,"Answer all incoming calls and redirect them or keep messages.Keep front desk tidy and presentable with all necessary material (pens, forms, paper etc.)."
10,Warehouse Person (Loader)(Full-time/Nights),PepsiCo,$20.70 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
11,Veterinary Receptionist,Twin Creek Animal Hospital,$11 - $14 an hour,"This job includes, but is not limited to answering phones, greeting and checking-in clients, scheduling appointments, and taking payments."
12,Caregiver/Personal assistant Apprenticeship Program,Almost Family Personal care,"$1,200 - $5,000 a month",Our new program compensate those who are wanting to gain skill and be paid to train with our clients*.The pay ranges from $1200.00 to $5000.00 monthly but will…
13,,Region 6 Behavioral Healthcare,$15.25 - $19.95 an hour,"Reliable transportation, a valid driver's license, and current auto insurance are required.The ideal candidate must have a high school diploma or equivalency,…"
14,Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
15,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
16,Transitional Production Employee,Kellogg Company,,"Where required by state law and/or city ordinance; this employer will provide the Social Security Administration (SSA) and, if necessary, the Department of…"
17,Picker Order Selector,Keurig Dr Pepper,$19.03 an hour,Accurately pick products by matching numbers and product descriptions using voice audio headset.The Warehouse Picker Order Selector is responsible for…
18,Customer Service Rep $14 per hour,"Marriott International, Inc",$14 an hour,Welcome and acknowledge all guests according to company standards; anticipate and address guests’ service needs; assist individuals with disabilities; thank…
19,Omaha Country Club Now Hiring for Summer Seasonal Positions!,Omaha Country Club,From $14 an hour,"We offer flexibile scheduling, above market rate pay, pro shop discount, employee meals and more!"
20,Warehouse Person (Loader)(Full-time/Nights),PepsiCo,$20.70 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
21,Office Associate I,University of Nebraska Medical Center,$16.25 - $24.38 an hour,"Provide complex and responsible administrative support to the teaching faculty in the Department of Genetics, Cell Biology and Anatomy."
22,Kennel Assistant,Omaha Animal Hospital,$10 - $12 an hour,Care for animals boarding on weekends and holidays.Numerous cleaning duties in the kennel and the veterinary hospital.Cleaning up after animals in care.
23,Front Desk Representative,ETS FINANCIAL SERVICE,$27.92 an hour,"Answer all incoming calls and redirect them or keep messages.Keep front desk tidy and presentable with all necessary material (pens, forms, paper etc.)."
24,Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
25,Maintenance Manager - Parks,Metropolitan Entertainment & Convention Authority,"From $55,000 a year",High school or equivalent (Preferred).Only full-time employees eligible.Personal protective equipment provided or required.
26,CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
27,Social Media Coordinator,Nebraska Furniture Mart,"$46,071 - $57,128 a year","College course work in Marketing, Advertising, Business, Public Relations, related field or equivalent experience.401(k) with company matching."
28,Career Opportunities,Bish's RV Omaha- Service Division,,"Comprehensive benefits package including medical, vision, dental, and other supplemental coverages."
29,Part-Time Stocker,ALDI,$14.30 an hour,"When you join our team as a Stocker, you’ll be responsible for stocking, organizing new incoming inventory and safely operating machinery."
30,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
31,Shopper Team Member,Amazon HVH,,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own."
32,Customer Service Rep $14 per hour,"Marriott International, Inc",$14 an hour,Welcome and acknowledge all guests according to company standards; anticipate and address guests’ service needs; assist individuals with disabilities; thank…
33,Office Associate I,University of Nebraska Medical Center,$16.25 - $24.38 an hour,"Provide complex and responsible administrative support to the teaching faculty in the Department of Genetics, Cell Biology and Anatomy."
34,Picker Order Selector,Keurig Dr Pepper,$19.03 an hour,Accurately pick products by matching numbers and product descriptions using voice audio headset.The Warehouse Picker Order Selector is responsible for…
35,Transitional Production Employee,Kellogg Company,,"Where required by state law and/or city ordinance; this employer will provide the Social Security Administration (SSA) and, if necessary, the Department of…"
36,Kennel Assistant,Omaha Animal Hospital,$10 - $12 an hour,Care for animals boarding on weekends and holidays.Numerous cleaning duties in the kennel and the veterinary hospital.Cleaning up after animals in care.
37,Omaha Country Club Now Hiring for Summer Seasonal Positions!,Omaha Country Club,From $14 an hour,"We offer flexibile scheduling, above market rate pay, pro shop discount, employee meals and more!"
