,title,company,salary,summary
0,ADMINISTRATIVE SUPPORT ASSISTANT (OA),US Department of the Navy,"$47,484 - $61,732 a year","If you claim membership, license, certification, or credentials, you must submit a copy of said document in your application package.Must be a US Citizen."
1,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
2,"Customer Success Advocate, Cash App - Messaging",Cash App,$24 an hour,Collaborate with members of other teams to root out answers and be a resource to teammates.Effectively solve customer inquiries via in-app chat/messaging and…
3,Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
4,Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
5,Barista/Cafe Server - Part-Time,Barnes & Noble,,Ensure all customer transactions are processed accurately and in a timely manner.Protect Company assets by ensuring the accurate execution of loss prevention…
6,Customer Service Agent,GAT Airline Ground Support,,"Handle credit cards, and personal check transactions with accuracy and properly account for all collections and conduct the appropriate airline closeout…"
7,Seasonal Warehouse Team Member,Amazon HVH,,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
8,Seasonal In-Store Shopper/Cashier--$15 starting pay--shift 4...,Whole Foods Market,,"Completion of certain milestones such as obtaining an advanced degree or certification, time in current position, or developing skills to perform at the higher…"
9,Ramp Agent,GAT Airline Ground Support,,Communicate with managers and lead agents to manage daily schedules.Adhere to safety guidelines and maintain safe working conditions for yourself and others.
10,Pat Registrar IV,"Jefferson - Center City, Philadelphia, PA",,"Interacts with co-workers, visitors, and other staff consistent with the core values of the University.Sends out any relevant paperwork to patients."
11,ENG4,Comcast,,"Oversees the researching, writing and editing of documentation and technical requirements, including evaluation plans, test results, technical manuals and…"
12,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
13,Server,McCormick & Schmick's Philadelphia,,Great training and development programs.Multiple benefit plans to suit your needs.Have 1+ year Bartender experience.
14,"Bus/Light Rail Operator, City/Suburban",SEPTA,,Valid driver’s license with no driving with a suspended/revoked license over the past 5 years.Collects tickets or cash fares from passengers.
15,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
16,ADMINISTRATIVE SUPPORT ASSISTANT (OA),US Department of the Navy,"$47,484 - $61,732 a year","If you claim membership, license, certification, or credentials, you must submit a copy of said document in your application package.Must be a US Citizen."
17,"Customer Success Advocate, Cash App - Messaging",Cash App,$24 an hour,Collaborate with members of other teams to root out answers and be a resource to teammates.Effectively solve customer inquiries via in-app chat/messaging and…
18,Barista/Cafe Server - Part-Time,Barnes & Noble,,Ensure all customer transactions are processed accurately and in a timely manner.Protect Company assets by ensuring the accurate execution of loss prevention…
19,Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
20,Customer Service Agent,GAT Airline Ground Support,,"Handle credit cards, and personal check transactions with accuracy and properly account for all collections and conduct the appropriate airline closeout…"
