,title,company,salary,summary
0,,Uline,$25 - $30 an hour ++,"Best-in-class, clean, modern facilities.From $25 to $30 per hour.Annual bonuses over $7,000 paid in December 2021.Days: Monday - Friday, 10:30 AM to 7 PM."
1,Warehouse Package Handler,FedEx Ground PH US,Up to $16.25 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
2,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
3,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
4,Immediate Openings- Warehouse Clerks-Material Handlers- PM S...,Barnes & Noble,,"Frequent and safe use of hand tools including box cutters, tape gun, and cleaning gear.Organizing and putting away all inbound stock, electronically and…"
5,Seasonal Customer Service Associate - Work From Home,PODS Inc.,$15.50 - $17.50 an hour,"Working knowledge of MS Office, telephone systems and desktop computer.Must have a quiet space with a chair, desk, and a secure, wired internet connection with…"
6,Reno Warehouse Associate - PM Shift,ThriftBooks,$13 an hour,Currently hiring for Warehouse Associate for 2nd Shift Sunday to Thursday 3:30 PM – 12 AM.Starting pay $13 an hour with scheduled pay increases.
7,Customer Solutions Specialist (Remote),"Webstaurant Store, Inc.",Up to $21 an hour,"The ability to provide friendly, efficient, and accurate solutions for customers through phone, live chat and e-mail with the goal of customer loyalty and…"
8,Operations Administrator,Mader Group,"$40,000 a year","Booking pre-employment medical, flights and lodging.Assisting in payroll and generation of purchase orders."
9,Warehouse Management Trainee,Uline,$28 - $33 an hour ++,"Master Uline's inbound and outbound warehouse manager operations through an 18-month Rotational Management Program.Best-in-class, clean, modern facilities."
10,Customer Representative,Allstate Insurance Company,"$45,000 - $82,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
11,Restaurant Server/Bartender/Beverage Cart Attendant,Somersett Golf & Country Club,From $9 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Previous experience preferred but not required.Job Types: Full-time, Part-time."
12,Mynt Dispensary- Budtender/Front desk,AYR Wellness,,"Operate front desk responsibilities such as answering phones, emails, checking-in patients, and updating patient files.Top-notch customer service skills."
13,Transportation Security Officer (TSO),Transportation Security Administration,"$34,446 - $49,208 a year","Per the President's 2014 Fair Employment memo, TSA policy is to not adversely consider a candidate based on unemployment or financial difficulty through no…"
14,Patient Safety Assistant,Renown Health,,"The incumbent must possess a polite, positive attitude while dealing with customers of all ages, social, cultural, and economic backgrounds."
15,,Uline,$25 - $30 an hour ++,"Best-in-class, clean, modern facilities.From $25 to $30 per hour.Annual bonuses over $7,000 paid in December 2021.Days: Monday - Friday, 10:30 AM to 7 PM."
16,Warehouse Package Handler,FedEx Ground PH US,Up to $16.25 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
17,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
18,Immediate Openings- Warehouse Clerks-Material Handlers- PM S...,Barnes & Noble,,"Frequent and safe use of hand tools including box cutters, tape gun, and cleaning gear.Organizing and putting away all inbound stock, electronically and…"
19,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
20,Reno Warehouse Associate - PM Shift,ThriftBooks,$13 an hour,Currently hiring for Warehouse Associate for 2nd Shift Sunday to Thursday 3:30 PM – 12 AM.Starting pay $13 an hour with scheduled pay increases.
21,Seasonal Customer Service Associate - Work From Home,PODS Inc.,$15.50 - $17.50 an hour,"Working knowledge of MS Office, telephone systems and desktop computer.Must have a quiet space with a chair, desk, and a secure, wired internet connection with…"
22,Patient Safety Assistant,Renown Health,,"The incumbent must possess a polite, positive attitude while dealing with customers of all ages, social, cultural, and economic backgrounds."
23,Customer Representative,Allstate Insurance Company,"$45,000 - $82,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
24,Amazon Full Time Warehouse Team Member,Amazon,$16.75 an hour,"Warehouse Team Member (Full-Time).From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of jobs."
25,Warehouse Management Trainee,Uline,$28 - $33 an hour ++,"Master Uline's inbound and outbound warehouse manager operations through an 18-month Rotational Management Program.Best-in-class, clean, modern facilities."
26,Operations Administrator,Mader Group,"$40,000 a year","Booking pre-employment medical, flights and lodging.Assisting in payroll and generation of purchase orders."
27,SUPERSTAR Office Operations Manager,The Dental A Team,"$50,000 - $60,000 a year","If you are a do-it-all type of person who also knows how to leverage a team and maximize your strengths, keep reading! *.Follow through on all projects."
28,Warehouse Lead / Supervisor,Uline,$30 - $35 an hour ++,Forklift certification and reach truck driving experience preferred.Provide recommendations on process improvement and assists in implementation.
29,Supply Chain & Logistics Management Trainee,Uline,$28 - $33 an hour ++,"Master Uline's inbound and outbound warehouse manager operations through an 18-month Rotational Management Program.Best-in-class, clean, modern facilities."
30,,Uline,$25 - $30 an hour ++,"Best-in-class, clean, modern facilities.From $25 to $30 per hour.Annual bonuses over $7,000 paid in December 2021.Days: Monday - Friday, 10:30 AM to 7 PM."
31,Warehouse Package Handler,FedEx Ground PH US,Up to $16.25 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
32,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
33,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
34,Immediate Openings- Warehouse Clerks-Material Handlers- PM S...,Barnes & Noble,,"Frequent and safe use of hand tools including box cutters, tape gun, and cleaning gear.Organizing and putting away all inbound stock, electronically and…"
35,Warehouse Management Trainee,Uline,$28 - $33 an hour ++,"Master Uline's inbound and outbound warehouse manager operations through an 18-month Rotational Management Program.Best-in-class, clean, modern facilities."
36,Warehouse Lead / Supervisor,Uline,$30 - $35 an hour ++,Forklift certification and reach truck driving experience preferred.Provide recommendations on process improvement and assists in implementation.
37,Customer Representative,Allstate Insurance Company,"$45,000 - $82,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
38,"IT Desktop Support Sparks, NV",RIX INDUSTRIES,$24 - $28 an hour,"The position also maintains records of computer related inventory, technical resolutions and technical FAQ’s related to work being performed."
39,Seasonal Customer Service Associate - Work From Home,PODS Inc.,$15.50 - $17.50 an hour,"Working knowledge of MS Office, telephone systems and desktop computer.Must have a quiet space with a chair, desk, and a secure, wired internet connection with…"
40,Customer Solutions Specialist (Remote),"Webstaurant Store, Inc.",Up to $21 an hour,"The ability to provide friendly, efficient, and accurate solutions for customers through phone, live chat and e-mail with the goal of customer loyalty and…"
41,Construction Site Admin/COVID Monitor,Metcalf Builders Inc.,$18 - $21 an hour,"Conduct COVID-19 entry screening for all workers, vendors, delivery persons and visitors entering project throughout the day at project entrance per Metcalf…"
42,Operations Administrator,Mader Group,"$40,000 a year","Booking pre-employment medical, flights and lodging.Assisting in payroll and generation of purchase orders."
43,Hunter / Team Member,KEVA JUICE,$11 - $12 an hour,"Thus, they deserve the best customer service and the best tasting smoothie with the highest quality of ingredients.Job Type: Part-time or Full-time."
44,New Business Coordinator,Allstate Insurance,"$45,000 - $84,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
45,,Uline,$25 - $30 an hour ++,"Best-in-class, clean, modern facilities.From $25 to $30 per hour.Annual bonuses over $7,000 paid in December 2021.Days: Monday - Friday, 10:30 AM to 7 PM."
46,Warehouse Package Handler,FedEx Ground PH US,Up to $16.25 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
47,Immediate Openings- Warehouse Clerks-Material Handlers- PM S...,Barnes & Noble,,"Frequent and safe use of hand tools including box cutters, tape gun, and cleaning gear.Organizing and putting away all inbound stock, electronically and…"
48,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
49,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
50,Seasonal Customer Service Associate - Work From Home,PODS Inc.,$15.50 - $17.50 an hour,"Working knowledge of MS Office, telephone systems and desktop computer.Must have a quiet space with a chair, desk, and a secure, wired internet connection with…"
51,Customer Representative,Allstate Insurance Company,"$45,000 - $82,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
52,Customer Solutions Specialist (Remote),"Webstaurant Store, Inc.",Up to $21 an hour,"The ability to provide friendly, efficient, and accurate solutions for customers through phone, live chat and e-mail with the goal of customer loyalty and…"
53,Operations Administrator,Mader Group,"$40,000 a year","Booking pre-employment medical, flights and lodging.Assisting in payroll and generation of purchase orders."
54,Claims Adjuster Trainee,Progressive,"$52,000 a year","Bachelor's degree or a combined total of five years of work experience and/or college education.Diverse, inclusive & welcoming culture with Employee Resource…"
55,Warehouse Lead / Supervisor,Uline,$30 - $35 an hour ++,Forklift certification and reach truck driving experience preferred.Provide recommendations on process improvement and assists in implementation.
56,SUPERSTAR Office Operations Manager,The Dental A Team,"$50,000 - $60,000 a year","If you are a do-it-all type of person who also knows how to leverage a team and maximize your strengths, keep reading! *.Follow through on all projects."
57,Warehouse Custodian / Janitor,Uline,$23 - $25 an hour ++,"The health and safety of Uline employees continue to be our top priority, and we have implemented numerous changes to our normal operating policies in response…"
58,Seasonal Warehouse Team Member,Amazon HVH,,"As part of this team, you'll load conveyor belts and transport and stage deliveries to be picked up by drivers.Full-time, Reduce-Time, and Part-time available!"
59,Clinic Scheduler,UROLOGY NEVADA,$15.00 - $17.50 an hour,"Receives incoming telephone calls to schedule new patient appointments, in-office procedures and follow-ups.Experience managing multi-line telephone system."
60,,Uline,$25 - $30 an hour ++,"Best-in-class, clean, modern facilities.From $25 to $30 per hour.Annual bonuses over $7,000 paid in December 2021.Days: Monday - Friday, 10:30 AM to 7 PM."
61,Warehouse Package Handler,FedEx Ground PH US,Up to $16.25 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
62,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
63,Immediate Openings- Warehouse Clerks-Material Handlers- PM S...,Barnes & Noble,,"Frequent and safe use of hand tools including box cutters, tape gun, and cleaning gear.Organizing and putting away all inbound stock, electronically and…"
64,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
65,Seasonal Customer Service Associate - Work From Home,PODS Inc.,$15.50 - $17.50 an hour,"Working knowledge of MS Office, telephone systems and desktop computer.Must have a quiet space with a chair, desk, and a secure, wired internet connection with…"
66,Reno Warehouse Associate - PM Shift,ThriftBooks,$13 an hour,Currently hiring for Warehouse Associate for 2nd Shift Sunday to Thursday 3:30 PM – 12 AM.Starting pay $13 an hour with scheduled pay increases.
67,Customer Representative,Allstate Insurance Company,"$45,000 - $82,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
68,Patient Safety Assistant,Renown Health,,"The incumbent must possess a polite, positive attitude while dealing with customers of all ages, social, cultural, and economic backgrounds."
69,Operations Administrator,Mader Group,"$40,000 a year","Booking pre-employment medical, flights and lodging.Assisting in payroll and generation of purchase orders."
70,Warehouse Management Trainee,Uline,$28 - $33 an hour ++,"Master Uline's inbound and outbound warehouse manager operations through an 18-month Rotational Management Program.Best-in-class, clean, modern facilities."
71,Amazon Full Time Warehouse Team Member,Amazon,$16.75 an hour,"Warehouse Team Member (Full-Time).From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of jobs."
72,SUPERSTAR Office Operations Manager,The Dental A Team,"$50,000 - $60,000 a year","If you are a do-it-all type of person who also knows how to leverage a team and maximize your strengths, keep reading! *.Follow through on all projects."
73,Warehouse Lead / Supervisor,Uline,$30 - $35 an hour ++,Forklift certification and reach truck driving experience preferred.Provide recommendations on process improvement and assists in implementation.
74,Supply Chain & Logistics Management Trainee,Uline,$28 - $33 an hour ++,"Master Uline's inbound and outbound warehouse manager operations through an 18-month Rotational Management Program.Best-in-class, clean, modern facilities."
75,,Uline,$25 - $30 an hour ++,"Best-in-class, clean, modern facilities.From $25 to $30 per hour.Annual bonuses over $7,000 paid in December 2021.Days: Monday - Friday, 10:30 AM to 7 PM."
76,Warehouse Package Handler,FedEx Ground PH US,Up to $16.25 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
77,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
78,Immediate Openings- Warehouse Clerks-Material Handlers- PM S...,Barnes & Noble,,"Frequent and safe use of hand tools including box cutters, tape gun, and cleaning gear.Organizing and putting away all inbound stock, electronically and…"
79,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
80,Seasonal Customer Service Associate - Work From Home,PODS Inc.,$15.50 - $17.50 an hour,"Working knowledge of MS Office, telephone systems and desktop computer.Must have a quiet space with a chair, desk, and a secure, wired internet connection with…"
81,Operations Administrator,Mader Group,"$40,000 a year","Booking pre-employment medical, flights and lodging.Assisting in payroll and generation of purchase orders."
82,Amazon Full Time Warehouse Team Member,Amazon,$16.75 an hour,"Warehouse Team Member (Full-Time).From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of jobs."
83,Warehouse Lead / Supervisor,Uline,$30 - $35 an hour ++,Forklift certification and reach truck driving experience preferred.Provide recommendations on process improvement and assists in implementation.
84,SUPERSTAR Office Operations Manager,The Dental A Team,"$50,000 - $60,000 a year","If you are a do-it-all type of person who also knows how to leverage a team and maximize your strengths, keep reading! *.Follow through on all projects."
85,Customer Representative,Allstate Insurance Company,"$45,000 - $82,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
86,Construction Site Admin/COVID Monitor,Metcalf Builders Inc.,$18 - $21 an hour,"Conduct COVID-19 entry screening for all workers, vendors, delivery persons and visitors entering project throughout the day at project entrance per Metcalf…"
87,Clinic Scheduler,UROLOGY NEVADA,$15.00 - $17.50 an hour,"Receives incoming telephone calls to schedule new patient appointments, in-office procedures and follow-ups.Experience managing multi-line telephone system."
88,Reno Warehouse Associate - PM Shift,ThriftBooks,$13 an hour,Currently hiring for Warehouse Associate for 2nd Shift Sunday to Thursday 3:30 PM – 12 AM.Starting pay $13 an hour with scheduled pay increases.
89,Transportation Security Officer (TSO),Transportation Security Administration,"$34,446 - $49,208 a year","Per the President's 2014 Fair Employment memo, TSA policy is to not adversely consider a candidate based on unemployment or financial difficulty through no…"
90,,Uline,$25 - $30 an hour ++,"Best-in-class, clean, modern facilities.From $25 to $30 per hour.Annual bonuses over $7,000 paid in December 2021.Days: Monday - Friday, 10:30 AM to 7 PM."
91,Warehouse Package Handler,FedEx Ground PH US,Up to $16.25 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
92,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
93,Immediate Openings- Warehouse Clerks-Material Handlers- PM S...,Barnes & Noble,,"Frequent and safe use of hand tools including box cutters, tape gun, and cleaning gear.Organizing and putting away all inbound stock, electronically and…"
