,title,company,salary,summary
0,Chef,ROAM Kitchen + Bar,"$40,000 - $55,000 a year",We have increased our safety & sanitation protocols to keep our guests and staff safe!The primary goal of the Sous Chef is to support the Executive Chef &…
1,Shift Leader,NPC International,,"If you are interested in learning how to run great restaurants from the best restaurant managers in the business and, you are at least 18 years old with a valid…"
2,Commercial Painting Foreman / Lead Painter,Select Painting,$13 - $25 an hour,Work with general contractors to meet their needs and also make sure the needs of Select Painting are being met.Commercial painting: 2 years (Required).
3,Retail Associates,Walmart,$13 - $15 an hour,"Pay is $13-$15 per hour.Grocery Unloading and Stocking, Unloading, Stocking, and Price Change.Apparel Associate, Bakery Associate, Dry Grocery Associate,…"
4,,Encompass Health Rehabilitation Hospital of Sioux Falls,,"As a rehabilitation nurse technician I, channel the full extent of your knowledge, skills, ambition and experience on a daily basis."
5,Appliance Service/Installation Technician,Dugan Sales & Service,From $17 an hour,"Dugan Sales & Service is seeking a skilled appliance service and installation technician.In addition, help with delivery/installation of new appliances will be…"
6,Delivery Driver for Amazon Flex,Amazon Flex,$18 - $25 an hour,"Smiles for miles and miles, backed by Amazon.*.High school or equivalent (Preferred)."
7,Social Media and Content Manager,Boss' Pizza and Chicken,$18 - $25 an hour,The Social Media Manager will administer the company’s social media marketing and advertising.SEO (search engine optimization) and generation of inbound…
8,2021-2022 Middle School Counseling Secretary - Class III - 1...,Sioux Falls School District,$18.15 - $18.28 an hour,"Constant hand-eye/mind-eye coordinator, hearing; intermittent keyboarding, use of wrists, hands, fingers, speaking, typing, and writing."
9,Warehouse Person (Loader) (Full-Time/Evenings),PepsiCo,$17.70 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
10,PSE MAIL PROCESSING CLERK,United States Postal Service,$18.49 an hour,"Fingerprint check, state and county checks).PSEs may be required to handle heavy sacks of mail/parcels, sort & distribute incoming/outgoing mail, and work at a…"
11,Theatre Team Member,"Cinemark USA, Inc",,"Being familiar with the operation, this individual will answer guest questions and makes them feel comfortable, while ensuring a quality listening and viewing…"
12,Package Handler,UPS,$14.50 an hour,"If you’re a student at an approved college, university, trade or technical school, UPS offers an educational assistance program that could provide you with up…"
13,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
14,Full-Time Store Associate,ALDI,$14 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
15,AE - Brand Ambassador (Sales Associate) - US,American Eagle Outfitters,,Making your guests' day is your priority and you’re able to proactively resolve guest concerns while sticking to company policy.
16,AT&T Retail Store Manager,Noble Wireless Group,"$30,000 a year","Proficiency in technical and mobile applications, and ability to understand and explain cutting edge communication and entertainment technologies."
17,Registered Nurse,Hughes County,From $29.28 an hour,Current South Dakota nursing license or ability to readily obtain a nursing license. *.Do you have a valid nursing license.Only full-time employees eligible.
18,"Machine Operator (2nd Shift - Lennox, SD)",Sioux Steel Company,$15 - $20 an hour,At least six months experience in a manufacturing environment.A good job for someone just entering the workforce or returning to the workforce with limited…
19,Retail Associates,Walmart,$13 - $15 an hour,"Pay is $13-$15 per hour.Grocery Unloading and Stocking, Unloading, Stocking, and Price Change.Apparel Associate, Bakery Associate, Dry Grocery Associate,…"
20,Commercial Painting Foreman / Lead Painter,Select Painting,$13 - $25 an hour,Work with general contractors to meet their needs and also make sure the needs of Select Painting are being met.Commercial painting: 2 years (Required).
