,title,company,salary,summary
0,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
1,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
2,Warehouse Person (Loader) - FT/Evenings,PepsiCo,$21.65 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
3,Referral Coordinator,"Spokane Digestive Disease Center, P.S.",$15 - $19 an hour,"We promote a smaller practice culture by emphasizing patient experience, teamwork, and communication.The referral specialist's role is to prepare internal…"
4,Barista/Cafe Server - Part-Time,Barnes & Noble,,Ensure all customer transactions are processed accurately and in a timely manner.Protect Company assets by ensuring the accurate execution of loss prevention…
5,Medical Appointment Scheduler - Will Train,Spokane Eye Clinic,,"Position Summary: This position operates as part of the Patient Care Systems team performing a variety of functions over the phone such as: greeting patients,…"
6,Veterinary Receptionist/Assistant,North Spokane Veterinary Clinic,$14 - $17 an hour,"The position will begin part-time transitioning to full-time, dependent on an individuals abilities.Compensation will depend on experience."
7,Warehouse Team Member - Benefits Day One!,Amazon,From $15 an hour,"Overnight, Early Morning, Day, Evening, Weekend.Full-time set schedules with health care benefits, Amazon has a variety of jobs."
8,Appointment Schedulers / Reception (Registrar) - will train,Spokane Eye Clinic,,"Ability to communicate in an active multi-office environment, effectively coping with the typical job stress, and communicate effectively."
9,Medical Receptionist - Will Train,Spokane Eye Clinic,,"Ability to communicate in an active multi-office environment, effectively coping with the typical job stress, and communicate effectively."
10,Part-Time Sales Associate - Famous Footwear,Famous Footwear,,"At Famous Footwear, we believe everyone deserves to feel a little famous. To us, famous isn’t about standing out in the crowd. It’s about feeling good where…"
11,Host / Hostess,Red Robin,$13.70 an hour,"This restaurant Front of House job for Hospo / Hospitality Team Members will focus on Guest seating, greeting, and reception / reservation duties, you also will…"
