,title,company,salary,summary
0,Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
1,Temporary COVID-19 Vaccination Call Center Rep - Remote / Wo...,NAVIENT,$16 an hour,"Answer inbound calls from state consumers on the COVID-19 virus, register consumers for the vaccination and schedule appointments in the state provided system."
2,Entry Level Management - Customer Service - Interview Today,THE WCP Group,"$800 - $1,200 a week","Must have a reliable vehicle and valid driver's license.Skills that work well with our company are: sales and marketing, hospitality, retail experience,…"
3,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
4,Warehouse Worker - Package Handler,UNITED PARCEL SERVICE,,"If you’re a student at an approved college, university, trade or technical school, UPS offers an educational assistance program that could provide you with up…"
5,CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
6,Warehouser/Material Handler - PT,Frito-Lay North America,$17.97 an hour,Safely operate a forklift after we provide you training and you obtain certification.Load trailers via carts or stack cases on the floor of a truck trailer.
7,Medical Social Consultant (Child Life Specialist) MULTIPLE V...,SIU Medicine,"$3,838 - $4,222 a month","The purpose of this position is to provide social service, education and support to infants, children, adolescents and their families due to chronic or acute…"
8,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
9,Program Services Specialist (U),SIU Medicine,"$2,964 - $3,260 a month",This position is responsible for medical case management activities related to the Ryan White Grants.
10,Routing Dispatcher III,SIU Medicine,$15.32 - $16.85 an hour,"Under the general supervision of the Business/Administrative Associate (Financial Operations), this position is responsible for performing a variety of duties…"
11,Laboratory Animal Care Coordinator,SIU Medicine,"$3,957 - $4,353 a month",To manage and maintain the day-to-day operations of the laboratory animal facility including the supervision and training of the animal care staff.
12,Executive Assistant,Boldly,$20 an hour,"Maximizing the executive’s time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;…"
13,RURAL CARR ASSOC/SRV REG RTE,United States Postal Service,$19.06 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Loads mail in vehicle."
14,SALES ASSOCIATE,Dollar General,,"Operate cash register and scanner to itemize and total customer’s purchase, collect payment from customers and make change, bag merchandise, and assist…"
15,Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
16,Entry Level Management - Customer Service - Interview Today,THE WCP Group,"$800 - $1,200 a week","Must have a reliable vehicle and valid driver's license.Skills that work well with our company are: sales and marketing, hospitality, retail experience,…"
17,Temporary COVID-19 Vaccination Call Center Rep - Remote / Wo...,NAVIENT,$16 an hour,"Answer inbound calls from state consumers on the COVID-19 virus, register consumers for the vaccination and schedule appointments in the state provided system."
18,Warehouse Worker - Package Handler,UNITED PARCEL SERVICE,,"If you’re a student at an approved college, university, trade or technical school, UPS offers an educational assistance program that could provide you with up…"
19,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
20,Medical Social Consultant (Child Life Specialist) MULTIPLE V...,SIU Medicine,"$3,838 - $4,222 a month","The purpose of this position is to provide social service, education and support to infants, children, adolescents and their families due to chronic or acute…"
21,CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
22,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
23,Warehouser/Material Handler - PT,Frito-Lay North America,$17.97 an hour,Safely operate a forklift after we provide you training and you obtain certification.Load trailers via carts or stack cases on the floor of a truck trailer.
24,Program Services Specialist (U),SIU Medicine,"$2,964 - $3,260 a month",This position is responsible for medical case management activities related to the Ryan White Grants.
25,Routing Dispatcher III,SIU Medicine,$15.32 - $16.85 an hour,"Under the general supervision of the Business/Administrative Associate (Financial Operations), this position is responsible for performing a variety of duties…"
26,Laboratory Animal Care Coordinator,SIU Medicine,"$3,957 - $4,353 a month",To manage and maintain the day-to-day operations of the laboratory animal facility including the supervision and training of the animal care staff.
27,Executive Assistant,Boldly,$20 an hour,"Maximizing the executive’s time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;…"
28,RURAL CARR ASSOC/SRV REG RTE,United States Postal Service,$19.06 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Loads mail in vehicle."
29,Customer Service Representative - Hiring This Week - Consult...,THE WCP Group,,"Daily activities include Inbound and outbound calling, setting appointments, performing presentations to members of unions that request our benefits, basic…"
30,Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
31,Temporary COVID-19 Vaccination Call Center Rep - Remote / Wo...,NAVIENT,$16 an hour,"Answer inbound calls from state consumers on the COVID-19 virus, register consumers for the vaccination and schedule appointments in the state provided system."
32,Entry Level Management - Customer Service - Interview Today,THE WCP Group,"$800 - $1,200 a week","Must have a reliable vehicle and valid driver's license.Skills that work well with our company are: sales and marketing, hospitality, retail experience,…"
33,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
34,Warehouse Worker - Package Handler,UNITED PARCEL SERVICE,,"If you’re a student at an approved college, university, trade or technical school, UPS offers an educational assistance program that could provide you with up…"
35,CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
36,Warehouser/Material Handler - PT,Frito-Lay North America,$17.97 an hour,Safely operate a forklift after we provide you training and you obtain certification.Load trailers via carts or stack cases on the floor of a truck trailer.
37,Medical Social Consultant (Child Life Specialist) MULTIPLE V...,SIU Medicine,"$3,838 - $4,222 a month","The purpose of this position is to provide social service, education and support to infants, children, adolescents and their families due to chronic or acute…"
38,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
39,Program Services Specialist (U),SIU Medicine,"$2,964 - $3,260 a month",This position is responsible for medical case management activities related to the Ryan White Grants.
40,Routing Dispatcher III,SIU Medicine,$15.32 - $16.85 an hour,"Under the general supervision of the Business/Administrative Associate (Financial Operations), this position is responsible for performing a variety of duties…"
41,Laboratory Animal Care Coordinator,SIU Medicine,"$3,957 - $4,353 a month",To manage and maintain the day-to-day operations of the laboratory animal facility including the supervision and training of the animal care staff.
42,Executive Assistant,Boldly,$20 an hour,"Maximizing the executive’s time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;…"
