,title,company,salary,summary
0,Seasonal Warehouse Team Member,Amazon HVH,,"In this active job you sort packages into delivery routes.Overnight, Early Morning, Day, Evening, Weekend.Candidates must be 18 years or older with ability to…"
1,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
2,,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
3,Customer Service Representative,Progressive,$16.50 - $18.50 an hour,"As COVID-19 circumstances change, our claims reps may be required to work full-time in our office location, so you must live within 75 miles from our Riverview,…"
4,Immediate Job Openings - Now Hiring! (Adventure Island),Adventure Island Tampa,,We’re seeking friendly and energetic individuals to provide exceptional guest service in a variety of areas.Previous guest service experience preferred.
5,Entry-Level Workers Compensation Claims Specialist,Liberty Mutual Insurance,"$51,101 a year",Determine the need for independent adjusters or independent medical examiners.We have flexibility to fill as an entry-level Associate Claims Specialist or a…
6,Secretary (Office Automation),US Department of Homeland Security,"$39,311 - $51,103 a year","Screening calls and visitors and referring them to the appropriate staff member, supervisor, or director.Typing correspondence, forms, and reports from rough…"
7,AE - Brand Ambassador (Sales Associate) - US,American Eagle Outfitters,,Making your guests' day is your priority and you’re able to proactively resolve guest concerns while sticking to company policy.
8,Immediate Job Openings - Now Hiring!,Busch Gardens Tampa,,We’re seeking friendly and energetic individuals to provide exceptional guest service in a variety of areas.Previous guest service experience preferred.
9,Server/Support/Hosts,bartaco,$18 - $20 an hour,Remove necessary plates while guests are still seated at the table.Strong customer service skills in order to aid our guests in any matter needed.
10,"Entry Level Processor- Tampa, Florida",Quest Diagnostics,,"This position requires passing a data entry assessment.Functions performed may include but are not limited to data entry of test orders, presort, pickup and…"
11,Patient Flow Concierge,IMAGELIFT,"From $45,000 a year",Staff travels to one location or the other in their own car (travel time paid along with mileage reimbursement) We typically spend 1-2 days in The Villages and…
12,Tutor in Tampa – All Subjects Available,Grade Potential Tutoring,$18 - $30 an hour,Tampa families are in immediate need of part-time tutors for all subjects and grade levels.
13,SOLICITAMOS PERSONAL PARA ATENCION AL CLIENTE Y ENCUESTADORE...,veneusa network,$500 - $800 a week,"Solicitamos personal para el área de atención al cliente y encuestadores con vehículo propio, idioma español con o sin experiencia. Ingresos desde $500 hasta …"
14,Volunteer Program Coordinator - Aging Services - 50 MAX Appl...,"Hillsborough County, Florida",$19.55 - $31.29 an hour,Possess the necessary job related license(s) or certification(s) that may include possession of a Florida Driver's License (Class E) or an applicable Commercial…
15,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
16,Psychologist,Hope Counseling Center,"$85,000 - $95,000 a year",A 27 year old company has immediate openings looking for Psychological testing by a Licensed Clinical Psychologist and Post-Doc.
17,,"Trucks & Parts of Tampa, LLC",From $15 an hour,"Must have own tools of the trade, a valid driver's license & transportation.Must have the ability to read and understand electrical and hydraulic schematics."
18,Immediate Job Openings - Now Hiring!,Busch Gardens Tampa,,We’re seeking friendly and energetic individuals to provide exceptional guest service in a variety of areas.Previous guest service experience preferred.
19,Upholstery Coordinator,Reimagine Office Furnishings,,"Confident, independent action, initiative, a sense of urgency, and ability to make decisions and take responsibility for them."
20,Border Patrol Agent,U.S. Customs and Border Protection,,"Search Terms: *airport customs, armed security, army, bike patrol, border patrol, border security, coast guard, customs and immigration, customs officer, dhs,…"
21,Customer Service Representative,Progressive,$16.50 - $18.50 an hour,"As COVID-19 circumstances change, our claims reps may be required to work full-time in our office location, so you must live within 75 miles from our Riverview,…"
22,Seasonal Warehouse Team Member,Amazon HVH,,"In this active job you sort packages into delivery routes.Overnight, Early Morning, Day, Evening, Weekend.Candidates must be 18 years or older with ability to…"
23,Secretary (Office Automation),US Department of Homeland Security,"$39,311 - $51,103 a year","Screening calls and visitors and referring them to the appropriate staff member, supervisor, or director.Typing correspondence, forms, and reports from rough…"
24,"Fulfillment & Logistics Supervisor, Tampa",Tesla,,Manage Department of Transportation (DOT) certified drivers in the Southeast region.Assist in development and implementation Standard Operating Procedures as…
25,Records Data Specialist Trainee,Hillsborough County Sheriff's Office,"Up to $55,349 a year","Respond to telephone, electronic, or teletype criminal history information requests from federal, state, and local law enforcement agencies and departments…"
26,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
27,PSE SALES & SVCS/DISTRIBUTION ASSOCIATE,United States Postal Service,$18.49 an hour,"Orally refers to expressing spoken ideas or facts clearly and logically when answering questions, giving instructions, and.At the level required by the job."
