,title,company,salary,summary
0,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
1,,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
2,Warehouse Person (Loader)(FT/Rotating Shifts/SEASONAL),PepsiCo,$19.45 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
3,Cashier,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance."
4,Distribution Center Manager,American Tire Distributors,"$70,000 - $85,000 a year",Safety: Establishes and assures safe and compliant work environment with a target of minimizing the Total Case Incident Rate (TCIR) Quality: Conducts reviews…
5,Seasonal Package Sorter - Earn up to $15.00/hr!,Amazon Workforce Staffing,Up to $15 an hour,"Take advantage of your 3-day weekend by working a full-time 4-day week.Overnight, Early Morning, Day, Evening, Weekend.Receive and put away inventory."
6,Amazon Seasonal Picker/Packer - Tulsa,Amazon Workforce Staffing,From $15 an hour,"Take advantage of your 3-day weekend by working a full-time 4-day week.Overnight, Early Morning, Day, Evening, Weekend.Receive and put away inventory."
7,Medical Operations Manager,Tulsa Cardiovascular Center of Excellence,"$60,000 - $120,000 a year",Ensures maintenance of CLIA certification.Regularly reviews Explanation of Benefits (EOB) comparing billed charges to reimbursement to monitor collections and…
8,Front Desk Sales Associate,Omni Oasis Spa & Massage,From $15 an hour,Function: *Converting guests to members while providing great customer service.Convert 1st & 2nd time guests into members.Hourly wage plus sales commission.
9,Library Associate - Children's,Tulsa City-County Library,$18.24 an hour,"Trains and educates library customers on new and existing self-service technology and devices (including e-readers, smart phones and mobile devices); assists…"
10,Aerospace QC Inspector I,"Aviation Technology Associates, LLC",$27.25 - $30.28 an hour,"Perform inspection duties utilizing engineering drawings and orders, route cards, inspection travelers, work instructions, technical specifications, QA…"
11,Pipeline Controller - Trainee,ONEOK,,"Based on assigned tasks, employee may be assigned a company vehicle requiring the applicable driver's license.Storage injection and withdrawal requests."
12,Customer Service Assistant - Children's Department,Tulsa City-County Library,$13.74 an hour,"Work environment involves everyday risk or discomforts which require normal safety precautions, e.g. use of safe work place practices with office equipment, and…"
13,Customer Service Representative Sales,AT&T,$16.88 - $18.98 an hour,You’ll handle customer service calls ranging from billing and payments to plan changes and upgrades.Additional financial incentives are currently available…
14,Cultivation Assistant - Grower,Chronic Cannabis,$10 - $15 an hour,"The role of the cultivation assitant is to assist managment in the daily tasks associated with plant production.Job Types: Full-time, Part-time."
15,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
16,GLA Enrichment Instructor (Technology),Greenwood Leadership Academy,"$28,000 - $37,000 a year",Seek to constantly develop and improve teaching practices through ongoing feedback conversations with School Leaders and other school faculty within Met Cares…
17,,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
18,Team Member,The Saxton Group - McAlisters Deli,,Greet and interact with guests.Prepare the restaurant to be a welcoming environment for each and every guest.Happy team members make for happy customers.
19,Amazon Seasonal Picker/Packer - Tulsa,Amazon Workforce Staffing,From $15 an hour,"Take advantage of your 3-day weekend by working a full-time 4-day week.Overnight, Early Morning, Day, Evening, Weekend.Receive and put away inventory."
20,RNs - PRN / Float Pool - up to $53/hr + bonuses (Tahlequah),Flexwise Health,$38 - $53 an hour,"Extra shifts…Extra income…Extra Flexibility - $38-53 Hourly + Bonuses*.Competitive pay rates PLUS bonus programs.Job Types: Part-time, Contract."
21,Refrigeration Service Technician 3-5 YEARS EXP,Crowl Mechanical Inc,$18 - $32 an hour,"Troubleshoot, repair, maintain and install Commercial Refrigeration, HVAC, Chillers, Ice Machines, and related components.Only full-time employees eligible."
22,Warehouse Person (Loader)(FT/Rotating Shifts/SEASONAL),PepsiCo,$19.45 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
23,Seasonal Warehouse Team Member,Amazon HVH,,"As part of this team, you'll load conveyor belts and transport and stage deliveries to be picked up by drivers.High school, GED, or equivalent diploma."
24,Library Associate - Children's,Tulsa City-County Library,$18.24 an hour,"Trains and educates library customers on new and existing self-service technology and devices (including e-readers, smart phones and mobile devices); assists…"
25,Aerospace QC Inspector I,"Aviation Technology Associates, LLC",$27.25 - $30.28 an hour,"Perform inspection duties utilizing engineering drawings and orders, route cards, inspection travelers, work instructions, technical specifications, QA…"
26,Pipeline Controller - Trainee,ONEOK,,"Based on assigned tasks, employee may be assigned a company vehicle requiring the applicable driver's license.Storage injection and withdrawal requests."
27,Customer Service Assistant - Children's Department,Tulsa City-County Library,$13.74 an hour,"Work environment involves everyday risk or discomforts which require normal safety precautions, e.g. use of safe work place practices with office equipment, and…"
28,Cultivation Assistant - Grower,Chronic Cannabis,$10 - $15 an hour,"The role of the cultivation assitant is to assist managment in the daily tasks associated with plant production.Job Types: Full-time, Part-time."
29,Utility Billing Clerk,"City of Glenpool, OK",$13.20 - $21.12 an hour,"Possession of a valid driver's license.Performs a variety of clerical duties including use of 10 key calculators, filing computer documents, composes and types…"
30,Customer Technical Support Representative,AT&T,$16.77 - $18.66 an hour,You’ll handle customer service calls ranging from billing and payments to plan changes and upgrades.TESTS: Applicants will be expected to pass any assessment…
31,Seasonal Package Sorter - Earn up to $15.00/hr!,Amazon Workforce Staffing,Up to $15 an hour,"Take advantage of your 3-day weekend by working a full-time 4-day week.Overnight, Early Morning, Day, Evening, Weekend.Receive and put away inventory."
32,Dental Assistant,Secure Dentures And Implants,$13 - $18 an hour,Additional certification or training is an asset (e.g. EFDA).Assisting with front office tasks as needed.Keep the dental room clean and well-stocked.
33,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
34,Warehouse Person (Loader)(FT/Rotating Shifts/SEASONAL),PepsiCo,$19.45 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
35,,Global Medevac,"$5,000 - $15,000 a month",Anyone can become a quality enroller into our extremely valuable membership program even if you don’t have a background in marketing or sales.
36,Seasonal Package Sorter - Earn up to $15.00/hr!,Amazon Workforce Staffing,Up to $15 an hour,"Take advantage of your 3-day weekend by working a full-time 4-day week.Overnight, Early Morning, Day, Evening, Weekend.Receive and put away inventory."
37,Cashier,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance."
38,"Dialysis Technician - No Call, No Weekends, Full-Time",Anthem Dialysis,$16 - $22 an hour,Follows procedures and is aware of possible medical complications and technical problems.Works with the nurse to determine if the patients’ needs are being met…
39,Amazon Seasonal Picker/Packer - Tulsa,Amazon Workforce Staffing,From $15 an hour,"Take advantage of your 3-day weekend by working a full-time 4-day week.Overnight, Early Morning, Day, Evening, Weekend.Receive and put away inventory."
40,Pipeline Controller - Trainee,ONEOK,,"Based on assigned tasks, employee may be assigned a company vehicle requiring the applicable driver's license.Storage injection and withdrawal requests."
41,Tulsa Teacher Corps 2021,Tulsa Public Schools,"$45,411 a year",Classroom-Centered Training in Tulsa Public Schools: Our innovative training model provides corps members with actual teaching experience in Tulsa Public…
42,Customer Service Representative Sales,AT&T,$16.88 - $18.98 an hour,You’ll handle customer service calls ranging from billing and payments to plan changes and upgrades.Additional financial incentives are currently available…
43,Distribution Center Manager,American Tire Distributors,"$70,000 - $85,000 a year",Safety: Establishes and assures safe and compliant work environment with a target of minimizing the Total Case Incident Rate (TCIR) Quality: Conducts reviews…
44,Cultivation Assistant - Grower,Chronic Cannabis,$10 - $15 an hour,"The role of the cultivation assitant is to assist managment in the daily tasks associated with plant production.Job Types: Full-time, Part-time."
45,Quality Control,"Seal Company Enterprises, Inc",$16 - $20 an hour,Continually develop process improvements to maximize efficiencies and reduce costs.Check incoming shipments for accuracy and quality of products.
46,Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
47,Dual Position - Front Desk Agent & Social Media Coordinator,Ambassador Hotel Tulsa,$12 - $13 an hour,Interested candidates must be able to perform any number of duties related to their front desk role including but not limited to: Greeting guests in an…
48,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
49,Warehouse Person (Loader)(FT/Rotating Shifts/SEASONAL),PepsiCo,$19.45 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
50,,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
51,Pipeline Controller - Trainee,ONEOK,,"Based on assigned tasks, employee may be assigned a company vehicle requiring the applicable driver's license.Storage injection and withdrawal requests."
52,Library Associate - Children's,Tulsa City-County Library,$18.24 an hour,"Trains and educates library customers on new and existing self-service technology and devices (including e-readers, smart phones and mobile devices); assists…"
53,Seasonal Package Sorter - Earn up to $15.00/hr!,Amazon Workforce Staffing,Up to $15 an hour,"Take advantage of your 3-day weekend by working a full-time 4-day week.Overnight, Early Morning, Day, Evening, Weekend.Receive and put away inventory."
54,Customer Service Assistant - Children's Department,Tulsa City-County Library,$13.74 an hour,"Work environment involves everyday risk or discomforts which require normal safety precautions, e.g. use of safe work place practices with office equipment, and…"
55,Amazon Seasonal Picker/Packer - Tulsa,Amazon Workforce Staffing,From $15 an hour,"Take advantage of your 3-day weekend by working a full-time 4-day week.Overnight, Early Morning, Day, Evening, Weekend.Receive and put away inventory."
56,Front Desk Sales Associate,Omni Oasis Spa & Massage,From $15 an hour,Function: *Converting guests to members while providing great customer service.Convert 1st & 2nd time guests into members.Hourly wage plus sales commission.
57,Full-Time Store Associate (New Store),ALDI,$14 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
58,Drivers Wanted (No Special License Required) Lots of Work &...,All My Sons Moving & Storage,$17 - $19 an hour ++,"Full, Part Time, Weekends only, or make your own schedule!$17 to $19 per hour (Based on Experience).Sign-on Bonus of $250 pending completion of Driver…"
59,Customer Technical Support Representative,AT&T,$16.77 - $18.66 an hour,You’ll handle customer service calls ranging from billing and payments to plan changes and upgrades.TESTS: Applicants will be expected to pass any assessment…
60,Administrative Assistant,"Diamond Security & Investigative Services, LLC",$13 - $16 an hour,"Support office staff, type reports, interact with employees in the field, forward reports to clients, answer the phones, administration of the office, and many…"
61,AE - Brand Ambassador (Sales Associate) - US,American Eagle Outfitters,,Making your guests' day is your priority and you’re able to proactively resolve guest concerns while sticking to company policy.
62,Guest Advocate (Cashier or Front of Store Attendant/ Cart At...,TARGET,,Make a connection with guests by engaging in friendly and genuine conversation throughout each transaction; asking open ended questions about the guest’s…
63,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
64,,Tulsa Sunshine Center Pediatric Therapy,,Applicants must hold a Ph.D. or Psy.D. in psychology and be eligible for an unrestricted license in Oklahoma.Attended an APA accredited doctoral program with a…
65,Amazon Seasonal Picker/Packer - Tulsa,Amazon Workforce Staffing,From $15 an hour,"Take advantage of your 3-day weekend by working a full-time 4-day week.Overnight, Early Morning, Day, Evening, Weekend.Receive and put away inventory."
66,Cashier,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance."
67,Mortgage Department Manager - Minimum 5 yrs Experience,Energy One Federal Credit Union,"$65,000 - $80,000 a year","The individual will work with management to evaluate existing products and develop new ones.In addition, the position will be responsible for developing and…"
68,Dental Assistant,Bingham & Howarth Family Dentistry,$12 - $19 an hour,"As our Dental Assistant, you’ll be the first friendly face our patients see—so we’ll want you to greet them with a warm welcome before you take them to…"
69,Seeking a General Dentist,Dentist Broken Arrow,$100 - $103 an hour,Current valid license as a dentist and DEA number.\*\*\*\*\*GENEROUS SIGN ON BONUS\*\*\*\*\* We are currently seeking a motivated full-time general dentist.
